content,rating,type,publishedDate,tokenization,text,sequence_num,status,origin
美麗的草皮~可以讓小孩盡情的跑跑~也有室內的遊戲區耶~~玩具超級多!!!期待大象水滑梯,5,2,2020/05/08,,美麗草皮小孩盡情跑跑室內遊戲區耶玩具超級期待大象水滑梯,12,1,1
晚餐好吃來這裡很chill可惜都在下雨希望明天放晴,5,2,2023/09/08,,晚餐吃來chill可惜下雨希望明天放晴,13,1,1
服务人员态度非常良好，食物也很美味。若有机会重返此地，一样会选择此露营地。,5,2,2024/01/07,,服务人员态度食物美味若有机会重返一样会选择露营地,14,1,1
園區設施老舊，戶外設施都落漆了，俱樂部超鳥，餐廳地板超髒，收這麽貴的價錢卻提供這種環境，不推～,3,2,2023/09/07,,園區設施老舊戶外設施落漆俱樂部超鳥餐廳地板超髒收麽貴價錢提供環境推,15,0,1
食材份量上有點不足，但環境與氣氛良好，建議前來的人可以自備額外的食材,5,2,2023-06-18 19:02:35,,食材份量環境氣氛建議前來自備額外食材,16,1,1
1.燈光忽亮忽暗，電壓好像有問題2.有用店家提供的蚊香及噴防蚊液，蚊子和小黑蚊還是蠻多的，隔著長褲都被咬3.電風扇算小台，大太陽時會不太夠用4.睡帳內空間很大，有提供毛巾、牙刷、衛生紙、冰箱、飲水機、廚房用具、餐具還不錯,3,2,2023/05/07,,燈光忽亮忽暗電壓好像有用店家提供蚊香噴防蚊液蚊子小黑蚊隔著長褲咬電風扇算小台太陽時太夠用睡帳空間很大提供毛巾牙刷衛生紙冰箱飲水機廚房用具餐具不錯,17,0,1
"空中帳篷。帳篷因材質關係早上若出太陽會被熱醒,味道稍重住兩天一夜廁所沒人清掃/帳與帳近",4,2,2021/03/05,,空中帳篷帳篷材質關係早上若出太陽熱醒味道稍重住兩天一夜廁所清掃帳與帳近,18,1,1
環境乾淨、浴室水量很大，房間很乾淨、床非常舒服，老闆跟老闆娘人親切，下次還會再來,5,2,2021/05/07,,環境乾淨浴室水量很大房間乾淨床舒服老闆老闆娘親切下次還會再來,19,1,1
新的露營區設備都很新廁所也很乾淨服務人員解說得很詳細還有幫大家拍空拍的照片很棒！,5,2,2023/05/07,,新露營區設備新廁所乾淨服務人員解說詳細幫拍空拍照片很棒,20,1,1
很多外國人都會去的景點。多くの外国人が行く観光地。Many scenic spots that foreigners will go to.,5,2,2023/05/07,,外國人景點くの外国人が行く観Manyscenicspotsthatforeignerswillgoto,21,1,1
因為我們是有訂4人小木屋跟4人的森與夢，但是因為床的大小無法睡4個大人，所以又當場加4人的和室房！真心建議帳篷的床一人一個！冬天的睡袋如果厚一點會比較好！不然要穿外套跟襪子，毛帽睡覺才會很暖環境真的不賴！服務跟設備都很乾淨很寬戶外活動空間很大！,4,2,2019/05/07,,因為有訂小木屋森夢因為床大小睡大人加室房真心建議帳篷床一人冬天睡袋厚一點穿外套襪子毛帽睡覺暖環境真的不賴服務設備乾淨寬戶外活動空間很大,22,1,1
住宿環境佳！晚餐也很好吃值得再來一趟！ …,5,2,2023/05/07,,住宿環境佳晚餐好吃值得再來一趟,23,1,1
太棒了...我們玩得很開心...營地主人非常友善友善一定要來！！我們擁有最美的星空和美麗的日出景色,5,2,2023/12/07,,太棒了玩得開心營地主人友善友善要來擁有最美星空美麗日出景色,24,1,1
風景優美超級漂亮的，老闆也很讚重點是沒什麼蚊子和小黑蚊，小木屋冷氣很夠力。 …,5,2,2023/05/08,,風景優美超級漂亮老闆讚重點沒什麼蚊子小黑蚊小木屋冷氣夠力,25,1,1
原本是小木屋，因為下大雨，房間漏水，有主動提問是否需要換房冷氣沒有除濕功能，整個房間很潮濕熱水的部分，沒有到很熱早餐很好吃，但晚餐和下午茶普普但這是露營，不是大飯店，所以整體都還ok,3,2,2023/05/07,,原本小木屋因為大雨房間漏水主動提問換房冷氣除濕功能房間很潮濕熱水很熱早餐好吃晚餐下午茶普普這是露營大飯店整體都還ok,26,0,1
"住宿環境、整潔度跟各方面都跟照片一致, 太陽房就在進入住宿區域的第一間, 停車位就在旁邊非常方便, 有機會還會再來.",5,2,2022-01-04T10:01:54+08:00,,住宿環境整潔度照片太陽房住宿區域第一間停車位旁邊機會還會再來,27,1,1
大家都開心去玩開開心心的 結果我們一到服務態度極差 讓我們沒有心情玩 況且安全措施根本沒有準備 讓我們身痕累累的回家 希望可以改善..,1,2,2023/05/08,,開心玩開開心心一到服務態度極差心情玩安全措施身痕累累的回家希望改善,28,-1,1
大家人都很好 服務很親切還很會拍照營區也很乾淨遇到問題也積極解決還有提供防蚊液乳液供大家使用棒棒 推,5,2,2023/05/07,,服務親切還很會拍照營區乾淨解決提供防蚊液乳液供棒棒推,29,1,1
營區的環境幽美，服務人員態度超棒。這次第三次入住左鎮露營樂，每次的感受都很不錯環境清幽，交通便利，還有一片超大草皮，小孩在上面奔跑到不想回家服務人員態度都超好超親切,5,2,2024/01/22,,營區環境幽美服務人員態度超棒第三次入住左鎮露營樂每次感受不錯環境清幽交通便利超大草皮小孩奔跑不想回家服務人員態度超好超親切,30,1,1
優點：1.房間基本設備ok 浴缸馬桶很不錯2.提供接駁車 價錢合理而且很方便3.工作人員用心帶活動炒熱氣氛4.酒精無限暢飲很不錯 酒品種類算多 調酒很用心5.宵夜滷味炸物很好吃 但要記得在8.前下單6.diy擴香石後還幫我們包裝 很漂亮有質感可以再改進：1.營區設備及活動與網路影片有落差 沒有燒肉 沒有小兔子 沒有兒童戲水池 早餐內容跟去年落差大 有種被騙的感覺2.應提供雨天備案 遇到下雨天 漆彈活動直接取消 沒有任何室內雨天備案3.摔碗酒因為「技術上的問題」而取消活動 是什麼原因取消沒有講 只是請我們見諒 在不知道原因、沒有其他代替活動的情況下有點難體諒4.食物份量少 晚餐蝦子一人1隻 蛤蜊3顆 早餐的蒸蛋兩湯匙就挖完 吃得有點空虛5.早餐時間結束前20分鐘就開始收拾吐司跟烤箱 感覺可以等時間到再收 才不會讓人覺得廚房很小氣我們購買的是c方案 折價後一人4000 這樣體驗下來感覺只有2500的價值 有點小失望場地跟硬體設施其實蠻好的 如果再改善一下就更棒了p.s 蘆筍汁的客群稍微少一些些 房間冰箱飲料可以調整一下哈哈,3,2,2024/04/07,,優點房間設備ok浴缸馬桶不錯提供接駁車價錢工作人員用心活動炒熱氣氛酒精無限暢飲不錯酒品種類算多調酒用心宵夜滷味炸物好吃記得前下單diy擴香石後還幫包裝很漂亮質感改進營區設備活動網路影片落差燒肉小兔子兒童戲水池早餐內容去年落差有種被騙感覺應提供雨天備案下雨天漆彈活動取消室內雨天備案摔碗酒因為技術取消活動原因取消講請見諒原因活動情況難體諒食物份量少晚餐蝦子一人隻蛤蜊顆早餐蒸蛋兩湯匙挖完吃空虛早餐時間結束前20分鐘收拾吐司烤箱感覺時間收廚房小氣購買c方案折價一人4000體驗感覺2500價值失望場地硬體設施改善棒ps蘆筍汁客群稍微少房間冰箱飲料調整,31,0,1
服務態度很差！很懷疑評價真假因為訂房詢問口氣非常不佳,1,2,2023/05/08,,服務態度很差懷疑評價真假因為訂房詢問口氣不佳,32,-1,1
停車方便～餐廳專人拍照超專業好拍好玩好好吃每個角落都看的老闆娘用心佈置的心意傳遞幸福到每個人心裡給值得一再造訪～,5,2,2022/05/08,,停車餐廳專人拍照超專業拍好玩好吃角落老闆娘用心佈置心意傳遞幸福人心裡給值得一再造訪,33,1,1
氣氛好，服務待度佳！這是非常好的體驗歡迎大家一起來……,5,2,2023/05/08,,氣氛服務待度佳這是體驗,34,1,1
藍天綠地，非常舒服！霖霖親切又專業的服務 讓我們下次願意再訪！,5,2,2023/09/09,,藍天綠地舒服霖霖親切專業服務下次再訪,35,1,1
南部免裝備露營地好選擇。。第一次到這裡，大草皮很舒服，但無遮蔭超曬，浴廁出乎預料之外乾淨無異味而且都還附衛生紙，每帳旁邊也有水槽，真的很方便又乾淨的營地，值得再去。,5,2,2020/06/02,,南部免裝備露營地選擇第一次草皮舒服遮蔭超曬浴廁出乎預料之外乾淨異味還附衛生紙每帳旁邊水槽真的乾淨營地值得,36,1,1
露營內設施齊全 一開始原本以為什麼都要帶但去了才發現鍋碗瓢盆刀叉具都應準備好,5,2,2022-04-23 16:22:20,,露營設施齊全原本以為發現鍋碗瓢盆刀叉具都應,37,1,1
環境清潔、舒適。服務人員親切。晚餐食材美味可口、豐富。,5,2,2023/05/07,,環境清潔舒適服務人員親切晚餐食材美味可口,38,1,1
營區內氣氛不賴，洗澡熱水供應比想像中的優，早餐煎蘿蔔糕的MoMo阿姨很親切怕我們沒有吃飽，一早有這麼棒的體驗心情真好！,5,2,2022/05/07,,營區氣氛不賴洗澡熱水供應想像中優早餐煎蘿蔔糕MoMo阿姨親切吃飽一早棒體驗心情真,39,1,1
工作人員超親切的！也剛好遇到很好的天氣，我愛霧繞 …,5,2,2023/05/08,,工作人員超親切天氣我愛霧繞,40,1,1
最近夕陽漫漫真的很值得去，藍天白雲，襯著園區的草地超像一幅風景畫，也不用套濾鏡調色直接發IG也沒問題，餐點的部分很不錯，濕地風的海鮮創意料理超對我的胃口，尤其是那個泰式酸辣中卷給我這個愛吃泰式又怕辣的小朋友胃口來說非常剛好，很適合夏天的菜單，還有無刺的白帶魚捲，直接懶到不用挑刺，不愧是懶人露營XD,5,2,2023/08/08,,夕陽漫漫真的值得藍天白雲襯著園區草地超像一幅風景畫不用套濾鏡調色直接發IG餐點不錯濕地風海鮮創意料理超對胃口泰式酸辣中卷給愛吃泰式辣小朋友胃口適合夏天菜單無刺白帶魚捲懶到不用挑刺不愧懶人露營XD,41,1,1
休閒的好去處，早晚溫差大要注意保暖～偶爾來山上呼吸新鮮空氣很不錯！有機會會再回訪！,4,2,2022-10-19T21:47:17+08:00,,休閒好去處早晚溫差保暖山上呼吸新鮮空氣不錯機會回訪,42,1,1
營區有游泳池、房間有冷氣的露營，很適合親子旅遊,5,2,2023/05/08,,營區游泳池房間冷氣露營適合親子旅遊,43,1,1
規劃已久的露營終於到來，運氣很好的遇上大好的天氣跟很棒的營區，風景很美設施也很新穎乾淨。包區的空間非常足夠，可以讓小朋友到處奔跑放電，大人們還能架個客廳帳將炊煮的區域擴大到外面聚會。非常推薦大團體的聚會，但要記得早早預訂喔！,5,2,2023/05/07,,規劃已久露營終於到來運氣遇上大好天氣很棒營區風景美設施新穎乾淨包區空間足夠小朋友奔跑放電還能架個客廳帳將炊煮區域外面聚會推薦團體聚會記得早早預訂喔,44,1,1
草地營區寬闊平整舒適，有溫泉可以泡是一大加分，若是熟悉路況附近也有七坑野溪溫泉可以去探險。缺點是海拔不夠高，樹木樹蔭不夠多，夏季應該會很熱。,5,2,2022/05/08,,草地營區寬闊平整舒適溫泉泡一大加分熟悉路況有七坑野溪溫泉探險缺點海拔高樹木樹蔭夏季很熱,45,1,1
第一次來露營體驗還不錯服務人員很親切、服務很好食材也都超棒還有開心農場可以摘菜,5,2,2023/05/07,,第一次露營體驗不錯服務人員親切服務食材超棒開心農場摘菜,46,1,1
整體來說還不錯，帳篷乾淨，衛浴設備也還算乾淨很寬敞，建議平日來，就可以不用跟人搶洗澡時間。,4,2,2021/05/07,,整體不錯帳篷乾淨衛浴設備還算乾淨寬敞建議平日不用搶洗澡時間,47,1,1
很棒的休閒娛樂地方，小孩放電的好地方，曉玲姐很幫忙，媽媽生日照顧的很齊全 …,5,2,2023/05/07,,很棒休閒娛樂地方小孩放電地方曉玲姐幫忙媽媽生日照顧齊全,48,1,1
工作人員紫庭，幫我們辦入住，仔細又細心的介紹！很棒，希望下次還有機會來住！,5,2,2023/05/07,,工作人員紫庭幫辦入住仔細細心介紹很棒希望下次機會住,49,1,1
第一次來這露營，整個體驗都很棒，環境也很好，其他這裡都應有盡有，下次還會想再來放鬆放鬆,5,2,2024/03/08,,第一次露營體驗很棒環境應有盡有下次還會想再來放鬆放鬆,50,1,1
整件事我攤開來說 也修正我的表達方式一進去連介紹都沒有…這是事實我們知道懶人露營的型態只是想放鬆心情 不用帶著負擔出門只是到了現場 真的只有點名確認身分說就這樣….員工就走了！？無言廁所沒掃 傻眼️（有照片存證女服務員只告知男員工：下次要記得….這也是事實（連一句歉意都沒有帳篷充滿了超濃厚茶樹精油味（男員工也進去查看 也認同味道很重）不知道怎麼處理 我們也只好自己想辦法我們也沒有怪責員工…這是事實從頭到尾我們完全沒有指責或責罵任何人…你我都很清楚 服務業做久了我們也能體會 但是怎麼一個懶人露營變成我們也要考驗自己怎麼處理？？我們不加價換房 也沒有抱怨什麼也戴口罩忍住沒睡 ..這也是事實有些事情處理的態度跟方式請老闆的員工教育真的要…..真的經營需要用心才行結論～如果評論都不能說實話那請消費者自己體會….️,1,2,2023/10/08,,整件事攤開修正表達方式介紹這是事實懶人露營型態想放鬆心情不用帶著負擔出門現場真的點名確認身分說員工走無言廁所沒掃傻眼️照片存證女服務員告知男員工下次記得這也事實一句歉意帳篷充滿超濃厚茶樹精油味男員工查看認同味道重只好想辦法怪責員工這是事實從頭到尾指責責罵任何人服務業做久體會懶人露營考驗加價換房抱怨戴口罩忍住沒睡這也事實事情態度方式請老闆員工教育真的真的經營用心才行結論評論說實話那請消費者體會️,51,-1,1
晚上氣氛很美，也很安靜，只是完全沒風，烤肉時很悶很熱，帳篷有冷氣非常舒服下次可以改冬天來，應該很不錯,4,2,2023/09/07,,晚上氣氛美安靜沒風烤肉時很悶很熱帳篷冷氣舒服下次改冬天不錯,52,1,1
親身參與體驗一次山思雲想的露營之後才知道小編為什麼都不能回覆訊息了哈哈 因為小編太忙了啦 要訂位要準備食物要擺盤要滿足各位的網美心 真的辛苦他了 大家要乖乖有耐心小編人很好有耐心又親切還帶我們去看難得一見的螢火蟲跟竹山秘境 真的超級美 完全不後悔整個營地經營的非常好 廁所淋浴間也都乾淨整潔我們第一次參加露營活動 留下非常非常美好的回憶一定會推薦給我的朋友們 因為這裡實在太讚了啦下面好多一顆心留言的都讓人覺得莫名奇妙⋯自己晚匯款還怪人不保留營帳 是在哈囉？總之這裡真的太讚了啦 3800很值得 一泊五食 絕對不會餓到還有一堂森林瑜珈課可以上 真是完美,5,2,2020/05/07,,參與體驗山思雲想露營編為回覆訊息因為編太忙訂位食物擺盤網美心真的辛苦乖乖耐心編人耐心親切還帶難得一見螢火蟲竹山秘境真的超級美後悔營地經營廁所淋浴間乾淨整潔第一次參加露營活動留下美好回憶推薦給我朋友因為實在太讚好多一顆心留言莫名奇妙晚匯款怪人保留營帳哈囉真的太讚3800值得一泊五食餓到一堂森林瑜珈課完美,53,1,1
非常喜歡！環境很好，公共區域也很乾淨。營區的工作人員都非常熱情，之後想再去。,5,2,2022/05/09,,喜歡環境公共區域乾淨營區工作人員熱情想,54,1,1
"園區不大,很乾淨,有草地,二個小小的溜滑梯,可以DIY PIZZA，我只是去喝咖啡，吃下午茶",3,2,2020/05/07,,園區乾淨草地二個小小的溜滑梯DIYPIZZA喝咖啡吃下午茶,55,0,1
很好拍照的地方，工作人員親切！尤其是Ivy，謝謝他們～,5,2,2023/05/07,,拍照地方工作人員親切Ivy謝謝,56,1,1
超喜歡的地方大小神殿很適合露營新手來體驗看看原住民餐很好吃 營主人很好會想再回來 …,5,2,2019/05/07,,超喜歡地方大小神殿適合露營新手體驗原住民餐好吃營主人想回來,57,1,1
營地阿姨一直趕訪客，明明平日就沒有人，卻龜龜毛毛一直想要東收$西收$，從來沒露過那麼小氣的營區。或許你們有你們的堅持，但人會變通不要這麼小氣。,1,2,2020/05/08,,營地阿姨訪客明明平日龜龜毛毛想要東收西收從來沒露過小氣營區但人會變通小氣,58,-1,1
地方很漂亮但是房間裡面有紅螞蟻被咬的不要不要的然後餐點蠻失望的潮間帶導覽，根本是盒箱導覽都用盒子裝生物在裡面大失所望的導覽跟遊客用同一個通道的廁所跟衛浴感受蠻不好的,2,2,2023/10/08,,地方很漂亮房間紅螞蟻咬餐點失望潮間帶導覽盒箱導覽盒子裝生物大失所望導覽遊客同一個通道廁所衛浴感受不好,59,-1,1
營地離鹿谷市區不遠，空氣清新景色不錯，提供的下午茶、晚餐燒烤、早餐均令人驚艷，也提供很多桌遊、球具，晚餐的房間設施維護不錯，床也非常舒服，浴室乾濕分離水壓水量充足，熱水很熱但有點不好調整，在大自然中生態良好，但也因此有比較多的蚊蟲螞蟻，要記得噴防蚊液，店家在帳外也有協助點蚊香驅蚊，很棒的奢華露營體驗，店家服務態度良好。,5,2,2023/09/08,,營地鹿谷市區不遠空氣清新景色不錯提供下午茶晚餐燒烤早餐令人驚艷提供桌遊球具晚餐房間設施維護不錯床舒服浴室乾濕分離水壓水量充足熱水很熱不好調整大自然中生態蚊蟲螞蟻記得噴防蚊液店家帳外協助點蚊香驅蚊很棒奢華露營體驗店家服務態度,60,1,1
非常獨特的營地，老闆人非常耐斯，晚上坐躺椅，吹著海風，聽著海浪聲，輕輕哼唱著（聽海），完美,4,2,2022/05/07,,獨特營地老闆耐斯晚上坐躺椅吹著海風聽著海浪聲輕輕哼唱著聽海完美,61,1,1
空間大，風景漂亮，房間乾淨，適合帶老人及小孩來放鬆,5,2,2024/01/08,,空間風景漂亮房間乾淨適合老人小孩放鬆,62,1,1
地如其名，如神仙之地！餐點很棒，環境也很優~ ｡⁠◕⁠‿⁠◕⁠｡,5,2,2023/05/08,,名神仙之地餐點很棒環境優｡⁠◕⁠‿⁠◕⁠｡,63,1,1
讚讚讚!!!全家一起参加了漂漂河活動，好感動活動的所有幫忙的帥哥，讓我們儲存了一個美好又冒險的回憶，雖然翻了兩次船，但還是覺得好玩，瀑布灌頂好刺激喔！,5,2,2020/05/08,,讚讚讚全家参加漂漂河活動感動活動幫忙帥哥儲存美好冒險回憶翻兩次船好玩瀑布灌頂刺激喔,64,1,1
營地在溪二旁，有很大的天然游泳池。5月份有螢火蟲可以看，數量還好，以及桐花可以看。廁所環境還蠻乾淨。,3,2,2018/05/07,,營地溪二旁很大天然游泳池月份螢火蟲數量還好桐花廁所環境還蠻乾淨,65,0,1
營地夠大，住起來放鬆舒服，加上營火的話在冷冷的天真的非常愜意值得一來,5,2,2024/02/08,,營地夠大住放鬆舒服營火冷冷的天真的愜意值得,66,1,1
夏天來根本就是折磨自己蚊蟲多的驚人，防蚊液塗再厚都沒用蚊香自己插、照明用的燈條自己拉帳篷內極熱，爆汗全身粘膩水冷氣根本不涼，而且是額外花錢租的晚上12點過後其他帳仍大聲吵鬧聲音之大、之嗨，彷彿包場一樣放肆營方坐視不管，廁所衛生紙沒了也不補晚餐是非常普通的烤肉早餐是普通早餐店餐點一晚平均1人超過3千，CP值低到不可思議這樣的品質配這種價格，大開眼界了！我很不喜歡留負評，但這個真的太扯很值得我撥空寫評論呢！,1,2,2023/09/09,,夏天根本就是折磨蚊蟲驚人防蚊液塗厚沒用蚊香插照明用燈條拉帳篷極熱爆汗全身粘膩水冷氣不涼額外花錢租晚上12點過帳仍大聲吵鬧聲音之大嗨彷彿包場放肆營方坐視不管廁所衛生紙不補晚餐烤肉早餐早餐店餐點晚平均超過CP值低不可思議品質配價格大開眼界喜歡留負評真的太扯值得撥空寫評論,67,-1,1
滿分!老闆人很好!再加100分位置真的是離塵不離城!,5,2,2018/05/08,,滿分老闆再加100分位置真的離塵不離城,68,1,1
慢活的旅行……美味的食物…早餐momo阿姨親切友善…適合寶貝們來放風,5,2,2022/05/07,,慢活旅行美味食物早餐momo阿姨親切友善適合寶貝放風,69,1,1
第一次體驗露營，原本還很擔心夏天會不會很熱，結果晚上冷到要蓋棉被，環境很優美適合拍照，適合一家大小、情侶、朋友一起參加，還可自費生日佈置，帳篷很寬敞，裡面乾淨無異味，下午有做乾燥花及調香的活動可供選擇，晚餐非常豐盛。,5,2,2023/07/07,,第一次體驗露營原本擔心夏天很熱晚上冷到蓋棉被環境優美適合拍照適合一家大小情侶朋友參加還可自費生日佈置帳篷寬敞乾淨異味下午做乾燥花調香活動供選擇晚餐豐盛,70,1,1
這兩顆星是給服務人員的，從一開始的接駁車人員及check in人員講解告知住房規則都非常清楚明白，隔天早餐餐點及大家口中的阿姨也都非常熱情接待大家，但大概就僅此而已，接著就是這次入住的不佳感受。當天晚上小孩洗澡洗到一半的時候發現浴室排水塞住無法排水，馬上撥電話請房務人員來幫忙處理，過一會房務人員也幫忙解決完排水塞住問題，但我的疑問是難道白天房務人員清潔時都沒發現排水塞住問題？還是都沒在掃？為何到晚上入住才被倒楣的我們遇到？另外入住時候服務人員告知晚上10:00以後要放低音量，如屢勸不聽服務人員有權請住客離開並不退費，結果應該是籤運太差，今天同住別帳的團體旅客從晚上開始要降低音量後繼續聊天，周圍蟲鳴聲之外扮雜著聊天嘻笑的聲音，到了11:30受不了打電話請房務人員幫忙勸導一下，但也不見有降低音量的跡象，直到凌晨12點多。環境上應該是在海邊的關係，還蠻多設備有生鏽跡象，帳篷跟燈具都有些灰塵及蜘蛛網，同行友人隔天皮膚還有點不適，這部分就要請清潔房務人員多多加油了。如果問我下次是否還會找帳篷式的住宿來做旅遊規劃，我會！但如果是像這次選擇的住房價位及所感受到住宿過程的回饋，我會回答不會有下次了。,2,2,2022/05/07,,兩顆星是給服務人員接駁車人員checkin人員講解告知住房規則明白隔天早餐餐點口中阿姨熱情接待僅此而已入住不佳感受當天晚上小孩洗澡洗一半發現浴室排水塞住排水撥電話請房務人員幫忙一會房務人員幫忙解決完排水塞住疑問白天房務人員清潔時發現排水塞住掃為何晚上入住倒楣入住服務人員告知晚上1000放低音量屢勸不聽服務人員有權請住客離開退費籤運太差同住別帳團體旅客晚上降低音量聊天蟲鳴聲之外扮雜著聊天嘻笑聲音1130受不了打電話請房務人員幫忙勸導不見降低音量跡象凌晨12點多環境海邊關係還蠻設備生鏽跡象帳篷燈具灰塵蜘蛛網同行友人隔天皮膚不適這部分請清潔房務人員加油問我下次還會找帳篷式住宿做旅遊規劃我會選擇住房價位所感住宿過程回饋我會回答下次,71,-1,1
整體環境氛圍佳但希望烤肉食材有其他選項食材裡很多加工食品 醉蝦 還有一些不常見的烤料 希望能有多一點新鮮肉品或自行選擇食材,3,2,2023/05/08,,整體環境氛圍佳希望烤肉食材有選項食材裡加工食品醉蝦常見烤料希望多一點新鮮肉品自行選擇食材,72,0,1
位置很好找，不需要準備露營用具是一大賣點。建議可以自行準備鍋具比較安心。,4,2,2020/05/07,,位置好找露營用具一大賣點建議自行鍋具安心,73,1,1
很不錯的免裝備露營，天氣好一切很讚。友善孕婦推薦,5,2,2022-09-20 13:25:13,,不錯免裝備露營天氣讚友善孕婦推薦,74,1,1
超棒！一定要來！老闆人很好溝通，環境跟CP值非常滿意,5,2,2024/05/08,,超棒要來老闆溝通環境CP值滿意,75,1,1
幾年前來過，那時候是很不錯的，清靜風景美，設施也很乾淨。這次來疫情剛解封就收一大堆客人，重點是大門口動線不佳，沙灘車跟客人的車全部擠成一堆，訂露營車提早到了，想說肚子不適借個廁所就先離開等時間到再來入住，也是推推拖拖，實在是不推薦，總之以後不會再來了。三點入住三點半漂漂河根本是趕鴨子上架，建議要報名的三思。,2,2,2022/05/08,,幾年前來不錯清靜風景美設施乾淨疫情解封收一大堆客人重點大門口動線不佳沙灘車客人的車擠成一堆訂露營車提早到想說肚子不適借個廁所先離開時間再來入住推推拖拖實在推薦再來三點入住三點半漂漂河趕鴨子上架建議報名三思,76,-1,1
風景優美，帳篷還算乾淨，浴室熱水忽冷忽熱。運氣不好遇到不懂自律的其他旅客，超過10:30要營主制止才關音樂，持續聊天喧譁到凌晨4點,2,2,2024/05/06,,風景優美帳篷算乾淨浴室熱水忽冷忽熱運氣不好懂自律旅客超過1030營主制止才關音樂持續聊天喧譁凌晨點,77,-1,1
因為疫情其實已經付了錢，但店家不給延後，都無法體驗到，整個處理過程也讓我覺得很困擾，希望在應對上可以改善一下吧,1,2,2023/05/07,,因為疫情付錢店家不給延後體驗處理過程困擾希望應對改善,78,-1,1
第一次露營，可以玩沙灘車及水彈體驗活動。講解有趣又好玩，阿群教練帶領起來，非常有趣~,5,2,2022/05/08,,第一次露營玩沙灘車及水彈體驗活動講解有趣好玩阿群教練帶領有趣,79,1,1
