content,rating,type,status,sequence_num,tokenization,publishedDate,origin
我營地環境還不錯，雖然沒有特別驚豔的地方，但整體來說還是維持得不錯，唯一比較不理想的是熱水器時常失靈，洗澡時總是溫度忽高忽低，其他設施還算可以。,3,1,0,599,,2022/05/06,0
營地風超大，石子地不好釘！廁所數量少，如果能設置分區衛浴會更好，不過遊樂設施還是讓小朋友玩得不亦樂乎！。,3,1,0,620,,2022/05/06,0
該營地的總體環境清幽，唯一的缺點是過多的露營客及孩童，造成相當的噪音問題。管理人員似乎也未對此採取適當的管制措施，例如在深夜11點多仍可聽到巨大聲響。,3,1,0,622,,2022/05/06,0
環境還可以，礫石多於草地，行走起來有如健康步道，廁所雖設施眾多，卻稍嫌距離稍遠，不過每小時皆有人清理垃圾及整理廁所環境，打掃得相當乾淨。,3,1,0,626,,2022/05/06,0
"前往的路幾乎都是雙線道可會車，行車順暢。營地本身石塊甚多，尖銳，建議攜帶不銹鋼營釘，或多帶幾根營釘。風景秀麗，視野寬闊！遊戲區位在最低處，需步行一小段下坡路。1月1日當晚營地停電至少5次，原因不明，建議攜帶非插電照明。廁所熱水不穩定，有時熱時冷，無飲水機，請自行攜帶水。」
」
您所提供的對話，並非一個明確的問題，我將為您將其內容，以您所要求的方式，重新 word 掉：基於您所提供的資訊，營地的道路狀況良好，大部分為雙線道可會車，行車順暢。然而營地內石塊眾多，尖銳，建議攜帶不銹鋼營釘，或備妥足夠的營釘。該地擁有美麗的風景與寬闊的視野，遊戲區位在營地最低處，需步行一小段下坡路才能抵達。值得注意的是，在1月1日當晚，營地發生至少5次停電的情形，原因不明，建議攜帶非插電照明設備。廁所的熱水供應不穩定，有時熱時冷，營地內也沒有飲水機，請務必攜帶足夠的飲用水。
」",3,1,0,636,,2021/05/06,0
我同意你的說法，營地在兒童放電上，確實是個不錯的選擇，管理者也相當用心，為家長在戲水區提供遮陽傘，以避免曝曬。不過還是有一些地方需要改進，像是垃圾桶位置、廁所照明、熱水器穩定度、營地鋪設等，這些問題若能解決，將能使營地更加舒適。,3,1,0,652,,2021/05/06,0
不要怕被咬，地板硬梆梆的，還在淹水呢。,3,1,0,654,,2021/05/06,0
"1.雖然地石不爛泥，但不宜打樁。2.租帳篷沒人會搭，也無人教你，還好有朋友同去研究。3.沒見到營主，也不知去向，不像其他營地熱情。4.帳篷費自行收(完全自行處理，但價格比外租高)。5.充氣床也無電可充，還好有朋友，否則不知會踩到什麼。6.能接受的事，就是讓初學者體驗露營。7.若無法接受，就是洗澡水溫驚人又冷，無法洗，後來乾脆不洗，調一下就超熱，要煮熟。8.小孩玩處少，也遠，無法在附近看到小孩玩。也許其他營地亦如此，但朋友常露，故覺得這一切很不可思議。環境很靜，離老街也不遠，希望能改善這些，否則只會去一次而已。
9.我們認為營地需改善之處很多，希望業者能重視，以吸引更多客人，並讓客人有良好體驗。
10.我們認為營地在價格、設施、服務等方面，都還有改善空間，若能改善，相信會吸引更多客人，也讓客人有更好的體驗。",3,1,0,664,,2020/05/06,0
路況不佳，導航卻堅持要走內灣老街，週末時段車潮湧現，導致嚴重塞車，營地地勢硬朗，石塊密布，普通營釘難以打入，廁所設施尚可。,3,1,0,674,,2020/05/06,0
從未遇過如此惡劣的營地地形，下釘極為不易，加上東北季風強勁，導致帳篷被吹垮，還有半數的露營客在半夜撤營，真是一次難忘的經歷。 ~~,3,1,0,701,,2019/05/06,0
場地秀異，宣傳投資更顯重要，如何在兩者間取得平衡，值得深思。,3,1,0,714,,2019/05/06,0
露營地堅硬，不好紮營，聽起來是個挑戰，不過換個角度想，或許可以找到創意的解決方法，像是使用較大的營釘、改變紮營的方式，或甚至選擇另一個地形較軟的營地，總有辦法的！有沒有什麼你過去在惡劣環境中紮營的經驗，或是有什麼技巧想分享？,3,1,0,725,,2019/05/06,0
你對獨立廁所的需求，是否與住宅的空間或設計有關？我可以提供一些增加獨立廁所的可能解決方案，以及如何在不犧牲居住品質的情況下，有效利用空間。,3,1,0,727,,2019/05/06,0
果園四周沒有遊樂設施。,3,1,0,729,,2019/05/06,0
土石流，釘子不易打入，似是地質學上相當有趣的現象，你知道嗎，土石流是岩石、礫石等礦物顆粒，受到重力作用，移動的現象。,3,1,0,755,,2018/05/06,0
堅硬的岩石不易鑽孔，廁所太少，垃圾桶也跟著不夠。,3,1,0,786,,2020/11/28,0
排水極度不良的營地，十分適合小孩；露營難免會下雨，但雨下不到5分鐘，立即積水，淹得比打下的營釘還高。心想下半小時大雨不停，營主終於前來「關心」，一下子就走了。。心想再度浮現。我們3年來雖然只露營30次，也碰過不少豪大雨，卻未曾遇過排水如此不良的水坑營地，礫石、草地不平，明顯高低起伏，加上排水緩慢。蚊蟲蒼蠅蟑螂大小隻螞蟻多沒關係啦，大自然嘛，我想這營地在100%好天氣下，應該是個很棒的親子樂園。,3,1,0,799,,2020/05/18,0
感覺還不錯，營位寬敞，5*8天的帳篷搭設空間還算充裕，不過打釘確實有些困難，強風時更有拔釘之虞。,3,1,0,821,,2019/03/14,0
浴室夜間通風，感覺寒意逼人，該安裝窗簾或加裝保溫材了。,3,1,0,919,,2017/05/02,0
整體環境還不錯，視野寬闊，鄰近購物也方便(全聯)，唯獨山路坡度較陡，會車時須特別小心，而老闆的信譽問題，也略為扣分，影響了整體感受。,3,1,0,964,,2023/05/07,0
"D區女生認為應增設坐式馬桶，或安裝扶手，以方便年長者及不習慣蹲式廁所者；共用冷凍庫則建議增設冷藏功能，以滿需求。
D區女生認為應增設坐式馬桶，或安裝扶手，以方便年長者及不習慣蹲式廁所者；共用冷凍庫則建議增設冷藏功能，以滿需求。",3,1,0,1039,,2019/05/07,0
環境與衛生俱佳，地點視野極佳，空氣清新。,3,1,0,1041,,2019/05/07,0
位置便利，自三星鄉味之素至全家開車，約10-15分鐘，附近亦有不少景點，如松羅及九寮溪步道，惟秋冬季易生強風，夜間睡眠略感不穩。,3,1,0,1063,,2018/05/07,0
週末攀山，天氣涼爽，絕對不錯，營地擠，但風景值得。,3,1,0,1068,,2018/05/07,0
營地礫石地堅硬，釘子下得要小心。,3,1,0,1110,,2021/12/14,0
在C區草地，散步溝渠間，鋪滿草地墊，兒童跑跳不易，數度絆倒受傷，實際遊玩空間僅剩靠近沙坑一小區，優點是有熱水水槽及獨立區域可使用廁所，廁所清潔一般。,3,1,0,1170,,2024/02/07,0
從內灣上去，車多路窄，的確要些耐心，但風景沿途眺望，值得駕車之勞。,3,1,0,1192,,2023/05/07,0
路徑叉路枝葉剪除，潔淨得好，值3.5顆星。,3,1,0,1216,,2023/05/07,0
眾人評價引發期待，向老闆確認漂漂河情形，結果只有A區有營業，其他區都未開放，感到相當失望。然而廁所設有防蚊紗窗，這點還算貼心。,3,1,0,1444,,2023/10/07,0
下午突如其來的大雨，地面泥濘不堪，明顯砂石鋪設不足，惟其他區域石塊鋪設較多，反倒影響不大，乾爽許多，其他設施大致良好，是小孩戲水消暑的好去處，水質清澈見底，疑是山泉直流，該季節更有蝌蚪嬉戲，夜晚則蚊蟲蛾類繁多。,3,1,0,1459,,2023/06/07,0
新營主非常熱情好客，定期維護浴室及廁所的清潔並進行消毒，一間住宿區一間廁所一間浴室是防疫的好選擇，浴室並提供沐浴乳及洗髮乳。但僅有A區(營本部)提供一台冷凍櫃(冷凍+冷藏)、一台飲水機、一台脫水機。整個區域從A到F區，只有一台冰箱實在太少，建議增設。營地內有許多流浪貓流浪狗，睡前要將食物收好，貓會跳上桌子找食物，請它下來後仍故我重覆，晚上11點遇到熱水器沒電，還好老闆娘值班協助更換電池，但比較不能接受熱水器水壓不穩，不是太熱就是太冷，建議改善，否則冬天會很不方便。這次在露營樂訂C區包區，營地介紹可搭4個營位(6*10)，附1睡帳、1客廳帳、1車位，但真的覺得4個營位擁擠，幾乎沒有活動空間，不過感謝老闆提供水球和可樂給小朋友。這次很不巧遇上3天大雨，C區積水不退，直接變爛泥巴坑，走路一不小心腳就踩到爛泥巴，拖鞋直接黏住，或是滑倒，營主努力協助排除問題，搬來所有能給的草蓆墊使用，但第一次露營卻如此狼狽，這次帶了很多泥土回家做紀念。雨後去A、B、D區看，都沒有積水，只有C區狀態真的很不好，營主答應會改善。,3,1,0,1524,,2023/05/07,0
營地管理員態度謙和，卻遭遇先到先得的困擾，營位規劃未臻完善。,3,1,0,1554,,2022/05/07,0
整體而言還不錯，但營地評價沒那麼高，沒有客滿，我們兩家都住C區，如果4帳蓬可能會稍微擠。冬天來時沒有蚊子，只看到一隻小蟑螂，衛浴設備還不錯，不過得自己維持乾淨，否則沒看到營主清潔，旁邊就是大馬路，有時重機車隊經過會很吵。可能也是因為馬路旁有一隻野狗跑進我帳篷。,3,1,0,1560,,2022/05/07,0
感覺是曾經熱鬧過，現在卻荒廢的營地。..可能因為大家補班補課，所以我們包下了整個營地；營地沒有大門，的確有點沒有安全感，會有陌生人開車直入，隨意在園區內遊蕩，使用廁所，營主也只有在收錢時才出現。浴室的水溫時冷時熱，有幾間。,3,1,0,1566,,2021/05/07,0
浴室瓦斯量不足，夜晚洗澡覺得寒冷，草莓價格低廉。,3,1,0,1567,,2021/05/07,0
"鄰近區有一條小溪，營位旁有一池青苔蝌蚪滿佈的生態池，戲水的水道水質不佳，滑溜溜的，孩童戲水時要小心。缺點1.廁所髒亂，每天僅固定清潔一次，需露客要求/提醒才會清潔2.營地排水緩慢，未提供草地墊，但可提供帆布3.營位面積不大，帳篷緊鄰4.洗澡間旁無垃圾桶，垃圾桶無蓋，半夜會有流浪狗翻垃圾。優點1.浴室水量大，溫度穩定，提供洗髮乳、沐浴乳2.設有冰箱、飲水機、脫水機，湯屋有優惠。
</寓言>",3,1,0,1579,,2020/05/07,0
"關於清水溪河濱公園頂級區域的維護，你所提出的幾項疑慮，我能理解這可能會讓有人卻步。以下是我的重新表述，試著從不同角度切入：

在造訪清水溪河濱公園頂級區域之前，先確認該區域是否開放使用，以及是否有任何維護或限制措施，是相當重要的。以免遇到如你所提的維護不良、無人管理、排水不良等情況。

關於門票價格，的確有可能對部分民眾造成經濟負擔，在決定前往前，需權衡門票費用與整體旅遊預算是否合宜。

此外，你提到下雨時的排水問題，這確實是值得關注的因素。在雨季或下雨時，應格外注意區域內的積水情形，以確保安全。

最後，你提到需要向鄰近的草地借用草皮，這可能會造成不便，也可能影響其他遊客的使用權。若此為實情，則在造訪前應先行了解解決之道。

綜合以上所述，在決定前往清水溪河濱公園頂級區域前，仔細考量這些因素，並評估它們是否符合你的需求和期望，將是明智之舉。",3,1,0,1590,,2020/05/07,0
狹小的活動空間，換來整潔的環境，我還能接受。,3,1,0,1593,,2020/05/07,0
露營區公廁，維護得宜，開門見到髒亂的痕跡，實在有礙觀瞻。,3,1,0,1594,,2020/05/07,0
我同意，車位確實略顯擁擠，如果能包下整區，對家庭來說，應該會比較舒適，也比較安全，尤其是小孩子在附近玩耍時，更要隨時注意他們的安全。營地環境還算不錯，附近有不少景點，對於想在當地旅遊的家庭來說，位置相當方便。,3,1,0,1647,,2022/10/12,0
關於C區的排水系統及水壓問題，營主李文正非常熱心處理，他檢查了管線並做了必要的調整，以確保廁所和浴室的排水暢通，水壓也恢復正常。他還加強了衛浴區的清潔與消毒措施，以確保住客擁有舒適與衛生的住宿環境。營主李文正對住客的反饋十分重視，並感謝他們對改善設施的寶貴意見。從此，C區的住宿品質更加提升，住客都對營主的熱忱與專業表現給予正面評價。,3,1,0,1651,,2022/06/27,0
落差的預期，常源自於對現狀的不滿或對理想狀態的追求，你如何在工作與個人生活之間取得平衡，頗值玩味。,3,1,0,1666,,2021/03/03,0
C區浴室及廁所髒汙，蟑螂出沒，疑因主辦未入住而致。鄰區年輕人深夜10點開始卡拉OK唱歌，直到凌晨12點，第二天向主辦反應，主辦卻無能為力解決問題，顯見管理有待加強。,3,1,0,1669,,2020/08/21,0
我同意，交通雖是問題，但城市綠地、文化氣息，我覺得還是吸引不少遊客。您去過台北任何的博物館或藝術館嗎?,3,1,0,1672,,2020/03/04,0
駐地夏日溽暑，衛生設施又髒又無人打掃，實在不為過，不會二度光臨，理所當然。,3,1,0,1673,,2019/12/23,0
"壯圍鄉B區營地 夜衝突+一般週六一晚心得，優點環境乾淨，距離北埔市區近，非常方便補給，不用下廚沒問題，適合短暫休閒的輕裝露營。其他需注意事項為1.營地照片未更新，原本在A區旁的鞦韆/水池(球池)/沙坑，不知為何都消失了？剩下草皮區域記得自行攜帶遊具。2.洗到一半沒有熱水(約2030)，可能為尖峰時段所致；並有沐浴乳、洗髮精的按壓瓶都出問題。3.標示2200後安靜，但第一晚鄰居喝酒喧嘩到深夜，第二晚有小孩奔跑喧嘩到2230，未見營主實際出面規勸。
翻譯如下：
壯圍鄉B區營地 夜衝突+一般週六一晚心得，優點環境乾淨，距離北埔市區近，非常方便補給，不用下廚沒問題，適合短暫休閒的輕裝露營。其他需注意事項為1.營地照片未更新，原本在A區旁的鞦韆/水池(球池)/沙坑，不知為何都消失了？剩下草皮區域記得自行攜帶遊具。2.洗到一半沒有熱水(約2030)，可能為尖峰時段所致；並有沐浴乳、洗髮精的按壓瓶都出問題。3.標示2200後安靜，但第一晚鄰居喝酒喧嘩到深夜，第二晚有小孩奔跑喧嘩到2230，未見營主實際出面規勸。",3,1,0,1720,,2023/12/07,0
下雨絕對不宜，石礫地就是泥濘地，一片汪洋；廁所沒有乾濕分離，卻還是希望至少能有蓋垃圾�子，以免影響氣味與美觀，廁所到營地的排水也應加強。石礫地那大斜坡，在下雨時滑倒的大人小孩不少，實在很危險，務必要處理。,3,1,0,1723,,2023/11/07,0
根據我所掌握的資料，君悅飯店的業者親切有禮，卻未特別提及設有親子浴室。若您有興趣入住，建議在預訂前先向飯店確認相關設施。,3,1,0,1774,,2020/05/07,0
精緻的營地，可惜車停進去後，空間顯得有些擁擠，遊戲區設計得很好，孩子玩得不亦樂乎，直到不願離去，惟一的缺點是，蚊子實在太多了，整個家庭都被叮，光是小孩就被咬兩百多包，叮得他們皮痛，不得不提早拉拔回家，否則是個方便舒適的營地。,3,1,0,1778,,2020/05/07,0
在北埔市集附近，營地大小適中，通往營地的道路平坦好走，唯獨要小心防範蚊蟲叮咬。,3,1,0,1781,,2019/05/07,0
我認為路標標示應該更明確，會比較好。,3,1,0,1915,,2018/03/20,0
營地狹窄，相鄰營地噪音擾人，道路狹窄車底刮傷頻仍。,3,1,0,1957,,2023/11/07,0
規劃過度，彷彿隔間套房，帳篷擺放密度高，幾乎沒什麼活動空間；廁所乾淨，但以比例來說，數量仍嫌不足。,3,1,0,1974,,2023/05/07,0
我同意營地設施需改善，共用電源和廚房空間顯然不敷使用，廁所浴室的隔熱問題，也影響使用者舒適度，洗手台的數量與空間，也應增加以確保營地使用者的需求。,3,1,0,1989,,2023/05/07,0
營地各區地勢狹窄，幸好平日遊客較少，不會感到擁擠，夕陽觀賞地點多被樹木擋住視線，頂樓營位因緊鄰馬路，會有些許噪音，環境整體清潔度還算不錯。較不滿意的是，入住時雙方約定車輛停放無折扣，卻在隔天退營前才被告知露營車不能使用電力，要另外收費！付出相同費用，露營車卻不能用電，這規定對車主來說相當不友善，有意入住的車主請三思。...)。,3,1,0,1996,,2022/05/07,0
"我認為你的建議很有道理，與管理人員討論收費標準，或許能找到雙方都能接受的解決辦法。或許可以考慮依停留時間或人數收費，而不是一律收費，這樣對常客或停留時間較長的客人來說，應該會比較公平。

你可以這麼說：「我覺得我們應該和管理人員談談收費標準，我覺得依停留時間或人數收費，對大家都比較公平，比如說，入場一小時內免費，超過一小時收50，超過兩小時收100，且每人都有限額100。你覺得怎麼樣？我們應該好好跟他們談談，看看能不能達成共識。」

這樣不但表明你願意合作解決問題，也顯示出你對管理人員的尊重，相信他們會認真考慮你的建議。",3,1,0,2005,,2022/05/07,0
環境還不錯，步行至觀景台約30分鐘，景色360度無阻礙。營地巡邏費每人100元，最接近道路的營位地磚硬度不佳，不利紮營。,3,1,0,2010,,2022/05/07,0
不過，還是去爬山好，至少不用擔心水溫突如其來。,3,1,0,2045,,2020/05/07,0
霧濕瀰漫，能見度偏低，搭棚費時費力。,3,1,0,2047,,2020/05/07,0
初次夜宿遇上濃霧密佈，車頭燈照射下，景物彷若水珠散落，伴隨著些許蚊蟲飛舞，營地廣大，處處坡地起伏，冰箱巨大，但位置偏遠，業者帶領露營客遊覽附近風景，卻以貨車載送露客蹲坐在車斗上，有安全疑慮，建議提供地圖，讓露客自行開車前往較為妥當。,3,1,0,2051,,2020/05/07,0
草地寬闊，營位主人亦善良，惟夜間蚊蟲確實稍多，衛浴設施亦稍嫌不足。,3,1,0,2087,,2019/05/07,0
老闆熱中於提供清涼解渴的夏日茶品，亦投入心力栽種樹木、經營露營區。,3,1,0,2088,,2019/05/07,0
理解您的意思，下次還是帶好浴帽、梳子，免得麻煩。您去過附近新開的茶館沒?聽說他們有家煮茶的好地方。,3,1,0,2090,,2019/05/07,0
五月天白天午後炎熱、夜晚涼爽，露水較重，草木蓊鬱，但蚊蠅略多，廁所數量稍少，洗澡常有人排隊，建議中午前搭帳、隔日早些收拾，以避開酷熱。,3,1,0,2093,,2019/05/07,0
業者不聞不問，半夜遊客喧鬧，洗澡卻無熱水，孩子受寒生病，業者置之不理，夜巡確實為必要之惡。,3,1,0,2111,,2024/04/23,0
人多擁擠，住在G區，淋浴間與廁所與鄰居共用(鄰近的棧板若未搭帳，則為3人共用)，雖不甚方便，但環境仍算清潔。插座位置偏遠，需拉兩條電源線(10公尺加15公尺)才行，活動空間略顯侷促，冰箱則僅在營本部才有。,3,1,0,2139,,2022/04/13,0
營地或許略顯擁擠，卻也是與寵物能共享樂趣的好所在，看到牠們活蹦亂跳，為遊客帶來歡樂，亦是美好。,3,1,0,2174,,2020/08/12,0
我在七星潭地區，場地狹長，面積實在太小，根本無法容納七頂帳蓬，向業者反應，也只得到無解的回應。,3,1,0,2188,,2019/08/03,0
蟲蟲多(蟲蟲多)，第7區場地太小(超級擠，小朋友沒空間跑跳)，我不會推薦野餐。,3,1,0,2256,,2018/06/20,0
認同，營地需稍作改善，才更趨完善，下次來還想再去試試。,3,1,0,2267,,2018/05/01,0
"寬容度似未如言；2017-12/30-31-2018-1/1A區包訂10帳，卻因故被多占用3帳，業者稱是APP預訂系統錯誤，卻又不願確認對方透過APP的訂位訊息，和事佑業者不願得罪人，卻要客人吃悶虧，雖然只是一夜，卻我們五個月前預訂算什麼？ 其實很不爽，雖然我們也自得其樂三天(不然要我們怎麼想)，希望下次營主要有主見，不要再推說是系統問題了，該解決問題就要硬著頭皮解決。
寬容度似未如言；2017-12/30-31-2018-1/1A區包訂10帳，卻因故被多占用3帳，業者稱是APP預訂系統錯誤，卻又不願確認對方透過APP的訂位訊息，和事佑業者不願得罪人，卻要客人吃悶虧，雖然只是一夜，卻我們五個月前預訂算什麼？ 其實很不爽，雖然我們也自得其樂三天(不然要我們怎麼想)，希望下次營主要有主見，不要再推說是系統問題了，該解決問題就要硬著頭皮解決。",3,1,0,2292,,2018/01/08,0
營位配置與網站不同，我進去都還沒看到營位，就馬上去問工作人員。感覺很差，準備要搭方形帳篷，結果發現根本太小，沒辦法搭(我們在草地區，單人帳旁邊)。方形帳篷尺寸是440*550......，營區網站上標示營位是5*5......，供大家參考，無意間提點。,3,1,0,2348,,2017/07/14,0
蟲子很多，洗澡時浴室蚊蟲叢生， 很容易身上出現移動的Dior標誌，沒有水，沒有提供飲用水， 接著開車上山路不好開，道路不好開，看到轉進去標誌還要二十五分鐘，G區只有G1有景，可是夜景不是宜蘭市夜景，下次應該不會再去。 一千塊錢，在地方上可去的地方還很多。,3,1,0,2408,,2023/05/07,0
本次於草地G區露營，週末期間下了整整一整天的雨，抵達時因雨加上起霧，使得僅在廁所、浴室前方擺設的一盞小燈，光線相當昏暗，再加上營地排水不良，到處都是大小不一的水窪，使得搭帳篷的難度大幅提高，且因雨霧瀰漫，也沒能欣賞到當地景致。總結來說，日後不會再到宜蘭露營。,3,1,0,2410,,2023/05/07,0
路況不佳，導致汽車行駛困難，似是惹惱了營釘。,3,1,0,2421,,2022/05/07,0
廁所數量不足，的確會造成不便，尤其是排隊時，更是如此。或許可以增設幾間廁所，或是實施流動廁所，以紓解這個問題。,3,1,0,2461,,2020/05/07,0
"景致還不錯，未開發的G區，可眺望龜山島及蘭陽平原夜景，晚上燈光熄滅時，則星光燦爛，有機會看到銀河。草地區小朋友超愛，中間草地適合遊戲、玩沙，旁邊也有遮陽處及戲水區，不過水池邊緣較高，沒有上下水的地方，要注意天氣變化，管理員親切友善，廁所衛浴清潔度高。a區距離廁所稍遠，營位若帳篷數量多，衛浴可能不敷使用，熱冷水控制不易，有提供水桶，雖無小黑蚊，但這次遇到許多蒼蠅。 
景致還不錯，未開發的G區，可眺望龜山島及蘭陽平原夜景，晚上燈光熄滅時，則星光燦爛，有機會看到銀河。草地區小朋友超愛，中間草地適合遊戲、玩沙，旁邊也有遮陽處及戲水區，不過水池邊緣較高，沒有上下水的地方，要注意天氣變化，管理員親切友善，廁所衛浴清潔度高。a區距離廁所稍遠，營位若帳篷數量多，衛浴可能不敷使用，熱冷水控制不易，有提供水桶，雖無小黑蚊，但這次遇到許多蒼蠅。",3,1,0,2465,,2020/05/07,0
對於營地住客的行為，不滿意是常有的事，學生們熱鬧喧鬧，長輩們清晨起床影響他人安寧，維護環境清潔也是一大挑戰；而熱水供應不穩，更是雪上加霜；或許下次選擇營地時，要多加留意評價和資訊。,3,1,0,2470,,2020/05/07,0
營地雖小，海拔高度卻足，夜晚氣候佳時，得以觀賞星海，白天氣溫高，不建議正午時分登山露營，否則無遮蔽處可遮陽避暑，水電設施則無虞。,3,1,0,2479,,2019/05/07,0
我同意G區夜景確實迷人，但公共區域的清潔維護，確實有待加強，居民及訪客都應共同維持環境整潔。,3,1,0,2492,,2019/05/07,0
生日在那裡過真不錯，從台7甲線上下去轉一轉，路真暗，至少開20分鐘，夜晚開車要小心；營區蚊子超多，還沒有飲水機，住宿的朋友要注意。營地上的照片應該是好幾年前拍的，1000元一晚還有很多更好的選擇。,3,1,0,2537,,2022/12/08,0
我在G區營地白天夜晚看風景，確實是兩回事！草地營位草長到膝蓋，環境有點落寞，還常有虎頭蜂飛舞！設施上，衛浴設備、冰箱冷凍櫃位置方便，但洗手間廁所清潔得還不太好！景觀是營地最大的賣點，選擇G區才能看到夜景和龜山島！。,3,1,0,2540,,2022/08/01,0
晴天不雨，兒童仍嬉戲樂玩。,3,1,0,2544,,2022/04/08,0
辦公室環境雖不完善，設備也待維修，對員工工作效率，影響不小。,3,1,0,2547,,2021/11/22,0
