content,rating,status,type,label,sequence_num,publishedDate,origin,text
天際線茶園露營區、環境優美、園區乾淨、草皮舒服、行車路線好走、每區都有足夠的空間間隔、不容易受到干擾很速西、沒啥蚊子蟲蟲、浴室很讚、有兩層高低石階、穿衣置物空間足夠、也有提供沐浴洗髮乳、吹風機、水壓穩定洗澡很舒服、園區樹有槭樹、櫻花樹、落雨松、萬壽菊生態很好、這次下雨、土有點鬆、天幕下釘容易鬆動、營釘要夠長才可以！視野開闊舒服、營主還會贈送小茶包禮盒、茶葉清香好喝、大推的露營區！ …,5,1,1,2,860,2022/05/07,1,天際線茶園區環境優美園區乾淨草皮舒服行車路線走每區足夠空間間隔干擾很速西蚊子蟲蟲浴室讚兩層石階穿衣置物空間足夠提供沐浴洗髮乳吹風機水壓穩定洗澡舒服園區樹有槭樹櫻花樹落雨松萬壽菊生態下雨土鬆天幕釘鬆動營釘要夠長視野開闊舒服營主還會贈送小茶包禮盒茶葉清香好喝推區
蠻舒服的營地。上山的一小段路有較陡及較小的路，其餘衛浴及廁所大間也非常乾淨，這點真的很棒！還有冰箱可冷藏，是個很棒的營地。另外建議營主：1.露友入住時告知勿讓小孩在帳篷間奔跑，以免被營繩絆倒；提醒早上聲量請安靜，這次早上6:30旁邊的小孩就已經起床大聲講話，家人都被吵醒。2.C區都是面向山谷搭營，就請走後面的走道，不要一直從別人家的客廳穿越。,5,1,1,2,2945,2018/07/30,1,舒服營地上山一小段路陡及路衛浴廁所大間乾淨真的很棒冰箱冷藏很棒營地建議營主露友入住時告知勿小孩帳篷間奔跑營繩絆倒提醒早上聲量請安靜早上30旁邊小孩起床大聲講話家人吵醒C區都面向山谷搭營請走走道家客廳穿越
超雷營區，肥滋滋蟑螂，小黑蚊天下，超爛服務。3年來露過最雷露營區:1.洗澡洗到一半沒熱水，小孩全身泡沫等了將近1小時，水壓偏小且不穩2.粗估最少6帳用同一個迴路，電壓非常不穩，連3W10顆LED15米串燈不亮，打氣機罷工，只能手動打氣，改用LED燈條3.環境髒亂，生態池看起來無人管理，超多小黑蚊，點了蚊香擦了防蚊液，每人最少20包起4.在浴室與帳篷區看到2隻在飛的超大蟑螂.蟑螂.蟑螂....5.草地沒有定時修剪，超過腳踝高度，石階佈滿青苔，十幾個大人，4位大人不小心滑倒，最後大家都寧可繞路6.收費不合理，大多數營區超過4人每人需收費100幼兒園以下小孩不收費，此營區一人250且幼兒園以下也收費7.拍照景點多數老舊與照片不符,1,-1,1,0,4339,2022/06/08,1,超雷營區肥滋滋蟑螂小黑蚊天下超爛服務年來露過最雷區洗澡洗一半熱水小孩全身泡沫小時水壓偏小且不穩粗估最少帳用同一個迴路電壓穩3W10顆LED15米串燈不亮氣機罷工只能手動打氣改用LED燈條環境髒亂生態池無人管理超多小黑蚊點了蚊香擦防蚊液每人最少20包起浴室帳篷區隻飛超大蟑螂蟑螂蟑螂草地定時修剪超過腳踝高度石階佈滿青苔十幾個大人位大人小心滑倒繞路收費不合理營區超過每人需收費100幼兒園小孩收費營區一人250幼兒園收費拍照景點老舊照片不符
營位落葉很多，洗澡水壓不穩。。寧靜區部份位置落葉很多，雨後很潮濕，洗澡水壓不穩。,3,0,1,1,243,2022/03/01,1,營位落葉洗澡水壓不穩寧靜區部份位置落葉雨很潮濕洗澡水壓不穩
營地廁所潔淨度很棒！來山上露營是放鬆心情吸收芬多精的，但是營主就在帳篷旁頻繁的抽菸！！有計劃要帶孩子來露營的，害怕吸二手菸、三手煙的不推薦這裡！一顆星好評是給營地主人的二手菸環境。,1,-1,1,0,6597,2023/05/09,1,營地廁所潔淨度很棒山上放鬆心情吸收芬多精營主帳篷旁頻繁抽菸計劃孩子害怕吸二手菸三手煙推薦一顆星好評是給營地主人二手菸環境
景觀非常好！。廁所很乾淨，浴室置物收納空間很好，有沐浴乳洗髮精！,5,1,1,2,979,2022/02/15,1,景觀廁所乾淨浴室置物收納空間沐浴乳洗髮精
地方超美，洗澡間怎麼可以這麼乾淨到發亮人生第一露獻給這裡了～平常日全區也只有我一帳，非常舒服推薦的露營區 …,5,1,1,2,3577,2023/05/07,1,地方超美洗澡間乾淨發亮人生第一露獻給平常日全區一帳舒服推薦區
這次搭在B區，算是比較隱密的一小區，前方的景色會被樹稍微擋住廁所有蹲式和坐式兩間，洗澡兩間熱水很夠天氣很涼爽沒有什麼蚊蟲！每一帳都有洗手台，上方還有燈設計很好老闆人非常的親切熱心，本來想詢問有沒有賣泡麵，老闆沒有賣但送了一小包上來給我們當宵夜超窩心的哈哈哈！ …,5,1,1,2,1127,2022/05/07,1,搭B區算是隱密小區前方景色樹稍微擋住廁所蹲式坐式兩間洗澡兩間熱水夠天氣涼爽蚊蟲每一帳洗手台上方燈設計老闆親切熱心本來想詢問有沒有賣泡麵老闆賣送一小包宵夜超窩心哈哈哈
老闆很熱心，走幾步路就能夠看到滿山滿谷的螢火蟲！,5,1,1,2,3934,2021/05/02,1,老闆熱心走幾步路滿山滿谷螢火蟲
人生第一露，環境舒服，廁所乾淨大推,5,1,1,2,2773,2022/05/07,1,人生第一露環境舒服廁所乾淨推
只有中華電信有收訊，其他家都沒有收訊，但營地有WIFI首先要跟大家報告，開去馬胎227營地的路上，需要慢慢地開，道路彎曲看不到來車，會有點危險，快到營地之前的道路(因為在整修)所以非常的凹凸不平，大小石頭很多，會刮傷車子的底盤，如果開休旅車倒是沒什麼問題，一般轎車還請留意，而我們這次入住營主家前的廣場區，場地小，又收5帳，帳帳相連，孩子沒有活動空間，覺得營主超收!!!!!!而環境有蟑螂、有非常多的蒼蠅(目前第五露，最多蒼蠅的營地)不過可能因為海拔750M，沒有小黑蚊廣場區不遠處，約不到1分鐘的距離就有廁所廁所很乾淨，旁邊有小溪邊，可以抓溪蝦，水不深，淺淺的適合小朋友泡泡腳，另外值得一提的是，營主所養的雞，到處跑，沒有關籠子，凌晨3點雞就開始咕咕咕~~~~吵得你睡不好早上還跑來營地玩耍，如果以上您可以接受的話再去試試吧~~~~~我是不會再去了!!!!!!,2,-1,1,0,6660,2021/05/09,1,中華電信收訊家收訊營地WIFI報告開去馬胎227營地路上慢慢地開道路彎曲看不到來車危險快到營地道路因為整修凹凸不平大小石頭刮傷車子底盤開休旅車倒沒什麼轎車請留意入住營主家前廣場區場地收帳帳帳相連孩子活動空間營主超收環境蟑螂蒼蠅第五露蒼蠅營地因為海拔750M小黑蚊廣場區不遠處約不到分鐘距離廁所廁所乾淨旁邊溪邊抓溪蝦水不深淺淺的適合小朋友泡泡腳值得一提的是營主所養雞到處跑籠子凌晨點雞咕咕咕吵得睡不好早上還跑營地玩耍接受試試
除了山路崎嶇外，其他都很讚,4,1,1,2,5089,2018/04/08,1,山路崎嶇外讚
很棒的營區 離市區也近,5,1,1,2,4469,2018/03/23,1,很棒營區市區
這營區很棒，營主也很熱情，偶爾都會巡一下看大家需要什麼，每個區都有自己的廁所跟衛浴，這點非常好～,5,1,1,2,1090,2023/05/07,1,營區很棒營主熱情巡區都廁所衛浴
這裡風景不錯，中秋氣侯悶熱，小黑蚊橫行，來露營要帶防蚊液，帶小朋友來，有溜滑梯有空間可打球，帳篷最多可容納37帳。,4,1,1,2,196,2020/05/06,1,風景不錯中秋氣侯悶熱小黑蚊橫行帶防蚊液小朋友溜滑梯空間打球帳篷最多容納37帳
營區是全石頭地  一般釘子完全沒辦法插晚上還會沒熱水  洗澡洗到一半快冷死了,1,-1,1,0,597,2020/05/06,1,營區全石頭釘子辦法插晚上還會熱水洗澡洗一半冷死
"以我破百露的資歷，樂哈山營地應該會排在前10名。其實這是營主改變經營型態後才有的評價，營主將原本8帳的空間調整為6帳，而且盡量不收滿6帳，主要訴求就是""大空間""，這對於露友算是非常友善的經營策略。保養相當好的草地，搭配視野極佳的美景，運氣好還有滿滿的美麗雲海，營區內也種滿了櫻花樹，去對時間真的是一次滿足多個願望，廁所、浴室設備雖然相對簡單，但也算清掃的很勤，年節還降價100元，營主真的是太佛心了，算是少數會想一去再去的營地。另外晚上的星空也很漂亮，重要的是營地旁邊的每一盞燈都有開關，可以依照自己的需求開啟或關閉，如果搭配天氣好的話，滿滿的星空，超讚的喔！！",5,1,1,2,3045,2020/05/07,1,破百露資歷樂哈山營地會排前10名這是營主改變經營型態評價營主將原本帳的空間調整為帳盡量收滿帳訴求空間露友算是友善經營策略保養草地搭配視野極佳美景運氣滿滿的美麗雲海營區種滿櫻花樹時間真的多個願望廁所浴室設備簡單算清掃很勤年節降價100元營主真的太佛心算是會想一去營地晚上星空很漂亮營地旁邊一盞燈開關需求開啟關閉搭配天氣滿滿的星空超讚喔
不錯的地方，營主很熱心，廁所浴室乾淨，只是遇風雨很難忘的經驗,4,1,1,2,3660,2018/05/07,1,不錯地方營主熱心廁所浴室乾淨遇風雨難忘經驗
"很棒的營區,只是不好訂位",5,1,1,2,3463,2024/04/26,1,很棒營區不好訂位
"景觀超讚,老闆人很親切,營區不噴灑農藥,所以生態超豐富.",5,1,1,2,6393,2018/05/09,1,景觀超讚老闆親切營區噴灑農藥生態超
看得出營主的用心，給露友們留很多空間及遊樂設施,5,1,1,2,2389,2017/11/28,1,看得出營主用心給露友們留空間遊樂設施
端午連假3天兩夜A區，先說優點：1.交通很方便，離市區很近，營區空間很大，晚上掛燈很美2.電力還算穩定，第一天接近滿帳沒有跳電3.營區很大，草地很漂亮又平坦，30公分營釘很好敲到底，是我露過最好下釘的營區4.後面的步道沒有燈光，傍晚去散步時看到野生山羌幾個需要注意的地方1.沒有飲水機，營主說是山泉水可以煮沸飲用，但還是會怕怕的2.沒有洗髮乳沐浴乳3.各種昆蟲(蝗蟲、螳螂、蟬、飛蛾、毛毛蟲等)超級多(露營難免)，但到處都看的到，還會爬到內帳上面...4.戲水池的水有點臭臭的5.遠傳、台星訊號還可以，有聽到其他露友說台哥大訊號很差6.中間下起了午後雷陣雨，看到營主在民宿區曬的被子也不收，就讓它淋雨，接著隔天又出大太陽，可想而知之後房客用的是反覆淋過雨的被子(可能郊外空氣汙染少，所以都是這樣的?),5,1,1,2,26,2023/08/06,1,端午連假天兩夜區先說優點交通市區很近營區空間很大晚上掛燈很美電力算穩定第一天接近滿帳跳電營區很大草地很漂亮平坦30公分營釘敲露過釘營區步道燈光傍晚散步時野生山羌幾個地方飲水機營主說山泉水煮沸飲用怕怕洗髮乳沐浴乳昆蟲蝗蟲螳螂蟬飛蛾毛毛蟲超級難免還會爬內帳戲水池水臭臭遠傳台星訊號聽到露友說台哥訊號很差下起午後雷陣雨營主民宿區曬被子不收就讓淋雨隔天出大太陽可想而知房客反覆淋過雨被子郊外空氣汙染少
腹地不大，但是營位都有一定的距離，廁所及浴室都很乾淨，瓦斯熱水器的水很熱，不會忽大忽小，也有提供衛生紙及吹風機。營區被五葉松及竹林包圍，營區旁就是石秀灣，夜晚很安靜，早上也不會被雞狗等動物鳴叫聲吵醒，非常愜意。要注意蚊子不少，一早起來就有，要到入夜才會散去。,5,1,1,2,3991,2023/05/08,1,腹地營位距離廁所浴室乾淨瓦斯熱水器水很熱忽大忽小提供衛生紙吹風機營區五葉松及竹林包圍營區旁石秀灣夜晚安靜早上雞狗動物鳴叫聲吵醒愜意蚊子一早入夜散
營區環境優雅。優點：營區環境優雅，衛浴設備定時清潔乾淨沒有異味，沒有太多小蟲飛舞，吹風機有4隻且好吹，冰箱夠冷夠大很好用(只是有限開放時間沒有注意到，早上等到8點才吃早餐)(餓)缺點：熱水很多人一起用的時候會偏冷比較不穩定、小黑蚊超多(我跟小孩都被叮了10包以上)(哭)、營位也有點小可改進、戲水池只有一池較乾淨可玩。,4,1,1,2,5623,2018/11/13,1,營區環境優雅優點營區環境優雅衛浴設備定時清潔乾淨異味太小蟲飛舞吹風機隻吹冰箱夠冷夠有限開放時間早上點才吃早餐餓缺點熱水偏冷穩定小黑蚊超小孩叮10包哭營位小可改進戲水池一池乾淨可玩
營區雖然不大，但是車可以停帳蓬旁並且不會擁擠，營主很親切，離老街很近，適合露營新手。,4,1,1,2,1549,2022/05/07,1,營區車停帳蓬旁擁擠營主親切老街很近適合新手
上山的路彎延曲折，駕駛需注意。營地廣闊舒適，衛浴算是整潔乾淨。只可惜第一天營建遇雨，幸好第二天出了大太陽。,4,1,1,2,2237,2019/05/07,1,上山路彎延曲折駕駛需注意營地廣闊舒適衛浴算是整潔乾淨可惜第一天營建遇雨幸好第二天太陽
“ 環境清幽 “ 設施齊全！ 露營聖地。非露…不可……！。,5,1,1,2,562,2021/05/06,1,“環境清幽“設施齊全聖地非露
是近市區很難得可貴的幽美舒適營地。,5,1,1,2,4506,2017/11/13,1,市區可貴幽美舒適營地
有熱水洗手台的營區，草地踩上去會讓你愛上。。第一次遇到有熱水的洗手台，超感動。而且營區的草地實在太優質了，可以光著腳踩上去都不怕踩到石頭。值得再來的營區,5,1,1,2,1225,2021/04/21,1,熱水洗手台營區草地踩愛上第一次熱水洗手台超感動營區草地實在太優質光著腳踩踩到石頭值得再來營區
衛浴設備乾凈，草皮柔軟舒服，營主親切慈祥和藹，像自家哥哥！這次露營多虧了賴大哥，讓我們渡過快樂的假期謝謝您，感恩唷！更謝謝嫂子的甜湯吃在嘴裡甜在心裡 …,5,1,1,2,353,2021/05/06,1,衛浴設備乾凈草皮柔軟舒服營主親切慈祥和藹哥哥了賴大哥渡過快樂假期謝謝您感恩唷謝謝嫂子甜湯吃嘴裡甜
衛浴廁所很乾淨，風景美，讚,5,1,1,2,2677,2018/03/28,1,衛浴廁所乾淨風景美讚
後花園營地:浴室乾式分離，廁所每間附衛生紙固定時間有人清潔，有沙坑溜滑梯，草皮維持很好，周圍有小蕃茄園可以自採，小孩可以玩的很開心，但因為離果園不遠，蒼蠅很多,5,1,1,2,3250,2019/05/07,1,後花園營地浴室乾式分離廁所每間附衛生紙固定時間有人清潔沙坑溜滑梯草皮蕃茄園自採小孩玩開心因為果園不遠蒼蠅
很美的露營區，淋浴間與廁所非常乾淨，森林區後面的樹林非常美！但重度網路使用者要注意，網路訊號不太好，如喜歡放空與世隔絕的話，這裡很適合,5,1,1,2,6339,2022/05/09,1,美的區淋浴間廁所乾淨森林區樹林美重度網路使用者網路訊號不太好喜歡放空與世隔絕適合
老闆人親切，環境衛生也非常優，會想再來露的營地,5,1,1,2,4152,2021/01/05,1,老闆親切環境衛生優會想再來露營地
風景好，老闆熱心。晚上狗會亂叫，吵,5,1,1,2,2074,2017/12/04,1,風景老闆熱心晚上狗會亂叫吵
印像不錯，冬天有熱水洗碗,5,1,1,2,3809,2023/05/07,1,印像不錯冬天熱水洗碗
"園區很大景色悠美。園區種滿五葉松, 在樹下露營很讚; 但夏天蚊蟲蠻多的, 營主會提供蚊香,但還是被叮到滿腳紅豆冰& 冰箱門一直關不起來. 食物都解凍了 ><",5,1,1,2,4118,2023/08/09,1,園區很大景色悠美園區種滿五葉松樹下讚夏天蚊蟲營主會提供蚊香叮到滿腳紅豆冰冰箱門關不食物解凍
營主熱心，營地扎在最高點，車子要有一定的性能，可看到山谷間廁所衛浴方便,5,1,1,2,1147,2021/05/07,1,營主熱心營地扎最高點車子性能山谷間廁所衛浴
來到騰雲每次感受都很好~只是難訂位些要耐心才能訂到!,5,1,1,2,6826,2023/05/09,1,來到騰雲每次感受難訂位耐心訂
營主親切 環境乾淨 提供很多遊樂設施給小朋友衛浴乾淨,4,1,1,2,5266,2022/05/08,1,營主親切環境乾淨提供遊樂設施小朋友衛浴乾淨
入住第二次，環境很美，營主很熱情，推推 !,5,1,1,2,1893,2022/11/19,1,入住第二次環境美營主熱情推推
除了上山路稍微有一點點難會車外 沒甚麼缺點。本來訂B區景觀區 後來營主推薦換去E區(說B區比較熱門很滿) 真的是換對了! E區營位更大風景也很棒 到了晚上B區好像有一群年輕人露營 稍微有點過HIGH不過因為人在E區只有聽到一點點的聲音總的來說 是很棒的營區 推薦給大家(已經放入口袋名單 如果國五不這麼塞的話 真的可以常常去),5,1,1,2,995,2020/07/14,1,山路稍微一點點難會車外缺點本來訂B區景觀區營主推薦換去E區說B區熱門很滿真的是換E區營位風景很棒晚上B區好像一群年輕人稍微HIGH因為E區聽到一點點聲音很棒營區推薦放入口袋名單國五塞真的
自然生態豐富且空氣清新的營區,5,1,1,2,2008,2018/09/27,1,自然生態空氣清新營區
2020/7-第12露-迪卡儂  在露營時好巧碰到高中老朋友也在是附近，緣分真是奇妙,4,1,1,2,2976,2023/05/07,1,202012露迪卡儂時好巧碰到高中老朋友緣分奇妙
優點：冰箱和冷凍都足夠，有草皮足夠空間孩子打棒球，還有籃球場運動，腳踏車、玩沙區跟戲水區及飲水機，稱讚營主一家人勤勞打掃，收垃圾及分類，雖然廁所、浴室間數少但每隔時間巡視清理環境，還有撤帳開車營主指導車，注意孩子安全，廁所門上櫃子，感受用心經營。待改善硬體：女廁浴室的冷水流太小，小到像筷子細長，是要放水桶多久時間？水溫不穩過燙，只有5間淋浴間，反應營主回應是太多人用水？！洗澡很痛苦買加壓馬達。最後要選對季節來，今天來風大，沒遇到小黑蚊幸運，小黑蚊太輕，怕風吹。,3,0,1,1,5253,2023/05/08,1,優點冰箱冷凍足夠草皮足夠空間孩子棒球籃球場運動腳踏車玩沙區戲水區及飲水機稱讚營主一家人勤勞打掃收垃圾分類廁所浴室間數少每隔時間巡視清理環境撤帳開車營主指導車孩子廁所門上櫃子感受用心經營改善硬體女廁浴室冷水流太小小到筷子細長放水桶多久時間水溫穩過燙間淋浴間營主回應太多人用水洗澡痛苦買加壓馬達要選季節來風小黑蚊幸運小黑蚊太輕風吹
3月的櫻花，幾營區回綴得非常漂亮！,5,1,1,2,3076,2019/05/07,1,月櫻花營區回綴漂亮
營區環境乾淨美觀。流理台數量有點少，建議多增設流理台，讓二至三營位共用一個,5,1,1,2,4630,2017/01/02,1,營區環境乾淨美觀流理台數量少建議增設流理台二至三營位共用
小朋友快樂戲水的好地方。草地較濕潤泥濘,5,1,1,2,1484,2019/09/02,1,小朋友快樂戲水地方草地濕潤泥濘
太讚的地方了下次一定還會再來,5,1,1,2,6305,2024/01/09,1,太讚地方下次還會再來
"環境打掃的很乾淨, 旁邊小溪水超冰可抓蝦抓魚",5,1,1,2,3894,2023/07/17,1,環境打掃乾淨旁邊小溪水超冰抓蝦抓魚
營位大，浴廁乾淨舒適。缺點地太硬很難下釘。,4,1,1,2,654,2018/05/06,1,營位浴廁乾淨舒適缺點地太硬難下釘
大草皮，有冰箱，屋主有雨遮區可搭帳，重點是營區主好相處,5,1,1,2,389,2020/05/06,1,草皮冰箱屋主有雨遮區搭帳重點營區主好相處
香港回來的小哥很親切且熱情，但每帳的間隔很近，晚上過10點後其他帳很吵且屢勸不聽，業者沒有善盡有效的勸導，玩桌遊的大聲嚷嚷、喝酒團的邊放音樂及大聲講話...幾乎到12點多才漸漸安靜下來，得以入眠,3,0,1,1,5450,2023/05/08,1,香港回來小哥親切熱情每帳間隔很近晚上10點後帳很吵且屢勸不聽業者善盡勸導玩桌遊大聲嚷嚷喝酒團的邊放音樂大聲講話12點多漸漸安靜下來得以入眠
在五葉松下露營別有一番風情,4,1,1,2,4110,2017/05/08,1,五葉松下別有風情
很棒的營地，環境清潔，浴廁寬敞舒適，有很多小朋友遊戲設施，也可以去溪水玩耍。,5,1,1,2,4669,2023/05/07,1,很棒營地環境清潔浴廁寬敞舒適小朋友遊戲設施溪水玩耍
超讚，很喜歡。。此次在A區草皮算不錯、廁所很乾淨、地板都保持乾燥，還有很棒的自然生態。營位位子給的很大～有機會會再二訪。,5,1,1,2,2613,2020/06/29,1,超讚喜歡區草皮算不錯廁所乾淨地板乾燥很棒自然生態營位位子給的很大機會二訪
全部是雨棚營位，整個營區只有15帳，活動空間足夠。臨近溪邊，可去泡水消暑。這次是夏天造訪，有豐富的自然交響樂，整天有蟬鳴，晚上有青蛙叫陪伴入睡。,5,1,1,2,4678,2023/05/07,1,雨棚營位營區15帳活動空間足夠臨近溪邊泡水消暑夏天造訪自然交響樂整天蟬鳴晚上青蛙陪伴入睡
算是方便，離市區近，有大跳床可以遛小朋友，收費便宜，可惜沒有View.,4,1,1,2,415,2018/05/06,1,算是市區有大跳床遛小朋友收費便宜可惜View
觀星賞螢的最佳去處 …,5,1,1,2,143,2021/05/06,1,觀星賞螢最佳去處
"很好的營區,很舒服的溫度",4,1,1,2,1342,2023/05/07,1,營區舒服溫度
接待人員都很親切，服務周到，小朋友在那玩的很開心。,5,1,1,2,5630,2018/10/15,1,接待人員親切服務周到小朋友玩開心
很舒適的營地，營主很親切洗手間很乾淨,5,1,1,2,4651,2024/01/07,1,舒適營地營主親切洗手間乾淨
"建議預備一小桶瓦斯桶,以備大桶瓦斯用盡,露友可自己更換,不用找營主,因為沒瓦斯必有抱怨。入營必有薑茶喝,包區沒問題,若有單帳到多帳區恐有帳帳相連的缺點,獨立區較適合小帳,屬山景視野,營地還有空地整地中,值得再來的露營地",5,1,1,2,1944,2020/06/08,1,建議預備一小桶瓦斯桶以備大桶瓦斯用盡露友更換不用找營主因為瓦斯必有抱怨入營必有薑茶喝包區若有單帳帳區恐有帳帳相連缺點獨立區較適合小帳屬山景視野營地空地整地中值得再來露營地
草皮維護的很用心，超大空間，讓人很舒服,5,1,1,2,2052,2018/03/13,1,草皮維護用心超大空間舒服
營地很乾淨而且不會帳帳相連，小朋友活動空間很足夠 。營主人很好很和善，下次有機會會再次光臨。,5,1,1,2,1707,2018/04/05,1,營地乾淨帳帳相連小朋友活動空間足夠營主人和善下次機會光臨
風景優美，碎石子地，排水佳，廁所衛浴都非常乾淨老闆一家親切又大方，4-5月還有螢火蟲喔！會讓人想一再造訪的好營地！,5,1,1,2,4102,2017/05/08,1,風景優美碎石子排水佳廁所衛浴乾淨老闆一家親切大方月螢火蟲喔想一再造訪營地
有愛的地方就是天堂～幸福圍繞,5,1,1,2,4551,2017/05/31,1,有愛的地方天堂幸福圍繞
營主夫婦親切且客氣，小孩玩的很開心~ 值得2訪,5,1,1,2,3837,2022/05/07,1,營主夫婦親切客氣小孩玩開心值得訪
老闆人很好，我們初次露營一直關心我們有沒有缺東西。也帶著我們把帳篷一起搭起來，真的很推！,5,1,1,2,1118,2022/05/07,1,老闆初次關心有沒有缺東西著帳篷搭真的推
老闆娘親切，地方乾淨，景色優美,5,1,1,2,6392,2018/05/09,1,老闆娘親切地方乾淨景色優美
感受的到用心照顧的營區。整體氛圍很舒服放鬆，浴廁乾淨，最後一段路上下山不好會車，已訂好4月再訪,5,1,1,2,3467,2024/03/14,1,感受用心照顧營區整體氛圍舒服放鬆浴廁乾淨一段路上下山不好車訂好月再訪
老闆人很和善、客氣營區也很乾淨清幽，兔子很多也很乖晚上也可以清楚看到星星老闆巡視營區時正看見我們搭帳，他放下手邊工作立馬過來協助教學，真的很感謝老闆出手相助，不然我們連吃晚餐都有問題,5,1,1,2,5731,2023/05/08,1,老闆和善客氣營區乾淨清幽兔子乖晚上星星老闆巡視營區時正搭帳放下手邊工作協助教學真的感謝老闆出手相助吃晚餐
山嵐，雲海，星空，搗麻吉，還有好客健談的曾奶奶導覽,4,1,1,2,3079,2018/05/07,1,山嵐雲海星空搗麻吉好客健談奶奶導覽
有飲水機 冰箱 熱水很熱，可惜帳間距離近,5,1,1,2,6813,2023/05/09,1,飲水機冰箱熱水很熱可惜帳間距離
