content,rating,status,type,label,sequence_num,publishedDate,origin,text,synonyms
這個地方雖然路況不錯，但實際上對於想享受自然的露營者來說並不友好。獨立衛浴的設施雖然看似方便，但卻讓人感到需要在過亮的燈光下擔心蟲子過少，造成露營的氛圍大打折扣。此外，草地的排水雖然良好，但夜晚燈光過於刺眼，讓我根本無法享受星空的美景。而最令我失望的是，在撤收的時候竟然看到蛇，這讓我整個人感到毛骨悚然。營主夫妻雖然親切，但他們的貓狗過於親人，根本不顧衛生，狗隨處大小便的情況實在讓人無法忍受，這樣的環境讓我下次不會再選擇這裡露營。,1,-1,1,0,1640,2022/5/8,0,地方路況不錯實際上想享受自然友好獨立衛浴設施看似感到過亮燈光[MASK]蟲子過少[MASK]大打折扣草地排水夜晚燈光刺眼根本無法享受星空美景[MASK]失望撤收蛇這讓感到毛骨悚然營主夫妻親切貓狗[MASK]不顧[MASK]狗隨處大小便[MASK]實在[MASK]環境下次選擇,
這個地方雖然環境不錯，但實際上並沒有想像中那麼適合小孩玩，而且營主的服務態度也沒有那麼親切，讓人感到有點失望。,1,-1,1,0,1087,2020/5/6,0,地方環境不錯實際上想像中適合小孩玩營主[MASK]親切感到失望,
營區還在擴建整理中，冰箱不冰沒冷凍，水槽跟營位距離遠，草地草好長沒整理，很天然的地方,3,0,1,0,3443,2021/5/6,1,營區還在擴建[MASK][MASK]冰箱不冰冷凍水槽營位距離遠草地草好長整理天然地方,
草地區沒有提供木棧板，泥土泥濘不勘鞋子全毀，幾度差點滑倒，男廁味道像沒整理的公園廁所，冰箱區跟垃圾堆ㄧ樣，租借帳篷霉味很重,1,-1,1,0,2770,2022/5/8,1,草地區提供[MASK]板泥土泥濘不勘鞋子[MASK]差點滑倒男廁味道整理[MASK]廁所冰箱區跟垃圾堆ㄧ樣租借帳篷霉味重,
以大臺北地區來說算是交通非常便利的露營區，公共設施有沙坑，戲水池還有籃球場，草地也養的很乾淨漂亮，但是有大隻的螞蟻要小心，衛浴設備的表現算是中規中矩,4,1,1,1,109,2021/5/8,1,大臺北地區算是[MASK]便利區公共設施沙坑戲水池[MASK]草地養乾淨漂亮大隻螞蟻小心[MASK]表現算是中規中矩,
廁所要換脫鞋 我覺得有夠麻煩。缺點營區非常小 車子要停路邊營位沒附垃圾桶優點小孩遊樂設施非常多,3,0,1,0,6369,2022/2/5,1,廁所[MASK]脫鞋有夠麻煩缺點營區車子[MASK]路邊營位沒附垃圾桶優點小孩遊樂設施,
營主人很好，營區整理很乾淨，營位給很大，舒服～近溪邊～衛浴不時會整理，很乾淨～,5,1,1,1,3847,2021/5/7,1,營主人營區整理乾淨營位給很大舒服溪邊衛浴時會[MASK]乾淨,
連假營區滿帳，整個營區約20帳共用五間衛浴，水不足且水溫不穩，隔天上廁所時沒水了，只能拿水桶舀水來沖⋯沒有護草墊，所以赤腳踩入帳篷，很像走健康步道⋯環境不錯但設備建議改善，那不然滿帳就會出現問題。前往營區的路是無法會車的，車子寬度的道路，轉進營區也要小心。,3,0,1,0,4413,2023/5/8,1,連假營區滿帳營區約20帳共用[MASK]衛浴水水溫[MASK]隔[MASK]廁所時沒水只能水桶舀水沖護[MASK]赤腳踩入[MASK]走健康步道環境不錯設備建議改善滿帳前往營區路會車車子寬度道路轉進營區[MASK],
營主非常熱情感覺很好，景觀非常好，可惜的浴室實在太少也不是很乾淨,5,1,1,1,4541,2017/4/30,1,營主熱情感覺景觀可惜[MASK]實在太少乾淨,
能釣魚是最大優勢，除此之外條件尚可。我們訂草坪c區，c區有四塊高低落差滿大的草皮，要和營主確認排到那個位置。因為地形，車子無法在營位旁卸貨，要人力搬或用推車載運。浴室4間、廁所4間偶有臭味，營區入夜後非常吵鬧，客人半夜喝酒大聲喧嘩沒人管束，踩雷！,3,0,1,0,1302,2023/5/6,1,釣魚[MASK][MASK]尚可訂[MASK]c區c[MASK]四塊落差滿大草皮營主確認排位置因為地形車子營位旁卸貨人力搬[MASK][MASK]浴室間廁所間偶有臭味營區入夜後吵鬧客人半夜喝酒大聲喧嘩沒人管束踩雷,
1.場地很美，草皮很漂亮。2.帳帳相連，很擁擠，沒有空間可以給小孩奔跑(有超收之嫌疑)3.收費1200，還會跳電4.總結：如果要收費到1200，就應該將帳數控制；營區的電力系統也要改善，一個晚上跳電3、4次會讓人很受不了。不會再來了。,2,-1,1,0,935,2021/5/7,1,場地美草皮很漂亮帳帳相連擁擠[MASK]小孩奔跑超收嫌疑[MASK]1200還會跳電收費1200將帳數控[MASK]營區電力系統[MASK]晚上跳電次會受不了再來,
這次的露營體驗讓我感到非常失望，雖然女營主的熱情讓人暖心，但營區的管理實在太松散，很多地方都顯得有些凌亂，讓人無法放鬆享受大自然的美好。尤其是C區的環境衛生問題，真的讓我感到不愉快，根本無法讓人安心地享受露營的樂趣。再加上螢火蟲季的期待，實際上看到的卻不如預期，讓我對整個行程感到倍感挫折。這裡強調的回歸自然，卻似乎也變成了忽略基本設施和清潔的藉口，讓人感到很不滿意，我想未來可能不會再來這裡了。,1,-1,1,0,6611,2023/5/7,0,體驗感到失望女營主熱情人暖心營區[MASK][MASK][MASK]地方顯得凌亂放鬆享受大自然美好C區的環境衛生[MASK]感到愉快根本無法安心[MASK]樂趣螢火蟲季期待實際上預期[MASK]感到挫折回歸自然忽略設施清潔藉口感到滿意想未來再來,
這個露營的環境其實讓人非常失望，雖然老闆口口聲聲說服務貼心，但實際上卻感覺冷漠。野菜雖然可以摘，但根本沒有指導，根本不知道哪些是可以吃的，讓人覺得不太安全。而且浴廁雖然看起來乾淨，但實際上使用起來卻很不方便，水壓也很小，洗澡時根本無法洗乾淨。此外，蒼蠅問題根本沒有得到解決，整個露營區到處都是飛來飛去的昆蟲，讓人感到非常困擾。地主的狗也十分不穩定，沒有被妥善看管，讓帶小孩的家庭感到相當不安，這樣根本無法放心讓孩子在這裡玩耍。整體來說，這個露營的經驗讓我非常不滿意，完全無法享受到應有的樂趣。,1,-1,1,0,6219,2018/4/9,0,環境失望老闆口口聲聲[MASK][MASK]貼心實際上感覺冷漠野菜摘指導吃不太[MASK]乾淨實際上水壓很小洗澡時根本無法[MASK][MASK]蒼蠅[MASK][MASK]飛來飛去昆蟲感到困擾地主狗穩定妥善看管小孩家庭感到不安根本無法放心孩子玩耍整體經驗滿意享受應有樂趣,
這裡是我造訪過營主最熱心，感覺最舒適的營區讚~有機會一定會再來 …,5,1,1,1,4791,2023/5/8,1,造訪[MASK]熱心感覺舒適營區讚機會再來,
露營，烤肉，賞螢火蟲，度假，接觸山水，可以放鬆自由~,4,1,1,1,6325,2019/5/9,1,[MASK]賞螢火蟲度假接觸山水放鬆自由,
這次露營的經歷讓我相當失望，雖然同事們表現得很滿意，但我覺得周圍環境並不如預期。雖然風景上還算不錯，但洗手間和浴室的清潔狀況也只是勉強及格，熱水供應也不是特別穩定，有時候會忽冷忽熱，使用起來很不方便。而且場地雖然大，但上山的陡坡真的讓人相當不舒適，這樣的進出道路根本不適合所有人，特別是一遇到會車的情況，真的是非常麻煩，需要推讓實在是太耗時了，讓整個露營的體驗都大打折扣。,1,-1,1,0,1257,2021/5/7,0,經歷失望同事表現滿意周圍環境[MASK]風景[MASK]不錯洗手間[MASK]清潔狀況[MASK]及格熱水供應特別穩定有時候忽冷忽熱場地上山陡坡[MASK]舒適進出道路適合所有人特別會車情況[MASK]麻煩推讓實在太耗時體驗大打折扣,
這次露營經驗實在讓人失望，小包區的隱蔽性似乎並不如預期，還是會有其他人的干擾。獨立衛浴雖然有，但乾淨程度讓人無法接受，冰箱也時常不冷。草地和碎石地帶的地墊質量不佳，使用起來相當不舒服，整體來說非常不推這個地方，有很多地方需要改進。,1,-1,1,0,2697,2022/5/6,0,經驗實在失望小包區的隱蔽性預期其他人[MASK][MASK]衛浴乾淨程度接受冰箱時常不冷草地碎石[MASK]墊[MASK]不佳舒服整體推地方地方改進,
場地設施便利環境優美，營主夫婦很親切鵝路隊長令人印象深刻，下回至台南露營一定再訪..,5,1,1,1,6639,2023/5/7,1,場地設施[MASK]環境優美營主[MASK]親切鵝路隊長令人印象深刻下回台南再訪,
"非常大自然的露營區,有螢火蟲。1.招牌只有寫在石頭上面,夜衝會看不到,建議可以貼反光貼紙或是太陽能LED2.廁所白天很乾淨都有打掃,晚上開燈後一堆蟲來開PARTY,建議可以將屋頂縫隙用板子擋住,熱水穩定不會忽冷忽熱3.學生真的很吵,營主雖然有制止,但還是很吵4.營主很客氣服務很好5.vip區還是比較優一點6.若能再多一組衛浴設備更好祝營主生意興隆發大財",5,1,1,1,6090,2022/5/22,1,大自然區螢火蟲招牌寫石頭夜衝會看不到建議[MASK]反光貼紙太陽能LED2廁所白天乾淨[MASK]晚上開燈一堆蟲來開PARTY建議屋頂縫隙[MASK]擋住熱水穩定[MASK]學生真的吵營主[MASK][MASK]營主客氣服務vip區較優一點若能一組衛浴設備更好[MASK]生意興隆發大財,
這地方雖然很美，但是實際上卻太吵了，根本無法享受自然的寧靜，玩水的區域也很髒，根本不想下去。,1,-1,1,0,776,2018/5/8,0,地方美實際上太吵根本無法享受自然[MASK]玩水區域很髒不想,
硬體設備佳，廁所衛浴設備乾淨。但是營區裡有不知道是營主還是附近的狗，三隻大狗狗一直在帳篷周圍打轉，從晚餐到半夜都很影響我們的行動⋯入睡時甚至還在附近嬉鬧，睡得滿差的。雖然不討厭狗狗，但畢竟在吃飯的時侯繞來繞去還是很困擾，一邊要煮東西還要一邊防他偷吃除了狗狗的問題之外一切都滿好的，真的。,2,-1,1,0,817,2020/5/8,1,硬體設備佳廁所衛浴設備乾淨營區裡有營主[MASK]三隻狗狗帳篷[MASK]晚餐半夜影響入睡時還在嬉鬧睡得滿差討厭狗狗[MASK]時侯繞來繞困擾煮東西邊防偷吃狗狗[MASK][MASK],
舒服的營地晚上還能抓蝦體驗浴廁完善反應問題營主很快協助解決,5,1,1,1,5501,2023/12/7,1,舒服營地晚上還能抓蝦體驗[MASK]完善營主很快協助解決,
這地方的草皮雖然空間大，但是地面上卻充滿了雜草和石頭，走起來真的不舒服，赤腳走反而容易受傷。,1,-1,1,0,1270,2017/5/7,0,地方草皮空間地面充滿雜草石頭[MASK]真的舒服赤腳走受傷,
這個露營區雖然環境清幽，但蚊蟲實在太多了，讓人無法好好放鬆，晚上被叮得不得安寧，實在是個讓人不愉快的體驗。雖然設備齊全，但面對如此多的昆蟲，真的讓人猶豫要不要再來，對於怕蟲的人來說，這裡根本無法享受露營的樂趣。即使清靜的環境再好，卻時常要擔心被蚊子圍攻，這樣的體驗讓我非常失望。,1,-1,1,0,5012,2021/11/25,0,區環境清幽蚊蟲實在太好好放鬆[MASK]叮得安寧[MASK]愉快體驗設備齊全面對昆蟲真的猶豫再來怕蟲根本無法享受樂趣清靜環境時常擔心蚊子[MASK][MASK]失望,
這個露營地雖然場地寬敞，但實際上營位的分隔不夠明確，讓人感到私密性不足，周圍的噪音也影響了休息。而補給雖然方便，但品項有限，選擇不多令人失望。冗長的交通路程讓我們花了很多時間在路上，整體的體驗並沒有想像中的美好，加上晚上的氣氛反而因為其他露營者的吵鬧而變得糟糕，根本無法享受與大自然的親密接觸。,1,-1,1,0,5773,2023/5/6,0,露營地場地寬敞實際上[MASK]分隔[MASK]私密性噪音影響[MASK]補給但品項[MASK]選擇令人失望冗長交通路程花時間路上整體體驗想像中美好晚上氣氛因為吵鬧變得糟糕根本無法享受大自然[MASK]接觸,
租桌子當天來結果是壞掉的～一跟他說他就說有印象之前有人用壞（代表營主其實早就找到壞掉了）～還租給我們～問他他還說全部都租出去了沒有了～還說你們什麼東西都沒帶喔～態度很怪只有一台很破舊的大冰箱，只能冷凍～很不方便一早起來旁邊的垃圾桶被翻到亂七八糟～我還以為是我朋友吃不飽去偷翻垃圾桶～結果是野狗來翻的～我錯怪我朋友對不起租燈條～但是不是很亮建議自己帶,1,-1,1,0,5638,2023/5/7,1,租桌子當天壞掉說說[MASK]有人壞代表營主[MASK]找到壞掉租給問他還說租出去還說東西沒帶喔[MASK]很怪一台破舊冰箱只能冷凍一早旁邊垃圾桶[MASK]亂七八糟還以為朋友[MASK][MASK]翻垃圾桶野狗[MASK]錯怪朋友對不起租燈條亮建議,
超大草坪，廁所乾淨，營主用心經營，一大早就在除草,5,1,1,1,598,2023/6/8,1,超大草坪廁所[MASK]營主用心經營一大早除草,
腹地寬廣，日出夕陽夜景都有衛浴簡單但很乾淨,5,1,1,1,5047,2024/3/9,1,腹地寬廣日出夕陽[MASK]衛浴簡單乾淨,
這個露營地點雖然有親子戲水和家庭聚會的設施，但我覺得這裡根本不值得一遊。老闆娘的親切與否無法彌補整個露營環境的不足，尤其是進口的招牌實在不夠明顯，讓人在找的過程中浪費了許多時間。而且，整體的衛生狀況也讓人擔心，烤肉的設施維護不佳，根本無法安心享受這次的聚會，讓人感到相當失望。,1,-1,1,0,995,2021/5/8,0,地點親子戲水家庭聚會設施值得一遊老闆娘[MASK]無法彌補環境[MASK]招牌實在找過程中浪費[MASK]整體衛生狀況擔心烤肉設施維護[MASK]根本無法安心享受聚會感到失望,
營區很乾淨舒適，闆娘親切熱情，還會再來，等我喔！,5,1,1,1,3783,2021/5/7,1,營區乾淨舒適闆[MASK]親切熱情還會再來喔,
洗澡熱水好幾間都沒有，廁所無敵髒，是我看過最髒的營地，完全沒有小朋友的遊樂設施，收1200，真的沒有價值，一輩子再也不想去的露營區，超級雷區,1,-1,1,0,3623,2020/5/6,1,洗澡熱水好幾間廁所[MASK]髒看過髒營地小朋友遊樂設施收1200真的價值一輩子再也不想[MASK]超級[MASK],
這次露營的經驗非常不理想，Google地圖上的定位真的是讓人失望，完全不準確，花了很多時間才找到營區，讓我感到非常挫折。進入寒溪巷後，雖然有招牌指引，但卻還是困惑不已，好的路標應該更加明確。樹木雖然讓人感覺不錯，但整體環境卻有些令人沮喪，因為周圍的景色並不如我所預期的美麗。後面的小山並沒有給我驚喜，反而讓我感到無聊，期待著能有更好的設施與活動，但實際上卻讓我感到失望。雖然沒蚊蟲算是一個優點，但這並不足以彌補整體的不足。我希望下次能有更好的增進與改善，不然我可能不會再回來了。,1,-1,1,0,1040,2021/5/8,0,經驗理想Google地圖定位真的[MASK]準確花時間找到[MASK]感到挫折寒溪巷招牌指引[MASK]路標樹木感覺不錯整體環境令人沮喪因為景色預期美麗小山給我驚喜感到無聊[MASK][MASK]更好設施與活動實際上感到失望[MASK]算是優點這並不足以彌補[MASK][MASK]下次更好增進改善回來,
大致還不錯。兩點建議1.雖然Google地圖可以找到營地，但還是希望能多在一些路口處或中途點設置一些醒目的指示牌，一路上只看到2個，而且很小…2.廁所衛浴外面道路可能要在整理安全點小朋友行走易摔倒或跌落，飛蛾小蟲卡在上面的紗網整片、開門飛娥會飛進去還飛不出來，不只小朋友、大人看到也被嚇死了,3,0,1,0,1018,2017/4/16,1,不錯兩點建議Google[MASK]找到營地希望路口處[MASK]點設置醒目指示牌一路上很小廁所衛浴外面道路整理點小朋友行走易[MASK]跌落飛蛾小蟲卡紗網整片開門飛娥飛進去[MASK][MASK]大人嚇死,
營主學長 人超nice 熱水超燙 烤雞必點 晚上螢火蟲很美麗 很開心 首露就到這麼好的營區 還會再去的 ！ …,5,1,1,1,1866,2023/5/6,1,[MASK]學長人超nice熱水超燙烤雞必點[MASK]螢火蟲美麗開心首露營區還會,
這是一個適合雨棚露營的營地。草皮搭帳完全打槍，營主不友善，難溝通。或許是每個營區都有每個營區的規則，如此的難溝通，就不會有再次前往露營，當然也不會推薦。今天一早兒子就說：爸爸以後不要再來這｛爛泥巴的營地ㄌ｝，不好玩……。夏天、天氣熱應該適合。,1,-1,1,0,5470,2020/5/8,1,這是適合雨棚營地草皮搭帳[MASK][MASK]友善難溝通[MASK]營區規則難溝通前往推薦一早兒子說爸爸再來爛泥巴[MASK]ㄌ不好玩夏天天氣熱適合,
空間充足不帳帳相連，有遮蔽適合放空的好營區,5,1,1,1,1167,2023/11/8,1,空間充足帳帳相連遮蔽適合[MASK]營區,
路況及夜間噪音控管有待加強，夜間景色不錯，早上有公雞叫起床，蟬鳴聲迴盪樹林間。,4,1,1,1,3313,2017/8/21,1,路況夜間噪音控管有待夜間景色[MASK]早上公雞起床蟬鳴聲迴盪樹林[MASK],
花香，湖景，很享受的營地！。衛浴廁所都很棒！唯一小地方希望廁所的垃圾可以清ㄧ下，因為隔天就滿滿滿了。,5,1,1,1,3501,2017/4/5,1,花香湖景享受營地[MASK]廁所很棒唯一地方希望廁所垃圾[MASK]ㄧ因為隔天滿滿,
沒太多特色的營區，為二有特色的部分是旁邊的小河跟感覺很近的高山,3,0,1,0,2444,2021/5/8,1,沒太多特色營區為二有特色旁邊[MASK]感覺很近高山,
露營環境雖然草地寬廣，但這次的強風實在讓人難以忍受，風力大到連休息都變得困難，即使有雨棚區擋風，還是感受到不小的困擾，讓整個露營體驗變得相當不愉快。,1,-1,1,0,2018,2019/1/2,0,環境草地寬廣強風實在難以忍受風力大到連休息變得困難雨棚區[MASK]感受不小困擾體驗[MASK][MASK],
這個地方真的不適合來露營，草地雖然乾淨，但卻沒有什麼可以玩的設施，讓我感到很失望。朋友們來到這裡卻找不到可以增進感情的活動，整個露營過程都顯得無趣，根本無法享受到大自然的樂趣。,1,-1,1,0,3810,2019/5/8,0,地方真的適合草地[MASK]玩設施感到失望朋友來到[MASK]不到[MASK]活動過程顯得無趣根本無法享受大自然樂趣,
中海拔營地，交通路況佳！生態豐富適合親子露營。。營主很親切且用心！營地為梯田式，包區隱私佳，衛浴設備優，瓦斯熱水器24小時均有熱水。戲水池為活水式，水深適合小朋友～另有沙坑及生態池、泥鰍池。晚上營主還會帶大家去賞螢火蟲！好營地能不推嗎！,5,1,1,1,3342,2018/4/16,1,中海拔營地交通路況佳生態適合親子營主親切[MASK]營地為[MASK]式包區隱私[MASK]衛浴設備優[MASK]熱水器[MASK]小時熱水戲水池為活水[MASK][MASK]適合小朋友另有沙坑生態池泥鰍池晚上營主還會去賞螢火蟲營地推,
環境不錯!!樹大可遮陽。還有游泳池！！可惜有些露友有抽煙習慣，因為營區屬階梯式。在上面的都會多少聞到一些，美中不足。希望能設一個抽菸區，盡量不要讓二手煙影響到別人。,4,1,1,1,5142,2020/5/6,1,環境不錯樹大遮陽游泳池可惜露友抽煙習慣[MASK]營區屬階梯式聞到美中不足[MASK]能設[MASK]區盡量二手煙影響,
雖然這個營區看起來小而美，但實際上卻讓人相當失望。廁所只有三間，幾乎所有的露營客在晚餐後都聚集在那裡，讓人等到無法忍受，從八點等到快十一點才能洗澡，真的是浪費了太多時間。小黑蚊也時常出現，讓人感到相當困擾。更糟的是，等著使用吹風機時就像是在排隊等巴士，實在是讓人感到不方便。向營主反映這些問題後，似乎並沒有得到改善的回應。這樣的營區讓我覺得不會再想來第二次。,1,-1,1,0,1973,2022/5/7,0,營區小而美實際上失望廁所三間[MASK]晚餐聚集[MASK]八點[MASK]洗澡真的浪費太時間小黑蚊時常感到[MASK]更糟著吹風機時像是排隊巴士實在感到營主[MASK]回應營區想來第二次,
老闆客氣熱情。空間舒適空氣好。下次露營必再來,5,1,1,1,5763,2021/5/8,1,老闆客氣[MASK]空間舒適空氣下次再來,
在往東眼山路上的露營區，整個營區帳位十幾帳，往營區的路不好走，尤其最後一段是無法會車路段，營主的指引及標示清楚，只要順著指引及指標走就好。整個營區都是草地營位，營主很重視草地維護，很認真要求客人避免破壞草地，這次赤腳在草地上接地很久，很舒服。溪邊離營地約二分鐘路程，營區的水應該是從溪水抽上來，溪很乾淨，還有小魚在水中游，是一個能親近大自然的營區。營主給每個客人的營位大小適中，營主很有力量地制止會吵閙的客人，是個有原則的營主。推薦喜歡大自然，親近水的露友來露營。,5,1,1,1,5970,2022/5/8,1,東眼山路區營區帳位十幾帳[MASK]路不好[MASK]一段車路段營主指引標示順著指引指標走營區草地營位營主重視草地維護客人破壞[MASK]赤腳草地上接地[MASK]舒服溪邊營地約分鐘路程營區[MASK]是從[MASK]抽上來溪乾淨小魚水中游[MASK]大自然營區營主給客人營位大小適中營主力量[MASK]吵閙客人原則營主推薦[MASK][MASK]親近水露友,
有一小段山路比較陡一點，整個都是柏油路，所以算蠻好走的~營主夫妻都很熱心~很好聊環境維持很乾淨~這次遇到下雨，除蚊藥被雨水沖了，所以蚊子多了點，不然好天氣是不會有蚊子的哦！設備都很齊全：冷熱飲水機/吹風機/冷凍冷藏冰箱/洗髮乳/沐浴乳/廁所都有衛生紙這次搭在上層B（一帳區），是營區最高點，美美的風景，還有一組木桌椅+陽傘，就少收了桌子跟椅子，超方便~在上層缺點是~汽車上不去，所以裝備都用老闆的「電動推車」到上層A再走階梯才會到上層B~若推車可以上到B就更完美了~下次揪露友一起享受美美的露營區,5,1,1,1,975,2023/6/7,1,一小段山路陡一點[MASK]算蠻[MASK]營主夫妻[MASK]聊環境乾淨下雨蚊藥雨水沖蚊子多了點天氣蚊子設備齊全[MASK]飲水機吹風機冷凍[MASK][MASK]洗髮乳沐浴乳廁所衛生紙搭上層B帳區營區最高點[MASK][MASK]一組木桌椅陽傘少收桌子椅子超上層缺點汽車上不去裝備老闆電動推車上層[MASK][MASK]上層B推車上到B完美下次揪露友享受[MASK]區,
