content,rating,status,type,label,sequence_num,publishedDate,text
營主人超好還有可愛貓貓 小草皮皮小草很親人 皮皮比較兇平日來沒有人好悠閒營地位置看到的風景很美晚上還有銀河星空 下次還想再去遠離城市的喧囂～放鬆～放下手機放下工作 好好休息充電,5,1,1,1,1139,2023/12/09,營主人超好可愛貓貓草皮皮小草親人皮皮兇平日人好悠閒營地位置風景美晚上銀河星空下次還想遠離城市喧囂放鬆放下手機放下工作好好休息充電
草沒整理長超高割人蚊子螞蟻小黑蚊多是正常的，但是會飛的大強和小強再園區裡炸裂，怕蟑螂的人真的要三思！遇到午後雷陣雨最下面的營地直接淹水，泥巴水和雜早整個灌進帳篷，問他們的排水設施是什麼，他們說沒有排水，土地會吸掉，然後又說他們的排水管線裡面有螞蟻築巢所以塞住，他們沒辦法桶要請人來！最糟糕的是飲水機壞掉沒有提前告知，叫我們去營主開的雜貨店買，有種露一次營被扒兩層皮的感覺。冰箱離營地很遠！因為地很不平所以護草墊全部被壓到破爛會割人的狀態這樣收一帳1200/天完全沒辦法認同優點就是來打工的兩個年青人很友善，廁所除了會被草堵塞之外算很乾淨，就這樣。,1,-1,1,0,3320,2023/07/08,草整理長超高割人蚊子螞蟻小黑蚊多會飛大強小強園區裡炸裂蟑螂真的三思午後雷陣雨營地淹水泥巴水和雜早灌進帳篷問排水設施說排水土地吸掉說排水管線裡面螞蟻築巢塞住辦法桶請人來糟糕飲水機壞掉提前告知營主開雜貨店買有種露營被扒兩層皮感覺冰箱營地很遠因為不平護草墊壓到破爛會割狀態收一帳1200天辦法認同優點打工兩個年青人友善廁所草堵塞之外算乾淨
期待環境能改善！。水槽數量明顯不足，整個A區僅提供兩個水槽，A區沒有提供冰箱，要去C區才有，但是有些遙遠，營區內亦沒有小孩堪使用的設施，老闆人挺客氣的，但是營區整體真的可以再改善！,3,0,1,0,2088,2017/10/12,期待環境改善水槽數量區僅提供兩個水槽區提供冰箱C區才遙遠營區小孩堪設施老闆挺客氣營區整體真的改善
營區鄰近馬路，如果怕車聲建議訂位時，選擇靠近釣魚池，會離馬路較遠營本部跟雨棚區相連，如果很介意在別人家門口睡覺的，就不要訂雨棚區營本部有兩台冰箱，在雨棚區露營，夜裡會一直聽到冰箱壓縮機在運轉的聲音～非常非常吵營區路況佳，導航設備可以順利導航到定點五星級衛浴設備非常非常大間，一家四口如果一起進去洗澡也不會擁擠，有提供洗髮精跟沐浴乳釣魚池要看老闆每天的開放時間，所以沒有辦法隨時都可以釣魚,3,0,1,0,2685,2020/05/06,營區鄰近馬路車聲建議訂位時選擇靠近釣魚池會離馬路較遠營本部雨棚區相連介意家門口睡覺訂雨棚區營本部兩台冰箱雨棚區露營夜裡會聽到冰箱壓縮機運轉聲音吵營區路況佳導航設備順利導航定點五星級衛浴設備間一家四口洗澡擁擠提供洗髮精沐浴乳釣魚池要老闆開放時間辦法釣魚
高海拔營區可遠眺山景，環境清幽，但蒼蠅蚊蟲非常多，水槽是延著大石頭做在旁邊，所以非常低，要一直彎腰很辛苦，台哥大訊號斷斷續續。太離譜的是早上6:45就開始除草，還連續2天，開了大老遠的山路到山上放空卻被迫早早起床真的很無言～,2,-1,1,0,6104,2023/10/07,高海拔營區遠眺山景環境清幽蒼蠅蚊蟲水槽延著大石頭做旁邊非常低彎腰辛苦台哥訊號斷斷續續太離譜早上45除草連續天開大老遠山路山上放空被迫早早起床真的無言
這次來真的是風雨無阻(因為雨風不夠大不能延退)營主的用心經營我們都感受到了免費的草莓可以採，看天吃飯真的很無奈這真的是一個難忘的回憶，睡車上,3,0,1,0,2160,2017/05/07,真的因為雨風不夠大延退營主用心經營感受免費草莓採看天吃飯真的無奈真的難忘回憶睡車上
小而美的營區，該有都有衛浴2區共用還行，離瀑布不算遠，雖近車道但還行沒太多車流,4,1,1,1,1708,2019/05/07,小而美的營區衛浴區共用行瀑布不算遠雖近車道還行沒太多車流
炎炎夏日到山裡避暑，玩山泉水最好不過了～只是在不下雨小溪裡的水越來越少了～營地感覺還好～還有公共冰箱也適合全家野坎踏青。個人建議因山區訊息差有關導航可先下載手機儲存在開啟使用以防走失。,4,1,1,1,3130,2019/05/07,炎炎夏日山裡避暑玩山泉水不下雨小溪裡的水越來越少營地感覺還好公共冰箱適合全家野坎踏青建議山區訊息差導航先下載手機儲存開啟以防走失
精緻典雅的露營區，適合帶小朋友來簡單露營，在衛浴旁的水池有遮蔭、沙坑無遮蔭，廁所乾淨貼心放了衛生紙、浴室有澡盆、椅子、勺子，空間也夠，適合親子ㄧ起洗。晚上抓蝦活動很棒。唯白天有零星蜜蜂要注意， 營區分三區，散步空間比較沒有。,5,1,1,1,4006,2018/05/07,精緻典雅露營區適合小朋友簡單露營衛浴旁水池遮蔭沙坑遮蔭廁所乾淨貼心放衛生紙浴室澡盆椅子勺子空間也夠適合親子ㄧ起洗晚上抓蝦活動很棒唯白天零星蜜蜂營區分三區散步空間
浴廁乾淨，雨棚區離浴廁遠了些，草地營位有的下了帳客廳帳就沒法擺了!,4,1,1,1,4429,2020/05/07,浴廁乾淨雨棚區離浴廁遠草地營位了帳客廳帳就沒法擺
如果有其實我想給0顆星及一堆的XXXXXXX（對於要去這個營地，及參加這家團露的人給予建議）上周參加了一個菱X露親子團露（一百多帳的團露），去印象尖石，星期六白天天氣還可，到了四點多開始下雨，大約不到半小時，各區就開始淹水了，我們帳篷後半段都在水裡但問題是1.營地根本就沒有排水可言（而且它還是石子地），營主也無所作為，每區都淹，也無法搬移一個這麼大也不是新的營地，總不能兩手一攤說下雨我也無法吧！2.活動主也覺得這是天災不應該怪罪於營主（是有繳一活動費的），那活動主不需評估雨天積水問題嗎？還是你們根本沒有場堪這件事結果小朋友也無法去要糖果，啥活動也沒法參與所以為了避免小朋友感冒，我們果決得決定撤帳，這時已經有不少人撤了，因為沒人知道雨啥時會停（還沒有發布豪大雨特報），我們一直在水坑中，據說有近半數的帳撤帳下大雨我們的是沒遇過，但這樣子的積水及排水不良還真的沒有遇過付了共一千五都的營地加活動費，只換來小朋友的鬱悶、狼狽撤帳及一肚子的氣,1,-1,1,0,2269,2023/05/06,我想給顆星一堆XXXXXXX營地參加這家團露給予建議上周參加菱X露親子團露一百多帳的團露印象尖石星期六白天天氣還可四點下雨不到半小時各區淹水帳篷後半段水裡營地排水可言石子營主無所作為每區淹搬移新營地總兩手一攤說下雨活動主這是天災怪罪營主繳一活動費的活動主不需評估雨天積水場堪這件事小朋友糖果活動沒法參與為小朋友感冒果決撤帳撤因為沒人雨時會停發布豪大雨特報水坑中有近半數帳撤帳下大雨遇過子積水排水不良真的遇過付一千五營地加活動費換來小朋友鬱悶狼狽撤帳一肚子氣
包區空間大！。1. 路面平好走，但後段路較狹窄，不易會車2. 建議增加衛浴3. D區遇下雨容易積水4. 5帳包D區，空間還很大，讚！5. 營主熱心服務，讚！,4,1,1,1,1327,2021/09/12,包區空間路面平好走但後段路狹窄不易會車建議增加衛浴D區遇下雨積水帳包D區空間很大讚營主熱心服務讚
櫻花真的很美 看得出來營主很用心的在維護 沒什麼蚊蟲 熱水也很熱,5,1,1,1,4758,2024/03/07,櫻花真的美看得出來營主用心維護沒什麼蚊蟲熱水很熱
營區位置不好找，希望標示更清楚！。位置真的很不好找，不能相信導航，整個錯誤，導到大山裡，重點是山裏還沒有信號，折騰好久，重新下山再下山，希望營主位置再標清楚一點，才不會麻煩，晚上不要山上，到了營區，剛開始沒有蒼蠅，到中午時蒼蠅太可怕，營主解說是因為有種蔥的關係，晚上時蒼蠅就沒有那麼多，不過大螞蟻還是蠻多的，夜景不錯，很漂亮！,5,1,1,1,2893,2022/09/22,營區位置不好找希望標示位置真的不好找導航錯誤導到大山裡重點山裏信號折騰好久下山下山希望營主位置再標一點麻煩晚上山上營區蒼蠅中午時蒼蠅太可怕營主解說因為有種蔥關係晚上時蒼蠅螞蟻夜景不錯很漂亮
"營區整理得非常乾淨,營地主人很客氣,是一個很舒服很放鬆很安靜的露營地.一定會再度光臨的.",5,1,1,1,3156,2018/10/21,營區整理乾淨營地主人客氣舒服放鬆安靜露營地再度光臨
營主對反應的事情，處理謹慎，會站在客戶立場想，永續經營理念很認真，會再來喔！,5,1,1,1,5318,2023/09/07,營主對事情謹慎站客戶立場想永續經營理念再來喔
小而美，很像回到鄉下阿嬤家很舒服。雖然沒有華麗的包裝營區小小的，就是一種去長輩家的感覺，營主很熱心帶我們去拔自己種高麗菜。熱情又阿沙力。很適合包區狂歡沒人管你。也不會吵到別人。,5,1,1,1,18,2020/02/23,小而美回到鄉下阿嬤家舒服華麗包裝營區小小的一種長輩家感覺營主熱心拔高麗菜熱情沙力適合包區狂歡沒人管吵到
無過度開發的營區適合大人放空  更適合野放小孩的地方景色優美  1200海拔夏天露營首選營主爸爸熱情  浴廁也乾淨大推薦的營地,5,1,1,1,1322,2020/05/07,過度開發營區適合大人放空適合野放小孩地方景色優美1200海拔夏天露營首選營主爸爸熱情浴廁乾淨推薦營地
營區乾淨附近有許多果園可以採果有種植各種果樹 還有楓樹沙坑大 有溜滑梯盪鞦韆沒有滿帳的話品質不錯但新竹風好大啊記得下釘下滿,5,1,1,1,1658,2021/05/07,營區乾淨果園採果種植果樹楓樹沙坑溜滑梯盪鞦韆滿帳品質不錯新竹風好記得釘下
導航找不到的營區~除此外營區老闆服務很好喔~還會摘龍眼請我們吃~,4,1,1,1,4088,2020/08/12,導航找不到營區除此外營區老闆服務喔還會摘龍眼請吃
最上方營位很大及乾淨，景色佳，廁所及浴室給他100分！在東眼山附近隔天一早整收就可以去爬山！,5,1,1,1,863,2023/09/06,上方營位很大乾淨景色佳廁所浴室給他100分東眼山隔天一早整收爬山
推～推～推。道路順暢，營區乾淨整潔，營主熱情親切，有戲水池，無敵的夜景，滿天星斗讓人難忘，最棒的還有營區內幾乎沒有蚊子更沒有小黑蚊。還會想再度光臨。,5,1,1,1,2494,2023/08/12,推推推道路順暢營區乾淨整潔營主熱情親切有戲水池無敵夜景滿天星斗難忘最棒營區蚊子小黑蚊還會想再度光臨
交通方便，營主親切，每日都為露客準備透心涼的迎賓茶。附近有步道，有時間可以去走走。,5,1,1,1,4009,2018/09/19,交通營主親切每日為露客透心涼迎賓茶步道時間走走
乾淨舒服的露營區老闆還會準備自己種植的橄欖薑茶給大家品嚐地段安靜清幽還可看見雲海,5,1,1,1,2775,2020/05/07,乾淨舒服露營區老闆還會種植橄欖薑茶給品嚐地段安靜清幽還可雲海
優點：水、電正常，浴廁乾淨缺點：營位是停車格(地面是植草磚，營釘無法斜釘)，遊玩空間是車道，空間不太夠用，玩的時候容易互相干擾。浴廁入口有分男女，但是走進去是同一個空間。,3,0,1,0,5858,2024/01/08,優點水電浴廁乾淨缺點營位停車格地面植草磚營釘斜釘遊玩空間車道空間不太夠用玩干擾浴廁入口有分男女走進同一個空間
環境清優 產業道路不太適合底地盤的車 衛浴乾淨,4,1,1,1,4537,2018/05/08,環境清優產業道路不太適合底地盤的車衛浴乾淨
國慶日，極品露營體驗。。這次訂F區ㄧ帳，規畫只有2帳空間，結果到現場，營主又多收了另台露營車，等於2帳加一台露營車，去擠一處本來就不大的空間，當下營主提出解決辦法，因爲連假，營區都難定了，當下也只好接受。基本上這個梯型營地，規畫的帳數太擁擠，滿帳下去，就沒有活動空間，小朋友沒地方玩，除非還要包區，等於多花2倍的價錢，才有活動空間，露營品質不好，。,1,-1,1,0,2859,2022/10/09,國慶日極品露營體驗訂F區ㄧ帳規畫帳空間現場營主收台露營車等於帳加一台露營車擠一處本來空間營主提出解決辦法連假營區難定只好接受梯型營地規畫帳數太擁擠滿帳活動空間小朋友地方玩包區等於多花倍價錢活動空間露營品質不好
營主⋯您人不在營區放著露營客獨自在營區開趴，真的讓一些素質低下的人破壞這邊的露營環境⋯⋯那麼多電話打去跟您反映，一樣大聲喧嘩吵鬧，還是不見您的身影上來規勸，吵到凌晨還在吵⋯,1,-1,1,0,4159,2024/02/08,營主不在營區放著露營客營區開趴真的素質低下破壞露營環境電話打去大聲喧嘩吵鬧不見身影規勸吵到凌晨還在吵
挑高雨棚，視野佳，過夏天有超猛的蚊子和蒼蠅,3,0,1,0,1785,2021/05/07,挑高雨棚視野佳夏天超猛蚊子蒼蠅
B6區距離廁所很近，非常臭臭味沒間斷過。請大家慎選，非常不推薦！,1,-1,1,0,6095,2020/05/07,B6區距離廁所很近臭味間斷請慎選推薦
廁所邊洗澡上面會一直滴水，而且隔壁有人洗就沒有熱水。電壓十分不穩定一直跳電！晚上10點營主就直接關燈,3,0,1,0,195,2022/04/05,廁所洗澡滴水隔壁有人洗熱水電壓穩定跳電晚上10點營主關燈
1/10一到營區因天氣不佳就跟另一伴先待在車上休息，去了廁所發現廁所很髒亂，尤其男廁臭氣沖天，另一伴還將自己上的那間沖洗一下，女廁的垃圾桶垃圾都滿出來了，聽露友說都會聞到廁所的尿騷味，營區內的洗手台每一座裡都有之前露友留下來廚餘在洗手台內，整個營區衛生方面感覺都無人看管 …,3,0,1,0,5963,2024/02/07,10一到營區天氣不佳一伴先待車上休息廁所發現廁所髒亂男廁臭氣沖天一伴還將那間沖洗女廁垃圾桶垃圾聽露友說聞到廁所尿騷味營區洗手台一座裡都露友留下來廚餘洗手台營區衛生感覺無人看管
G區的冰箱太弱了！浴廁都還乾淨，洗手台集中在一起，離帳比較遠，有點不方便。,4,1,1,1,740,2021/05/07,G區的冰箱太弱浴廁都還乾淨洗手台離帳較遠
台灣大哥大在這裡沒有收訊＝＝除此之外都還不錯,3,0,1,0,4609,2023/05/06,台灣大哥大收訊都還不錯
空氣好！營主人好！空間大！有心在整理的營區！值得再去！有提供wi-if,5,1,1,1,5376,2023/05/09,空氣營主人空間有心整理營區值得提供wiif
整體來說有是一個小而美的營地，老闆很親切，活動很多很棒,5,1,1,1,404,2019/02/18,整體小而美的營地老闆親切活動很棒
營區感覺視野超好、微風很舒服，沒什麼昆蟲很讚，園區種很多櫻花，期待老闆娘的花旗木能早日開花，老闆娘為人親切熱心，廁所乾淨衛生置物空間及使用上很方便，鄰近步道與優遊吧斯 鄒族文化部落 YUYUPAS Cultural Park（拿來灣哈名片可每人折抵100元門票）。,5,1,1,1,2724,2021/05/07,營區感覺視野超好微風舒服沒什麼昆蟲讚園區櫻花期待老闆娘花旗木能早日開花老闆娘為親切熱心廁所乾淨衛生置物空間鄰近步道優遊斯鄒族文化部落YUYUPASCulturalPark拿來灣哈名片每人折抵100元門票
值得回訪的好營區。營位空間給的非常大方的一個營地 帳與帳間都充份的距離 不然讓人有帳帳相連的感覺給足了小朋友非常寬敞奔跑活動的空間 營區的每個區視野都不錯 也處處看得到營主的用心經營  浴廁維護的非常乾淨 一間廁所一台熱水器 洗澡時完全不會有勿冷勿熱的問題  非常貼心除了洗手台水槽偏小及冰箱設備比較舊式之外 其他都狠喜歡還有如果有提供賣冰塊、木炭服務 或有個飲水機的話就更更更加分了 謝謝~一致評定會再回訪的好營區哦!!,5,1,1,1,6354,2020/10/12,值得回訪營區營位空間給的大方營地帳與帳間充份距離帳帳相連感覺給足小朋友寬敞奔跑活動空間營區區視野不錯營主用心經營浴廁維護乾淨一間廁所一台熱水器洗澡時勿冷勿熱貼心洗手台水槽偏小及冰箱設備舊式之外狠喜歡提供賣冰塊木炭服務飲水機分謝謝評定回訪營區
VIP區離住宿房間那區好近，遇到一群人喝酒聊天嘻笑到半夜，我們都不用睡了。隔天一早，同一群人又不曉得在玩什麼打氣球的遊戲，一票媽媽跟小孩一直尖叫，尖叫到所有氣球打完遊戲結束，好可怕。還有，營區有養雞，雞早上4:50開始啼! 好險只住一天，根本沒睡。,1,-1,1,0,6334,2021/05/08,VIP區離住宿房間那區一群喝酒聊天嘻笑半夜不用睡隔天一早一群曉得玩氣球遊戲一票媽媽小孩尖叫尖叫氣球完遊戲結束可怕營區養雞雞早上50啼好險只住沒睡
場地很大，有樹林有草地，營位附有護草墊可以墊高帳篷，衛浴乾淨寬敞，旁邊就是小溪，螢火蟲季不用特意去尋營區就有螢火蟲優雅飛舞。,5,1,1,1,4229,2024/04/30,場地很大樹林草地營位附有護草墊墊高帳篷衛浴乾淨寬敞旁邊小溪螢火蟲季不用特意尋營區螢火蟲優雅飛舞
完美景色，新手友善。很棒的營地。這次住在B區。景色完美：夜景遠眺市區、頭上繁星點點、晨曦升起時朝陽灑落山間，配上清新的空氣，真的很舒服。設備規劃完整：冰箱有冷藏、冷凍；浴室熱水夠熱、水壓夠強；一個營位一個洗手台+夜燈+插座可以插延長線。垃圾桶位置不遠、指示也很清楚、而且完全不臭，感覺維護得很用心。該有的都有，無可挑剔,5,1,1,1,6625,2024/02/14,完美景色新手友善很棒營地住B區景色完美夜景遠眺市區頭上繁星點點晨曦升起時朝陽灑落山間配清新空氣真的舒服設備規劃完整冰箱冷藏冷凍浴室熱水夠熱水壓夠強營位洗手台夜燈插座插延長線垃圾桶位置不遠指示不臭感覺維護用心無可挑剔
有些營位地不平，各帳距離過小，要深思，跟照片不一樣。,3,0,1,0,2402,2019/05/08,營位不平各帳距離過小深思照片
A區規畫8帳，明明只能放6帳，車子也停的很擠！明顯超收!熱水瓦斯沒了，打給營主也找不到人！下次不會再來了,1,-1,1,0,2182,2018/05/07,區規畫帳明明只能放帳車子停很擠超收熱水瓦斯打給營主找不到下次再來
景色是好，面積廣…營主好商量。但從巨木群登山口到營區還有一段距離，上山路面又被載高麗菜車壓的凹凸不平。建議路面還沒修好前，車子底盤太低的不要進入，以免發生輪胎卡住問題。廁所很乾淨…有在整理,4,1,1,1,2502,2022/07/18,景色面積廣營主好商量巨木群登山口到營區一段距離上山路面載高麗菜車壓凹凸不平建議路面還沒修好前車子底盤太低發生輪胎卡住廁所乾淨整理
"營地很難釘，需準備較粗營釘跟槌子,遇到超級強的東北季風，帳篷吹壞只好徹退了，可能是運氣不好遇到強風，事後打給營主有說這季節時常會有很難預測,環境衛浴都很不錯",4,1,1,1,4699,2019/05/06,營地很難釘需粗營釘槌子超級強的東北季風帳篷吹壞只好徹退運氣不好強風事後打給營主有說季節時常難預測環境衛浴不錯
營主很佛心的，大人每人有玉米吃小孩有吹泡泡可拿，隔天天氣好，提供水球給孩子們玩水球大戰。我們在top區營區乾淨，有獨立衛浴跟冰箱，6帳就包區，營位給的很大方，推,5,1,1,1,1935,2023/05/07,營主佛心大人每人玉米吃小孩吹泡泡隔天天氣提供水球孩子玩水球大戰top區營區乾淨獨立衛浴冰箱帳就包區營位給很大推
