content,rating,type,status,sequence_num,tokenization,publishedDate,origin,label
營區的空間很大，非常適合讓小孩發洩的好地方。營區的主人非常貼心，戲水區也有遮陽傘，可以讓家長在旁陪著小孩，不至於曬傷。不過，還有一些地方需要改進才能讓營區更舒適！1. 垃圾桶離得有點遠。2. 廁所裡外的照明不足，晚上很危險。3. 熱水器有時冷有時熱。4. 營區的營釘不好打，而且地面有太多碎石，很容易踩到石頭。,3,1,0,573,,2021/05/06,0,中立
非常危險，地面很硬，而且還有積水。,3,1,0,575,,2021/05/06,0,中立
"1. 石頭地雖然不適合紮釘，但也沒有泥泞的問題。
2. 在租借帳篷時沒有得到幫助或教學，幸好有朋友一起研究。
3. 沒有碰到營主，也無法得知其下落，缺乏其他營地的熱情款待。
4. 需要自己處理帳務，價格卻比外租還要貴。
5. 充氣墊無法充電，幸好有朋友幫忙，否則不知何時才能充好。
6. 洗澡水溫度難以接受，既燙又冷，後來決定不洗或調整到過熱。
7. 小孩娛樂設施稀少且遙遠，無法在附近看到他們的蹤影。環境寧靜，離老街較近，希望能改善這些問題，否則可能只會光顧一次。",3,1,0,583,,2020/05/06,0,中立
路況很糟糕，導航會經過充滿石頭的內灣老街，假日時常塞車。營地地面堅硬，石頭稀少。普通營釘難以插入地面。衛浴設備還算可以。,3,1,0,592,,2020/05/06,0,中立
這塊碎石地真的非常困難釘營，再加上強勁的東北季風，直接導致帳篷被吹斷，使得露營活動變得相當困難。這真是一次令人難忘的痛苦經歷。,3,1,0,613,,2019/05/06,0,中立
這個地方環境十分幽靜，但仍需要更多的宣傳和投資。,3,1,0,625,,2019/05/06,0,中立
露營地的設施很棒，但碎石地不易釘營釘。,3,1,0,634,,2019/05/06,0,中立
希望獨立的廁所能夠增加一些。,3,1,0,636,,2019/05/06,0,中立
周邊都是果園卻沒有遊樂設施。,3,1,0,638,,2019/05/06,0,中立
因為土壤中有太多泥土和石頭，所以難以將營釘打入。,3,1,0,658,,2018/05/06,0,中立
碎石地太硬，營釘打不進去。廁所太少了，垃圾桶也太少了。,3,1,0,687,,2020/11/28,0,中立
這個營區排水情況非常糟糕。雖然非常適合小孩露營，但一下子下起雨來就形成積水，甚至比打在地上的營釘還要高。當站在這樣的情況下，看著大雨慢慢淋透營地，營主關心也不夠周到，讓人感到沮喪。過去三年裡，我們經歷了許多強烈暴風雨的露營，但從未遇到過像這樣極度排水不良的水淹營地。地面是碎石鋒利，草坪不平，高低起伏明顯，再加上排水條件不佳。雖然有蚊蟲、蒼蠅、蟑螂和螞蟻來作伴，顯示大自然的存在，我覺得這個營區在100%好天氣下還是一個非常適合兒童玩樂的樂園。,3,1,0,700,,2020/05/18,0,中立
整體來說感覺還可以。帳篷很大，5*8尺寸的搭建空間很寬裕，但是打釘確實有一些困難，當風很大時可能會有釘子被拔起的危險。,3,1,0,722,,2019/03/14,0,中立
浴室晚上用會很冷，風很大。,3,1,0,820,,2017/05/02,0,中立
整體來說環境不錯，視野很開闊，附近有便利店（全聯）很方便，但山路較為陡峭需小心駕駛，也有一些老闆信譽不佳的問題，使整體感受稍微打了折扣。,3,1,0,859,,2023/05/07,0,中立
D區的女生廁所只有一間蹲式廁所和一間淋浴間，覺得不夠用，媽媽們帶小孩洗澡就必須等很長時間，我覺得應該設計一個座式廁所或者裝設安全扶手，這樣對於老年人或者不習慣蹲廁的人會更方便。D區共用一個冷凍庫，希望也能設置冷藏區。另外希望能有一個大雨棚，方便大家遮風避雨。,3,1,0,925,,2019/05/07,0,中立
這個地方環境清幽，衛生環境優良，視野開闊，空氣清新。,3,1,0,926,,2019/05/07,0,中立
最近的地點是味珍香和全家便利商店，開車大約需要10-15分鐘來到三星鄉。附近也有不少景點，例如松蘿和九寮溪步道。不過秋冬季節容易刮大風，可能會讓夜晚睡覺時感到有些不穩定。,3,1,0,940,,2018/05/07,0,中立
天氣稍微涼爽一點的時候，露營應該是個不錯的選擇。這個地方離市區近，夜景也很漂亮。,3,1,0,944,,2018/05/07,0,中立
在營地上釘帳篷時要小心，因為碎石地比較硬。,3,1,0,982,,2021/12/14,0,中立
在C區，草地上之間擺滿了護草墊，導致小朋友們無法盡情奔跑，不止一次地絆倒並擦傷皮膚。他們能玩耍的空間只剩下靠近沙坑的一小片區域。值得一提的是，C區配備了熱水水槽和獨立的衛浴區，雖然衛浴間的清潔狀況一般般。,3,1,0,1042,,2024/02/07,0,中立
記得要從內灣那邊上去，雖然車子有點多，但是路程比較短。,3,1,0,1062,,2023/05/07,0,中立
這句話的意思是指做事情的態度踏實可靠，但仍有一些小地方需要改進，可以給予3.5顆星的評分。,3,1,0,1080,,2023/05/07,0,中立
看了大家的評價後很期待前往，也跟老闆確認了飄飄河是否都有開放，但結果發現只有A區有飄飄河，其他區根本沒有開放，讓我感到相當失望。不過水廁有防蟲紗網這點倒是蠻貼心的。,3,1,0,1273,,2023/10/07,0,中立
下午下了一場大雨，場地變得泥濘，明顯感覺砂石鋪得不夠，其他區域鋪了更多石頭，就沒有那麼潮濕，其他設施還可以，有小朋友的話可以在水裡玩耍放電，感覺水是直接從山上流出來的，這個季節水管裡會有蝌蚪爬出來，晚上很多昆蟲和各種不同的蛾類。,3,1,0,1287,,2023/06/07,0,中立
新營主非常熱情地經營，並提供乾淨衛浴及廁所，積極消毒。每一區均有獨立衛浴，也提供沐浴及洗髮乳。然而，只有A區提供冰箱、飲水機及脫水機，若全區共A到F區，一台冰箱實在太少了，建議增加設施。營區有許多流浪動物，需要注意食物收納以免貓貓受困。晚間遇到熱水壺沒電，幸好有人提供幫助，但水壓穩定問題需改善。露營樂訂C區有4個營位，空間較為擁擠，建議提供更多活動空間。一連三天大雨使得C區積水嚴重，營主已答應改善該狀況。,3,1,0,1347,,2023/05/07,0,中立
營主人很友善，但營位區劃分不夠完善，先到先得。,3,1,0,1377,,2022/05/07,0,中立
總體來說還好，可能營區口碑不太好，沒有滿足，我們兩人在C區，如果有四人可能會有點擁擠。冬天去的話沒有蚊蟲，只看到一隻小蟑螂，衛浴設備還不錯，但需要自己保持清潔，否則可能看不到營地主人打掃，旁邊就是大馬路，偶爾會有重型機車隊經過很吵。或許也因為馬路旁有一隻大野狗闖入我的帳篷。,3,1,0,1382,,2022/05/07,0,中立
這個營地似乎曾經被用心經營，但現在已經荒廢。也許因為大家都在忙於補班補課，所以我們包下了整個營區。營區沒有大門，感覺相當沒有安全保障，常常會有陌生人直接駕車進來參觀或使用廁所。營地主人似乎只在收費時出現，浴室的水溫也有些間歇性的忽冷忽熱。,3,1,0,1388,,2021/05/07,0,中立
洗澡時瓦斯不足，所以晚上洗澡很冷，但草莓價格很便宜。,3,1,0,1389,,2021/05/07,0,中立
A區旁邊有小溪，營位旁有滿是蝌蚪青苔水草的生態池，戲水的水道水不甚乾淨，滑滑的，小孩玩水要注意。缺點是廁所很髒，每天只固定打掃一次，需露客要求/提醒才會打掃。另外，營區排水慢，沒有提供護草墊，但可提供帆布。此外，營位不大，帳帳相連。水槽旁沒有垃圾桶，垃圾桶也沒有加蓋，半夜可能有流浪狗來翻垃圾。優點包括浴室水量大且溫度穩定，有提供洗髮乳、沐浴乳。此外，提供冰箱、飲水機、脫水機，湯唯泡湯有優惠。,3,1,0,1401,,2020/05/07,0,中立
建議事先詢問一下漂漂河 top 區是否開放，因為那裡整潔度不夠，也沒有人在維護。門票 1000 元有點貴，而且下雨時排水不良。還需要向隔壁借護草墊。,3,1,0,1410,,2020/05/07,0,中立
腹地非常狹小，帳篷搭好後幾乎沒有活動空間，但環境整潔度還不錯。,3,1,0,1412,,2020/05/07,0,中立
希望營地的坐廁能保持乾淨，一打開門就看到一些不太美觀的殘留物。,3,1,0,1413,,2020/05/07,0,中立
D區的停車位很狹窄，我們四個營位的人勉強將車子停進去，否則就得將車停在路邊。由於營區靠近路旁，必須特別留意小朋友是否會跑到馬路上。若要來的話，包區會是比較適合的選擇。,3,1,0,1453,,2022/10/12,0,中立
C區的排水系統和水壓有些問題。新營主很熱心，衛浴和廁所保持乾淨並協助消毒。睡前請確保食物放好，貓咪可能會跳上桌子尋找食物。建議營主改善C區的排水系統和衛浴水壓。,3,1,0,1457,,2022/06/27,0,中立
跟期待相比稍微有些落差。,3,1,0,1472,,2021/03/03,0,中立
C區浴室和廁所很骯髒，並有許多蟑螂。因營地業主未住在現場，這次造成我被隔壁區的吵到無法入眠！一群年輕人在晚間10點開始唱卡拉OK，一直唱到半夜12點！第二天向營地業主抱怨，但業主無法解決問題，之後無法再去該營地⋯⋯,3,1,0,1475,,2020/08/21,0,中立
總的來說還是可以考慮推薦。即使在路邊，整體上還算不算太吵。,3,1,0,1478,,2020/03/04,0,中立
營區座落於山谷中，夏天有些悶熱，廁所衛生狀況較差且缺乏清潔，讓人不太想再第二次造訪。,3,1,0,1479,,2019/12/23,0,中立
B區露營地晚上的優點在於環境乾淨，靠近北埔市區便利，並提供方便的補給，適合不想自己煮飯並想輕裝露營的人。但有幾點需要注意：1. 營區照片未更新，原來的鞦韆、水池和沙坑已經消失，應該攜帶自己的遊具；2. 洗澡時沒有熱水（大約在晚上8點至10點），且洗髮精的按壓設備故障；3. 雖然營區規定晚上10點後要保持安靜，但第一晚隔壁區的人喝酒喧鬧到深夜，第二晚有小孩比賽奔跑喧嘩一直到晚上11點半，營區管理人員似乎沒有出來勸導。,3,1,0,1524,,2023/12/07,0,中立
雨天時不建議前來，碎石區容易變成泥濘地，整個地方都濕漉漉的；浴室雖然沒有乾濕分離，但仍希望至少能加裝垃圾桶以減少氣味和保持美觀，從浴室到營地的排水系統都需要加強。在碎石區的陡坡下雨天容易滑倒，請務必注意安全。,3,1,0,1526,,2023/11/07,0,中立
營地老闆非常友善，只是沒有提供親子浴室。,3,1,0,1574,,2020/05/07,0,中立
這個營區空間狹窄，停車不太方便。儘管有很多有趣的遊戲區，讓小朋友玩得不願離開，但可惜蚊子實在太多了，全家都被叮得很慘烈，每個人至少被咬了200次，最後只好匆忙帶小孩離開。總的來說，這營區還有改善的空間，值得一遊。,3,1,0,1578,,2020/05/07,0,中立
北埔市集附近的營區很小巧，且附近道路狀況良好，但要注意小黑蚊的出沒。,3,1,0,1581,,2019/05/07,0,中立
車道和場地的安排還算可以，適合中小型團體來使用。設備方面也算維持得不錯的清潔程度。,3,1,0,1592,,2019/05/07,0,中立
在交叉路口的地方，如果路標設置明確一點會更方便。,3,1,0,1711,,2018/03/20,0,中立
營區太擠擁，隔壁的區域太吵，營區內的道路也太窄，結果我的車底刮傷了。,3,1,0,1753,,2023/11/07,0,中立
規劃過於繁複了，有些像隔間出租套房，如果所有帳擺滿了，就沒有活動空間了。浴廁還算是很乾淨，但數量比例上可能稍微不足。,3,1,0,1767,,2023/05/07,0,中立
營地環境還可以，但共用了兩處電箱和洗菜枱的五個帳篷，不夠用。另外，廁所和浴室還可以，但屋頂是透光的罩子，夏天裡面很像烤箱一樣太熱了。廁所前只有一個小洗手枱，不夠方便也不夠用。,3,1,0,1780,,2023/05/07,0,中立
營地的各區腹地都不大，所以平常日只有一輛車不會感到擁擠。不過，唯一可以看到夕陽風景的方向多半會被樹木擋住。最上層的營位就在馬路旁邊，可能會有點吵。整體環境整理還算是蠻乾淨的！比較讓人不滿的是，入住時雖然講好車泊無折扣，最後還是依原價收費。但第二天拔營前突然告知露營車不能使用電力，要另外加價才能插電！？！？同樣收費，為什麼露營可以用電，車泊就不行呢？？？看來營地主對於車泊較不友善。如果是喜歡車泊車宿的同好，若需要在這裡入住，可能要三思了……,3,1,0,1787,,2022/05/07,0,中立
我找朋友載我去露營地和家人露營，雖然朋友是訪客，但不到一小時，一人還是要收100元，我沒有被收100，因為我是和家人一起露營的，如果是一起露營的人就不用錢嗎？如果早知道只要一起露營就不用錢，就好了。不是說不能收，但是一百元有點貴了，建議可以按照時間收費，入場一小時內免費，入場一到兩小時收50元，超過兩小時收100元，但限制一人只收100元。不應該司機載我們進去只喝杯茶卻也要收100元。,3,1,0,1796,,2022/05/07,0,中立
這個地方的環境算是相當不錯，登上遼望台後大約30分鐘的路程，可以享受360°的美景。遊客可以參觀營地，每人100元。注意：位於最上面靠路邊的營地地面是磚地，不太適合釘營釘哦。,3,1,0,1800,,2022/05/07,0,中立
風景很美，但浴室的熱水時冷時熱。,3,1,0,1830,,2020/05/07,0,中立
因為濃霧和濕氣很重，所以視野受到很大的影響，設置帳篷可能要花費更多時間。,3,1,0,1831,,2020/05/07,0,中立
夜晚前往露營地遇到濃霧，頭燈照射到物體上就像水滴一般，還有一些小黑蚊。露營地很寬廣，地形多是斜坡，冰箱位置遠且較大。營地主人會用貨車載著露營者到周邊地區參觀，但這樣載著露營者坐在車斗裡有些不安全。建議提供地圖，讓露營者自行開車前往目的地。,3,1,0,1834,,2020/05/07,0,中立
這個草地挺不錯的，營地主人也很友善。但晚上蟲蟲的數量真的讓人害怕，衛浴設施也有點不夠用。,3,1,0,1858,,2019/05/07,0,中立
老闆很關心夏日消暑茶品，並且很用心種植樹木和經營露營區。,3,1,0,1859,,2019/05/07,0,中立
風景很美，但遺憾的是沒有提供沐浴用品和吹風機，會稍微不方便。,3,1,0,1861,,2019/05/07,0,中立
五月天的白天過後很熱，但晚上卻涼爽，露水相對較重，草木茂盛，景色宜人。不過蒼蠅和蚊子比較多，衛浴間較不足，洗澡時常需排隊。建議在中午之前扎營，第二天較不會感到炎熱。,3,1,0,1864,,2019/05/07,0,中立
露營場主沒有處理露營者的問題，半夜仍有人在打麻將，大聲聊天鬧事，洗澡時也沒熱水。孩子洗澡時也沒熱水，只好咬牙忍受，之後趕緊向營主反映，營主換過瓦斯後還是沒有熱水供應，對此營主沒有表達任何關心之意，甚至當孩子洗冷水澡的事情無動於衷。在另一間半洗澡時也沒熱水，等了十幾分鐘換過瓦斯，最終孩子星期日晚上發燒。請問營主是否應當巡視並確認有瓦斯供應？晚上溫度低時，應當立即通知露營者而不是等到洗完冷水再處理，這樣的行為是否適當？除此之外，露營場主似乎對露營者行為漠不關心，半夜2點有人打麻將、大聲聊天，這種情況真的令人感覺很差！,3,1,0,1879,,2024/04/23,0,中立
住在G區，水槽是兩個帳篷共用一組，旁邊沒有搭帳篷，否則會是三個帳篷共用。只有一間廁所和一間淋浴間，不太方便，但還算乾淨。插座太遠，需要使用兩條延長線（10米和15米）。空間有點狹窄，冰箱只有在營地本部有。,3,1,0,1907,,2022/04/13,0,中立
營區有些擁擠，總會有狗狗來嚇到鞋子.....,3,1,0,1942,,2020/08/12,0,中立
這次預定的是位於區七草地，場地為狹長型，非常狹小，根本無法放下七個帳篷。向營地負責人反映後，得到的回應也是不能接受。,3,1,0,1956,,2019/08/03,0,中立
這裡的蟲蟲真的太多了！7號區的場地很小，太擁擠了，小孩沒有地方可以奔跑，不建議露營！,3,1,0,2024,,2018/06/20,0,中立
營位有點擠，洗手台不夠方便。廁所明顯不足，其他都還可以，營主很友善。,3,1,0,2035,,2018/05/01,0,中立
營主沒有遵守原本的預訂情況，導致我們十個營位中被多加三個營位，而且營主卻不想確認對方的訂位系統是否有誤，反而希望我們接受這種違反原則的情況。這樣的行為讓人感到很不滿，雖然我們在那裡玩得開心，但希望下次營主能有主見，堅決解決問題，而不是再把責任推給他人。,3,1,0,2060,,2018/01/08,0,中立
營位大小與網站資訊不符。我們進去後並未見到營位，卻被要求支付尾款...整個體驗感覺很糟糕。當我們準備搭建方形帳篷時，發現地點實在太小無法搭建。（我們在草地區，單人帳篷那邊）方形帳篷尺寸為440*550，而營區網站上標示的營位尺寸是5*5......供大家參考，無其他意思。,3,1,0,2116,,2017/07/14,0,中立
有很多蟲蟲，浴室裡有很多蟲蟲。很容易身上會出現 Dior 的標誌。這裡沒有水，也不提供飲用水。上山的路不好開，轉進去還要二十五分鐘。在 G 區裡只有 g1 有景，但是夜景不是宜蘭市的夜景。看起來我可能不會再去造訪了。有很多地方可以花一千塊去。,3,1,0,2175,,2023/05/07,0,中立
這次在宜蘭的露營經驗並不愉快，因為整個周末都下雨，導致G區很昏暗，而且營地的排水不良，到處都是水坑，搭建帳篷變得相當困難。加上起霧的天氣，連風景也看不清楚。總結來說，這次的露營讓我決定以後不再來宜蘭了。,3,1,0,2176,,2023/05/07,0,中立
營地釘釘裝不牢，造成很生氣；山路尚未整修，車輛難以通行。,3,1,0,2187,,2022/05/07,0,中立
廁所的數量太少，導致需要排隊，讓人覺得不方便。,3,1,0,2222,,2020/05/07,0,中立
景色很美，可以從未開放的G區眺望到龜山島和蘭陽平原夜景。晚上關燈後，滿天星空，有機會看到銀河。滑草區讓小孩超開心，草皮中間很適合玩遊戲。玩沙有遮陽，旁邊也可以玩水，但是要注意水池邊緣比較高沒有可以上下的地方。需要留意涼爽的天氣。管理員很友善熱心，廁所衛浴打掃得很乾淨。AB區離浴廁較遠，若營位數量多的話衛浴可能會不夠用。冷熱水的控制不太好，有提供水桶。雖然沒有小黑蚊，這次確實碰到很多蒼蠅。,3,1,0,2225,,2020/05/07,0,中立
剛好碰上營區宿客素質不佳，學生開趴到半夜，老人清晨五點就開始聊天和上廁所，而且浴廁清潔狀況也很糟糕，還有熱水供應不穩定。來這個營區可能要看運氣了。,3,1,0,2229,,2020/05/07,0,中立
營地不算大，但海拔相當高，夜晚天氣好的時候可以遠眺星空。炎熱的天氣中午時分不適合上山露營，因為沒有遮蔽物來擋陽光。不過有供應水電。,3,1,0,2236,,2019/05/07,0,中立
G區夜景相當美麗，但浴室設施有改善的空間，環境衛生方面需要更多注意！,3,1,0,2244,,2019/05/07,0,中立
這真的很不方便。去那個地方慶祝生日，從台七甲上去後要轉段路完全沒有路燈，至少還要開20分鐘。夜間前往的人必須要小心。營區的蟲真的超級多，而且沒有飲水機。有計畫入住的朋友請留心。另外，露營樂網站上的照片應該是很多年前的了。一張帳篷要1000元，還有更多更好的選擇。,3,1,0,2278,,2022/12/08,0,中立
G區白天和晚上的景色有不同的感受！草地的營位長得很高，看起來好像很久沒有修剪過了。有時候會有虎頭蜂飛來飛去。營位附近有衛浴設備，也有冰箱和冷凍櫃，很方便。洗澡間和廁所是分開的，但衛浴的清潔狀況可能不太好。總的來說，G區的風景是這個營地最吸引人的地方，尤其是夜景和可以看到龜山島的景觀！,3,1,0,2281,,2022/08/01,0,中立
雖然是下雨天，但地面並不泥濘，孩子們仍然玩得非常開心。,3,1,0,2285,,2022/04/08,0,中立
環境很一般，整潔還需要改善，設備也須提升。,3,1,0,2288,,2021/11/22,0,中立
第二次來到G區營地，發現帳位很狹小，營地規劃不佳。G區停車亂停，公共空間被限制，有人將車停在別人帳蓬前。營地收取18帳，但只有2間衛浴和4間廁所，沐浴時水溫忽冷忽熱。提供兩台冰箱但卻不夠冷，導致食材變質，洗菜洗食材非常不方便，因為洗手台都在廁所區。整晚頻繁停電5、6次，甚至清晨5:30也跳電！夏天無電風扇可用，只能忍著熱直接起床。唯一優點是景色真的不錯，睡覺時很涼爽！建議大家千萬不要選擇G區營地！,3,1,0,2303,,2020/06/29,0,中立
草地保護墊需要補充、營區內的樓梯需要維修、衛浴空間裡的蚊蟲需要清理。,3,1,0,2311,,2020/02/22,0,中立
連假期間雖然一直下雨，但營地依然擠滿了人潮，在設備上似乎不足以應付如此多的人潮。此外，原本的冰箱看起來有些髒，希望能夠升級為冷藏及凍藏分離式冰箱。,3,1,0,2315,,2019/07/17,0,中立
"1. D和F區的營位距離車道太近，對小孩來說有安全隱患。
2. 浴室的熱水時常忽冷忽熱。
3. 不清楚是放在冷藏區還是冷凍庫？溫度不夠低。
4. 露營時遇到有喝醉的夫妻激烈爭吵，半夜拉長時間的嘈雜聲音吵醒了不少露營者，希望在營區夜間能有管理員或營主在場，以便即時處理任何突發狀況。",3,1,0,2368,,2018/04/09,0,中立
元旦那天下雨很令人不舒服。上層區域的規劃並不太完善，浴廁設備也比較普通，和去年來的感受有很大的差異。,3,1,0,2377,,2018/02/12,0,中立
天氣不佳，無法享受美景，期待下次再來! 沙坑區的遮雨棚已破損，使小孩無法遊玩，建議儘速修復。營區的洗手檯沒有清潔乾淨，上面有許多污垢，看起來有點噁心。,3,1,0,2379,,2018/01/05,0,中立
營主很友善。這個營地不錯，營主很親切。,3,1,0,2452,,2016/12/30,0,中立
周遭環境整潔，草地維持得很好,3,1,0,2528,,2021/05/07,0,中立
我不建議去參加週五的露營夜遊活動，因為營地的主人很晚才會到家，而且冰箱裡的食物要等主人回來才能冷藏，很不幸的是，第二天我們的主食雞肉就爛掉了。但值得一提的是，衛浴設備很乾淨，而且營地主人也很勤於維護每個區域的公共清潔。,3,1,0,2542,,2021/05/07,0,中立
營地整潔，衛浴設施乾淨，周圍風景還不錯。離瀑布很近，大概需要40分鐘的路程。,3,1,0,2549,,2020/05/07,0,中立
這個地方環境優美，螞蟻較多以外，整體營區非常棒。它沒有設施，但讓人更貼近大自然，同時靠近一座美麗的瀑布和清涼的溪水，還有一個適合小孩放心玩水的小池塘。,3,1,0,2550,,2020/05/07,0,中立
