tokenization,status,type,label
尚有 | 半空 | 營區 | 清幽 | 優點 | 營主 | 親友 | 訪 | 參觀 | 缺點 | 因為 | 並無知會 | 再就是 | 童稚 | 朝露 | 營 | 友人 | 車子 | 扔 | 石子 | 大人 | 制止 | 教育 | 錯誤 | 行為 | 到訪 | 瞧得起 | 付費 | 露營 | 露營客 | 包區 | 空間 | 繞 | 道 | 而行,0,1,1
超大 | 遮雨棚 | 早上 | 陽光 | 刺眼 | 睡 | 幾個鐘 | 廁所 | 乾淨 | 冰箱 | 營區長 | 輩 | 居多 | 晚上 | 8.9 | 點就 | 旁邊 | 說 | 睡 | 請 | 小聲 | 一點 | 掃興,1,1,2
小朋友 | 愛戲 | 水池 | 冰箱 | 數量 | 充足 | 一般般,1,1,2
這是 | 敵棒 | 營區 | 環境 | 優美 | 廁所衛浴 | 空間 | 大且 | 乾淨 | 唷 | 愛玉 | 風味餐 | 令人 | enjoy | 棒 | 營區 | 享受 | 大自然 | 美好 | 無限 | 感恩 | 營主 | 用心 | 營主 | 家 | 小孩 | 勤勞 | 維護 | 衷心 | 感謝 | 吊橋 | 清澈 | 流水 | 生態 | 吊橋 | 走 | 一圈 | 特富野 | 部落 | 好好 | 休閒 | 放 | 鬆 | 間 | 仙境,1,1,2
營地 | 螞蟻 | 真的 | 爆炸 | 爬 | 帳篷 | 螞蟻 | 昏,-1,1,0
帳 | 安排 | 腹地 | 太小 | 營地 | 山泉水 | 水質 | 狂飲 | 營主 | 臺 | 家用 | 飲水機 | 雜質 | 環境 | 優廁 | 幹淨,0,1,1
20221231 | 很大 | 雨勢 | 平整 | 排水 | 不良 | 區塊 | 一整片 | 大泥濘區 | 本來 | 包區 | 要過 | 跨 | 年 | 三天 | 兩夜 | 化為 | 權門 | 提早 | 撤帳 | 建議 | 對下 | 露營 | 一場 | 災難 | 建議 | 身邊 | 朋友 | 碰運氣 | 盡管,0,1,1
路況 | 佳 | 環境 | 佳 | 推 | 營位 | 空間 | 活動 | 空間 | 超足 | 浴 | 廁 | 乾 | 凈 | 預訂 | 中秋 | 連假 | 囉,1,1,2
用心 | 營主 | 溪流 | 玩水 | 旁邊 | 還有馬場 | 騎馬 | 體驗 | 適合 | 親子 | 露營,1,1,2
營主 | 家人 | 待人 | 和善 | 營區 | 小景 | 觀 | 建議 | 營主 | 露友 | 抵達 | 露友 | 說 | 明夜 | 間 | 說 | 話 | 音量 | 降低 | 太晚 | 唱歌 | 27 | 露營 | 區包區 | 唱 | 歌唱 | 10 | 點多 | 大聲 | 聊天 | 凌晨 | 點多 | 包括 | 小孩 | 玩耍 | 尖叫 | 半夜 | 12 | 點 | 因為現 | 營區 | 密集 | 晚上 | 散步 | 別營區 | 抱怨 | 木村 | 家太吵 | 想 | 功德 | 心 | 一群 | 人算 | 倒楣 | 希望 | 營主 | 往後能夠 | 前往 | 露友們 | 規則 | 創雙贏,0,1,1
營主 | 熱情 | 款待 | 晚上 | 早點 | 洗澡 | 辦,0,1,1
回答 | 重點 | 說 | 事情 | 回答 | 緣 | 事實 | 玩 | 泳池 | 多給 | 一顆 | 星 | ps | 提早到 | 收 | 反正 | 草皮 | 區歷 | 久 | 收到 | 十帳 | 八帳 | 十帳 | 太 | 擠 | 每帳 | 帳篷 | 客廳 | 帳營 | 繩拉一拉能 | 走路 | 洗手 | 檯 | 太少 | 每帳 | 共用 | 洗手 | 檯 | 一帳 | 洗手 | 檯 | 草皮 | 區才 | 兩個 | 洗手 | 檯 | 何故 | 我要 | 用水 | 穿過 | 炊事 | 帳 | 廁所為 | 男女 | 不分開 | 室內 | 空間 | 隔 | 廁所 | 衛浴 | 太少 | 所門口 | 騎樓 | 賺 | 錢 | 這錢 | 賺 | 去覽會 | 氣死 | 一到 | 錢 | 家 | 搭 | 午餐 | 吃 | 還在 | 忙 | 直白 | 第一次 | 相遇 | 狂要 | 錢 | 大陸妹 | 東北還 | 四川 | 硬 | 新手 | 露友 | 會給 | 好評 | 老露 | 客決 | 不會給 | 因為 | 去過 | 上流 | 備 | 註 | 營主 | 懷疑 | 露營過 | 不規範 | 露客 | 想要,-1,1,0
擠 | 住 | G | 區 | 水槽 | 兩帳 | 共用 | 一組 | 旁邊 | 棧板 | 搭帳 | 三帳 | 共用 | 一間 | 廁所 | 一間 | 洗澡 | 還算 | 乾淨 | 插座 | 太遠 | 接 | 兩條 | 動力線 | 10M | 15M | 活動 | 空間 | 冰箱 | 營 | 本部,0,1,1
整體 | 很不錯 | 風 | 很大 | 硬體 | 電燈 | 壞 | 幾顆,1,1,2
營地 | 排水 | 佳 | 雨後大景優 | 衛浴 | 尚可 | 營主 | 熱心,1,1,2
路 | 不好 | 走 | 高地 | 盤 | 車輛 | 適合 | 風景 | 野景 | 超美,0,1,1
爛可 | 形容 | 服務差 | 沒通 | 一視 | 窗 | 裝置 | 指標 | 收費 | 事 | 過晚 | 10 | 點 | 連去 | 茅坑 | 路 | 燈,-1,1,0
營位 | 超大 | 老闆 | 親切 | 小孩 | 能玩樂 | 地方,1,1,2
噴頭 | 分岔 | 意在 | 改進,0,1,1
營區 | 風光 | 優美 | 營主 | 年 | 輕 | 還不錯 | 營區 | 管理 | 員 | 不行 | 男生 | 洗手 | 間 | 電熱 | 水器 | 沒報 | 公告 | 女 | 廁是熱 | 水器 | 爸爸 | 小孩 | 洗澡 | 發現 | 通通 | 沒熱水 | 去問 | 管理 | 員 | 他口 | 氣還 | 不好 | 我問 | 請問 | 說 | 20 | 度 | 天 | ‼ | ️ | 12 | 度 | 天氣 | 耶 | 怎生 | 洗澡 | 🛁 | 說 | 洗 | 沒熱水 | 請問 | 剛剛 | 聊人 | 洗澡 | 助長 | 廁所 | 人行道 | 燈 | 開 | 還對 | 說 | 幹 | 開 | 多燈 | 電都 | 完 | 電熱 | 水器 | 不熱 | 超級 | 乾瞪眼 | 廁所 | 開燈 | 再來 | 晚上 | 11 | 點多 | 管理 | 員還 | 帳 | 飲酒 | 那就算了 | 喝醉 | 😵 | ‍ | 💫 | 發酒 | 瘋 | 大聲 | 罵 | 髒 | 話 | 兩人 | 罵 | 營主 | 營主 | 私人 | 恩怨 | 不想 | 只想 | 睡覺,0,1,1
空間 | 算 | 寬 | 敞 | 草皮 | 不錯 | 水壓 | 不太穩 | 小黑 | 蚊,1,1,2
裝置 | 住 | 三天 | 兩夜 | 廁所 | 衛浴 | 希望 | 何等 | 掃雪 | 籃子 | 置物 | 空間 | 假日 | 吹風機 | 臺 | 差用 | 獨立 | 垃圾箱 | 分類 | 大本營 | 平整 | 廁所 | 水流 | 擁塞 | 很慢 | 水不強 | 感覺 | 整理 | 感覺 | 住 | 三天 | 兩夜 | 營主 | 入營 | 入口 | 處不夠,0,1,1
對露友 | 打招呼 | 感覺 | 不錯,0,1,1
10 | 點熄燈 | 禁止 | 媒體 | 行為 | 公設 | 燈光 | 沿路 | 行走 | 危險性 | 不便 | 老闆娘 | 態度 | 強硬 | 商量 | 空間 | 第二次 | 遊玩 | 放 | 鬆 | 早睡 | 禁止 | 活動 | 在家 | 出門 | 停車 | BC | 區 | 落差 | 過大 | 適合 | 房車 | 會卡車 | 底 | 環境 | 還不錯 | 缺點 | 10 | 點前 | 睡 | 老人 | 給予 | 星 | 評價 | 掃興 | 露營,0,1,1
露友 | 所述 | 連假 | 超收 | 車道 | 超收 | 搭帳 | 糟糕 | 馬 | 桶 | 淋浴 | 間 | 浴 | 廁明顯 | 超收 | 帳 | 人數 | 優點 | 👉 | 遊樂 | 設施 | 滿多 | 飲食 | 叫外 | 送,-1,1,0
營區 | 小巧 | 舒適 | 廁所 | 乾淨 | 熱水 | 充足 | 小孩 | 最愛的 | 充氣 | 溜滑梯 | 搗 | 麻 | 糬 | 下午 | 時光 | 充實 | 旁邊 | 雜貨店 | 補給 | 亦可 | 訂 | 早餐 | 營主 | 熱情 | 親切 | 棒 | 營區 | 再訪,1,1,2
道路 | 顛簸 | 水泥 | 路面 | 臨時 | 用水 | 電 | 紮 | 營 | 地面 | 草地 | 泥濘 | 茅廁 | 間 | 蛾 | 浴室 | 間 | 間 | 壞 | 水泥 | 牆面 | 不透風,-1,1,0
營主 | 幫忙 | 協調 | 營地 | E4 | 換到 | B1,1,1,2
洗手 | 間 | 潮溼 | 小帶 | 活動 | 改善 | 衛生紙,0,1,1
夜景 | 美 | 環境 | 優質 | 營主 | 人好 | 重點 | 廁所 | 冰箱 | 足夠 | 分區 | 不用 | 位子,1,1,2
遇過 | 硬 | 碎石 | 超級 | 難下 | 釘 | 遇 | 超強 | 東北 | 季風 | 帷幕 | 吹斷 | 一半 | 露友 | 連夜 | 拔營 | 撤帳 | 慘痛 | 經驗,0,1,1
整體 | 還不錯 | 漂亮 | 草坪 | 隔壁 | 水果 | 腐爛 | 味道 | 會飄來 | 營區 | 晚上 | 成群 | 野狗 | 翻 | 垃圾 | 這能 | 改善 | 棒,1,1,2
風景 | 讚 | 可惜 | 碰到 | 下雨天 | 草地 | 過於泥濘 | 留意 | 話 | 滑倒 | 危險 | 草地 | 修剪 | 過長 | 斜坡 | 處盡量 | 草地 | 防滑 | 小石 | 頭,1,1,2
夫妻 | 管理 | 露營區 | 晚上 | 美麗 | 螢火蟲 | 志繼 | 部落 | 裡的 | 營區 | 唷,1,1,2
建議 | 先問 | 開放 | 漂 | 漂河 | top | 區整潔 | 沒人 | 涵養然 | 1000 | 貴 | 下雨 | 排水 | 差 | 地鄰 | 借護草 | 墊,0,1,1
營主 | 適合安靜 | 朋友 | 辦,-1,1,0
字爛 | 收停 | 車費 | 還叫 | 停路邊 | 還走 | 二十分 | 目地 | 營區 | 很大 | 控管 | 人數 | 很難 | 玩 | 花錢 | 受氣 | 一小 | 時 | 走,-1,1,0
草皮 | 超軟 | 護草 | 墊給 | 好多 | 每帳 | 位置 | 很大 | 每區 | 廁所外 | 還有溫 | 水洗 | 碗 | 老闆 | 用心 | 細節 | 找 | 親切 | 老闆,1,1,2
推 | 營地 | 乾淨 | 營主 | 阿姨 | 超親切 | 環境 | 上山 | 路 | 開 | 下次 | 還會,1,1,2
休閒 | 全家 | 樂 | 地方,0,1,1
營主 | 勤勞愛乾 | 凈 | 浴室 | 廁所 | 看得出 | 風景秀麗 | 值得 | 一遊 | 地方,1,1,2
很舒適 | 營地 | 瀑布 | 參觀 | 令人 | 放 | 鬆,1,1,2
規則 | 適合 | 太多約束 | 營業 | 人員 | 選擇,-1,1,0
位 | 惠蓀 | 林場 | 路上 | 露營 | 放 | 鬆 | 地方,0,1,1
C | 區廁 | 真的 | 有夠 | 可怕 | 環境 | 不佳 | 露營區域 | 還不錯 | 車子 | 路程 | 轉角 | 隻 | 狗狗 | 綁 | 籠子 | 還下 | 大雨 | 晚上 | 哀嚎 | 可憐 | 山上 | 沒網 | 路,-1,1,0
回家 | 感覺 | 營區 | 營主 | 夫婦 | 開朗 | 像是 | 家人 | 親切 | 環境 | 乾淨 | 衛浴 | 設備 | 冰箱 | 貼心 | 服務 | 讚,1,1,2
週末 | 該區 | 露營 | 硬體 | 設施 | 景觀 | 惟帳 | 棚區 | 草地 | 常見 | 狗 | 大便 | 入住 | 第一天 | 名 | 同伴 | 帳篷 | 旁 | 草地 | 踩 | 大便 | 當晚 | 晚餐 | 進食 | 很舒適 | 隔天 | 早晨 | 同伴 | 撞見 | 遛狗 | 小妹妹 | 告知 | 清好 | 狗 | 只好 | 通知 | 營主 | 收帳 | 時 | 小妹妹 | 幾條 | 狗 | 帳篷 | 隻 | 黑狗 | 跑 | 帳篷 | 旁 | 草地 | 大便 | 大三 | 坨 | 小妹妹 | 舊視 | 無睹 | 走 | 說 | 露營 | 自然 | 共存 | 狗狗 | 大便 | 厚非 | 營主 | 至少 | 旅客 | 住宿 | 環境 | 清潔,-1,1,0
營主 | 管理 | 一點點 | 夜間 | 點多還 | 點 | 別帳 | 說 | 太 | 吵 | 營主 | 說 | 小聲 | 一點 | 還沒 | 晚上 | 10 | 點 | 不去 | 氣死,0,1,1
很晚 | 訂位 | 分配 | 營位 | 邊緣 | 早上 | 起床 | 走 | 幾步 | 路 | 美景 | 心靈 | 草地 | 營位 | 分線 | 不用 | 擔心 | 隔壁 | 帳 | 越界 | 衛浴 | 廁 | 固定 | 清潔 | 碰上 | 滿帳 | 話 | 露營 | 品質 | 太好 | 心理 | 記得 | 耳塞,1,1,2
空氣 | 但霧 | 大不建議 | 夜衝 | 營主 | 客氣 | 但營 | 多且 | 水壓 | 水溫 | 不穩 | 洗 | 一半 | 變洗 | 冷水 | 營主 | 夫人 | 當天 | 心情 | 不好 | 臉 | 週日 | 收帳 | 無帳 | 時間 | 還沒到 | 告知 | 超過 | 時間 | 罰 | 錢 | 謝謝 | 回覆 | 未 | 提及 | 停車 | 操地 | 生火 | 再來 | 回答 | 改進 | 浴室 | 第一 | 間 | 浴室 | 評論 | 網友 | 類似 | 規則 | 希望 | 改 | 有個 | 緩衝 | 時間 | 兩點 | 離場 | 三點 | 超過 | 罰 | 錢 | 但罰 | 錢給 | 露客 | 觀感 | 不好 | 罰 | 錢合 | 合法 | 記得 | 執法 | 機關 | 處罰 | 小小 | 建議 | 希望 | 貴營區 | 改進 | 謝謝,-1,1,0
年底 | 30 | 號到 | 這批 | 露營 | 客素質 | 不好 | 晚上 | 11 | 點了 | 山下 | 還聽 | 歌喉 | 營主,-1,1,0
浴 | 廁有 | 點少 | 上坡 | 碎石路,0,1,1
熱水 | 忽冷 | 忽熱 | 熱水 | 10 | 秒 | 冷水 | 一分 | 鐘 | 太 | 痛苦 | 淋浴 | 間 | 黏 | 過的 | 衛生 | 棉 | 收拾,-1,1,0
職位 | 有利於 | 距離 | 三星 | 鄉 | 味 | 珍香 | 全家 | 開車 | 10 | 15 | 分鐘 | 走近 | 景點 | 像是 | 松蘿 | 寮 | 溪步 | 道 | 秋冬 | 颳 | 風 | 夜分 | 睡會 | 不安 | 穩,0,1,1
營區 | 放鞭炮 | 恭維,-1,1,0
連假 | 營區 | 滿帳 | 營區 | 約 | 20 | 帳 | 共用 | 五間 | 衛浴 | 水 | 水溫 | 不穩 | 隔 | 天上 | 廁所時 | 沒水 | 只能 | 水桶 | 舀水 | 來衝 | 沒有護 | 草 | 墊 | 赤腳 | 踩入 | 帳篷 | 走 | 健康 | 步 | 道 | 環境 | 不錯 | 裝置 | 建議 | 改善 | 滿帳 | 前往 | 營區 | 路 | 無法會車 | 車子 | 寬度 | 道路 | 轉進 | 營區 | 小心,0,1,1
小營區 | 晚上 | 沒水 | 可用 | 須在 | 裝置,-1,1,0
漂亮 | 乾淨 | 露營 | 不錯 | 小商店 | 以防 | 忘 | 記帶 | 啤酒 | 或水 | 露營 | 環境 | 自然 | 露營 | 處 | 碎石 | 水泥 | 下雨 | 周末 | 露營 | 太好了 | 想 | 融入 | 大自然 | 尋找 | 確實 | 美麗 | 河濱 | 景點 | 下水 | 游泳 | 非常容易 | 達 | 山上 | 不高 | 適合 | 冬季 | 露營 | 夏天 | 很熱,0,1,1
環境 | 空間 | 不錯 | 洗手台 | 水龍頭 | 聽 | 話 | 旁邊 | 馬 | 路 | 吵,1,1,2
景色 | 很漂亮 | 衛浴 | 少有 | 點 | 可惜,1,1,2
吻合 | 老中青 | 半日 | 遊 | 交通不便,0,1,1
櫻花 | 開滿 | 話 | 營區 | 美 | 帳前 | 樹 | 遮 | 擋 | 山景 | 一點 | 可惜 | 廁所堪用 | 水溫 | 不太穩 | 幸運 | 好露友 | 子玩 | 愉快 | 期 | 困擾,0,1,1
發不優 | 護草 | 墊 | 片 | 臥室 | 舖 | 廁所及 | 浴室 | 髒 | 亂 | 異 | 味 | 門 | 寬 | 裕 | 難 | 開 | 關 | 露友 | 發酒 | 瘋無法 | 竟要 | 露友 | 容忍 | 感 | 差 | 鄰近 | 道路 | 車噪,0,1,1
原始 | 簡單 | 營區 | 近溪邊 | 玩水 | 衛浴 | 清潔 | 明亮 | 一點,0,1,1
螞蟻袞 | 袞 | 蚊蟲 | 吃個 | 東西 | 飛來 | 飛去 | 有夠 | 噁 | 心 | 老闆 | 瞎,-1,1,0
地圖 | 示示 | 錯 | 開產業 | 道路,-1,1,0
硬體 | 裝置 | 衛浴 | 廁所間 | 冰箱 | 營主 | 乾淨 | 寬闊 | 緊迫 | 營位 | 營位 | 地頃 | 斜 | 位置 | 畸零 | 特別 | 巨型 | 帳篷 | 營位 | 洗手 | 檯 | 燈座 | 位置 | 遙遠 | 建議 | 攜帶 | 30 | 50 | 米 | 延長 | 線才夠 | 用訂 | D | 區 | 夜衝 | 裝備 | 住戶 | 回來 | 第一手 | 長 | 按號 | 挑釁 | 營主 | 說 | 喝酒 | 酒醉 | 營主 | 沒說 | 住戶 | 太 | 友善 | 進出 | 那條 | 道路 | 開車 | 超快 | 層營位 | 小孩 | 沒著實 | 危險 | 只能 | 說 | 住 | 戶拉低 | 營區 | 評頭 | 論足 | 可嘆,-1,1,0
帳 | 老闆 | 特別給 | E | 區 | 包 | E | 區 | 場地 | 寬 | 一區 | 衛浴 | 設備 | 停車 | 小屁孩 | 有空 | 間 | 玩 | 下午 | 老闆 | 熱情 | 三組 | 飲料給 | 一大 | 盆 | 燒蕃 | 麥給 | 吃 | 真的 | 有夠 | 甜 | 唯一 | 缺點 | 冰箱 | 太遠 | 不用 | 擔心 | 老闆 | 添購 | 新 | 冰箱 | 喔 | 晚上 | 星星 | 很漂亮 | 🤩 | 🤩 | 東西 | 沒收 | 整包 | 肉 | 鬆 | 小猫 | 咬 | 走 | 🤣 | 🤣,1,1,2
廁所 | 髒 | 沒衛 | 生紙 | 露營 | 時 | 沒人來 | 掃 | 比公廁 | 狀況還 | 糟糕 | 草地 | 沒護草 | 墊 | 下雨 | 過後的 | 草地 | 泥濘 | 洗手台 | 插座 | 下次 | 🤮 | 🤮,-1,1,0
營地 | 美 | 草皮 | 對面 | 山巒 | 搭配 | 雲海 | 超美 | 每層 | 獨立 | 廁所 | 沙坑 | 和噴 | 水池 | 小孩 | 玩 | 包區 | 不錯 | 選擇,1,1,2
小黑 | 蚊 | 海拔 | 夠高 | 進營區 | 前 | 1KM | 水泥路 | 有高有低 | 低底 | 盤 | 車要 | 下山 | 水泥路 | 不好 | 低底 | 盤 | 車要 | 廁所 | 增加 | 間 | 佳,1,1,2
場地 | 不錯 | 可惜 | 場地 | 設計 | 太近 | 聲音會 | 潛移 | 默化 | 下層 | 敏感 | 陸友 | 上午 | 11 | 00 | 真的 | 不好意思 | 😅,0,1,1
途程 | 異常 | 顛簸 | 水門 | 汀 | 路面 | 臨時 | 用水 | 電 | 紮 | 營 | 地面 | 草地 | 泥濘 | 廁所 | 間 | 蛾 | 浴室 | 間 | 間 | 壞 | 水泥 | 牆面 | 不透風,-1,1,0
不錯 | 蚊子 | 多了點 | 還不錯,1,1,2
路算 | 走 | 服務 | 不錯 | 遊樂 | 設施 | 盪 | 鞦 | 韆 | 水池 | 夏天 | 開放 | 沒什麼 | 設施 | 唯一 | 一點 | 不好 | 螞蟻 | 好多,1,1,2
聽 | 說 | 新 | 營主 | 經訂 | C | 區躍躍一試 | 水溫 | 開啟 | 車門 | 聞 | 一股 | 腐爛 | 泥土 | 味道 | 想 | 完 | 06 | 25 | 26 | 約 | 100 | 毫米 | 的區 | 域性 | 豪 | 大雨 | C | 區 | 地上 | 瀝水 | 退 | 變爛 | 泥巴 | 坑腳 | 踩 | 到爛 | 泥巴 | 拖鞋 | 徑直 | 黏住 | 小朋友 | 滑倒 | 營主 | 老闆娘 | 全區 | 護草 | 墊 | 搬 | 第一次 | 露營 | 小包 | 區墊 | 26 | 片護草 | 墊 | 完雨後跑 | B | D | 區看 | 積水 | C | 區水 | 會積 | 公分 | 高 | 營主 | 答應 | 刮垢磨光 | 真 | 改善 | 補 | 顆星,-1,1,0
硬體 | 裝置 | 衛浴 | 廁所 | 冰箱 | 營主 | 翻然 | 闊大 | 緊迫 | 營位 | 營位 | 地頃 | 斜 | 位置 | 畸零 | 特別 | 大型 | 蒙古包 | 心 | 營位 | 洗手 | 檯 | 插座 | 位置 | 稍 | 年代 | 久遠 | 建言 | 獻計 | 攜帶 | 30 | 50 | 米 | 延長 | 線才夠 | 用訂 | D | 區 | 夜衝 | 裝備 | 住戶 | 回來 | 第一手 | 長 | 喇叭 | 挑釁 | 營主 | 說 | 喝酒 | 酒醉 | 營主 | 沒說 | 中 | 住 | 戶 | 太 | 友善 | 進出 | 那條 | 道路 | 開車 | 超快 | 層營位 | 小孩 | 真的 | 兇險 | 只能 | 說 | 住 | 戶拉低 | 營區 | 評價 | 可惜,-1,1,0
無敵 | 夜景 | 經營 | 夫妻 | 和善 | 唯一 | 缺點 | 出入 | 小路 | 會車 | 困難,1,1,2
因為 | 素日 | 未開放 | 場地 | 整理 | 面 | 大甲溪 | 床 | 營地 | 層系 | 花果 | 臨立,0,1,1
洗滌區 | 能加 | 遮陽傘 | 更好,1,1,2
營主 | 很熱心 | 健談 | 天兩夜 | 假期 | 美中不足 | 小包 | 區的 | 營客 | 因當 | 晚未 | 顧及 | 大聲 | 喧嘩 | 嘻笑 | 半夜 | 點有點 | 掃興 | 營位 | 洗 | 水槽 | 應加 | 設路 | 燈 | 照明 | 洗滌 | 東西 | 摸黑 | 看不清楚,1,1,2
區訂 | 帳 | 優缺點 | 優點 | 離市 | 區近 | 11 | 分鐘 | 家樂福 | 全聯 | 太遠 | 麥當勞 | 整體 | 說 | 不想 | 煮 | 吃 | 一點 | 一滴 | 擔心 | 營區 | 旁 | 征途 | 車 | 流量 | 少 | 整體 | 營區算 | 很安靜 | 天氣 | 抬頭 | 仰望 | 整片 | 星空 | 冷藏 | 冰箱 | 很大 | 資冷凍 | 冰櫃 | 提供 | 飲水機 | 冰溫 | 熱水 | 皆 | 老闆 | 態度 | 好贊 | 疵 | 區綜計 | 10 | 帳 | 區只 | 設立 | 間衛浴 | 一間 | 廁所 | 實在 | 太少 | 營區 | 水槽 | 沒水 | 水塔 | 已經空 | 水槽 | 圓鐵桶 | 改裝 | 邊緣 | 毋燈 | 上空 | 擺放洗 | 東西 | 洗東西 | 派出 | 草地 | 不太 | 平整 | 可惜 | 營區 | 提供 | 插座 | 老舊 | 徑直 | 外露 | 下雨 | 發生 | 危險 | 四周 | 擺滿 | 老舊 | 設施 | 整體 | 話 | 粗心 | 管理 | 備感 | 區 | 澡塘 | 太小 | 洗浴 | 進展 | 浴巾 | 擦背 | 撞 | 隔間 | 板,-1,1,0
浴室 | 設施 | 希望 | 改善 | 蟲蟲 | 阿囡 | 不太,0,1,1
當天 | 包場 | 環境,1,1,2
第一次 | 路 | 還蠻 | 蜿蜒 | 轉彎要 | 小心 | 路面 | 還蠻 | 平順 | 要開 | 一段 | 時間 | 達 | 這次還 | 雪霧 | 隧道 | 交通管制 | 30 | 分鐘 | 放行 | 營地 | 因為 | 1500 | 公尺 | 山上 | 覺得熱 | 天氣 | 涼涼 | 喔 | 營地 | 電要 | 插 | 電動車 | 充電 | 插座 | 記得 | 鈕才 | 開啟 | 電源 | 喔 | 營地 | 冰箱 | 飲水機 | 半夜 | 不用 | 沒熱水 | 洗澡 | 洗 | 附 | 沐浴露 | 洗 | 髮 | 精 | 吹風機 | 記得 | 車開 | 石頭 | 轉到 | 營位 | 喔 | 營區 | 人員會 | 提醒 | 喔 | PS | 營區 | 人員 | 會測 | 試電 | 莫名 | 斷 | 兩次電 | 重開 | 喔 | 整體 | 說 | 營區 | 不錯 | 睡午 | 覺好 | 地方 | 喔 | PS | 喜歡 | 評論 | 追 | 蹤 | 喔 | 將現場 | 食物 | 樣子 | 及色 | 調拍 | 攝下 | 呈 | 現給 | 會到 | 全台 | 發掘 | 美食 | 特色 | 地點 | 喔 | 祝 | 心想事成 | 喔 | 🥳,1,1,2
豬屎 | 味 | 超市 | 鄉村 | fu | 好吃,0,1,1
老闆 | 方可 | 緊迫 | 盯人 | 發 | 不好,0,1,1
草 | 很長 | 沒規整 | 蚱蜢 | 蠅 | 蚊子 | 蟑螂 | 螞蟻 | 大雨 | 螞蟻 | 窩 | 搬 | 上車 | 成千 | 萬 | 螞蟻 | 殺 | 完 | 可怕 | 水柱 | 衝不掉 | 還得 | 修車 | 廠 | 請 | 合作社 | 救助 | 頂起 | 清 | 很糟 | 經歷,-1,1,0
營區 | 環境 | 需 | 小黑 | 蚊 | 蒼蠅 | 小黑 | 蚊太多 | 區別,-1,1,0
太 | 簡陋 | 加設施,-1,1,0
有溪 | 好玩 | 水 | 廁所好 | 烤肉 | 場子 | 收費 | 太貴,0,1,1
風景 | 無敵 | 老闆 | 好客 | 一小 | 段路況 | 差 | 傍晚 | 蚊子 | 兇狠 | 10 | 點後並 | 音量 | 管制 | 運氣 | 好營友,1,1,2
水壓 | 不穩 | 雨棚 | 區旁 | 第一 | 間衛浴 | 熱水會 | 忽冷 | 忽熱 | 溫度 | 調整 | 小孩 | 洗澡 | 廁所 | 兩區 | 滿帳 | 衛浴 | 並非露 | 營樂上 | 擺 | 五星 | 級衛浴 | 馬 | 桶 | 淋浴 | ㄧ | 風起 | 雲湧 | 舒服 | 優點 | 寒溪 | 吊橋 | 走 | 距羅東 | 市區 | 約 | 20 | 25 | 分鐘,0,1,1
螞蟻 | 超多 | 洗手 | 檯 | 水管 | 堵住 | 草皮 | 開車 | 東西要 | 搬 | 遠 | 園內 | 空間 | 帷幄 | 搭上 | 沒路 | 走,0,1,1
老闆 | 事情 | 能力 | 有加 | 強,-1,1,0
