content,rating,status,type,label,sequence_num,publishedDate
可惜了，與下方鄰近的土牧驛相比，少了經營上的用心。我們露的那層，浴室熱水不是很穩定，玩水道也滿是青苔，重點還有不少的小蟑螂（我在其他山區的營地非常少見，應該說幾乎沒有），洗水槽也是要求營主才來清潔。再次說，真的可惜了這個好地方，尤其在比較過後，而且路經營本部還聽到營主自豪的跟訪客說本週滿帳，希望加油努力維持一個好品質。,2,-1,1,0,3812,2020/05/07
營區乾淨舒適。營主很親切，衛浴很乾淨又大，景色美,5,1,1,2,2758,2019/03/02
跨年期間前往此營區營主本人蠻親切的環境也很舒服 充滿樹木香味但比起其他高評分的營地這裡分區規劃的不太好每一區都非常靠近沒有適當距離隔開不同組人馬連廁所前面都有人搭帳跨年期間出來露營狂歡的年輕人半夜三點爆氣罵人響徹雲霄的失態長輩都讓人感到相當無奈營區似乎沒有從中協調的溝通能力或是給予有力的協助這會讓人卻步是否還要造訪該營區爬文了其他留言回覆營區僅提到未來遇到此情況會趕走”頑劣份子”但或許有更好的方法譬如按人數多寡與族群來分配區域減低雙方的摩擦機會讓不同訴求的族群可以平衡相處稍早看到其他在同時間造訪營友一些心得建議覺得都蠻有道理的包含營位規劃、缺水情況、冰箱空間不足、棧板建議等但營區的回覆比較像是在反駁營友不願意聆聽營友真實的感受評論甚至疑似被移除如果真的是營區在操弄1星評論這點覺得很不適當大家都是花時間來分享心得希望有好營地跟大家分享並且給予建議這麼好的營區希望營主可以多聆聽營友的聲音並且改進不足,2,-1,1,0,981,2022/05/07
環境還不錯 廁所浴室 很乾淨 熱水 夠熱， 那邊有一條小溪 很適合親子玩樂 你想釣魚也可以 釣魚喔,4,1,1,2,415,2020/05/08
風景不錯，四面環山，溪流原始，有童玩的設施都有整理，很安靜〈人聲不吵，處處聽得到蟲蛙之鳴叫聲音),5,1,1,2,6220,2020/04/06
優點：1. 營主很nice，又很貼心提醒該注意的事項2. 厠所乾淨3. 熱水夠熱水又強，但是要注意水溫就是了缺點：1. 花蓮特產小黑蚊太熱情了2. 其實扣掉車位，營位真的不大，看其他帳篷有大有小，不知道營主的帳位分配標準嚴格來說，營區維持的很捧，雖然小黑蚊真的很多，扣除這點+營主很熱情，真的算是不錯的營區。,4,1,1,2,3956,2022/05/08
超讚的營區⋯第一次露營平日上去包場，營主人很好也很用心在維護場地戶外浴室廁所超級乾淨！！！（這是最驚豔的，沒有味道、不會髒而且還有很多貓咪夜景很讚營主人很好還給我們一些青菜唯一的缺點是上來的最後一段路有點難開低底盤車要小心,5,1,1,2,1373,2023/11/09
中秋連假住在上層區1。草地養的非常漂亮，沒有太多蚊蟲，小朋友跑跳比較安全2。廁所很大間很乾淨，還有乾濕分離3。有遊樂設施還有小水池可以給小朋友玩4。提供電動推車搬運，超級省力！超級推薦少帳包區！有一些些需要留意的：1。木棧板間隙過小，魚骨釘不好設置，風大時需要在草地打釘固定2。上層區空間蠻大的，可是只有看到一個配電盤，可能要留意動力線的長度是否足夠3。廁所數量有一點點少,5,1,1,2,4383,2023/10/07
都晚上10點半了有人放煙火營主也不出門處理，任由放煙火的人一直吵鬧，影響他人還辱罵他人怕吵就去住飯店不要出來露營？實在非常誇張！都已經露營兩年多了，基本露營區也是過十點需要降低音量，營主只收錢不管事的嗎？,1,-1,1,0,1986,2023/05/07
夕陽真美麗。營主人很好，雖然營地小，但是算乾淨。,4,1,1,2,5747,2020/08/10
24*馬胎227*24這次兩帳包區A2這區搭完帳+停好車所剩的活動空間不大A2地上是碎石但角落地上都是青苔夏天來說蠻涼的但很潮濕這區有營主的工具屋，感覺空氣中彌漫著柴油味A2旁邊就是小溪真的是小溪，水只到大人的小腿位子不過泡泡腳的確涼爽但無法久待很不幸的碰到體力旺盛的年輕人從早吵到晚還好跟營主反應有立即處理建議自行帶飲用水營主有提供過濾後的山泉水但還是需自行煮沸飲用,4,1,1,2,3050,2023/05/09
值得推薦！。很舒適的營區，環境各方面都不錯，下次會再光顧^^,5,1,1,2,2744,2023/05/02
令人舒服且自在的營區，風景優美烤肉也很有趣，小朋友玩得很開心，看之前的評論洗澡水是柴燒的，但現在已經有熱水器了，雖然路途彎道多但至少不是WRC路面，附近還有臭豆腐可以嚐鮮,5,1,1,2,1005,2021/05/07
比好還要更好的營地～超推草皮乾淨又茂密，讓小孩跟大人放心翻滾不怕撞。場地規劃很棒有隱私，不擋住視野也不怕跟營友愛的親親！重點來了，在冷冷的夜晚 ，如果加上穩定的水溫洗滌ㄧ天疲憊，是多麽開心舒爽的事！而且個人衛浴大到擠個三人ㄧ起洗都可以，置物的位置多又不會離連篷頭太近，不怕物品濕答答～是個非常棒的親子營地,5,1,1,2,3701,2020/05/07
一個很舒服的露營區 非常值得在回露 已加入最愛之一,5,1,1,2,2419,2023/10/08
很原始簡單的營區，近溪邊玩水方便衛浴可以再清潔明亮一點,3,0,1,1,3826,2018/05/08
營主人超好！場地也很讚！請他喝個兩杯，就幫大家加菜了~,5,1,1,2,527,2023/05/07
有魚池，不過靠魚池的雨棚位置比較小.,3,0,1,1,820,2021/05/06
沒有想像中的漂亮～與照片落差太大。洗手台數量不足、插座距離太長、草地遇雨泥濘排水系統太差,2,-1,1,0,5252,2016/12/01
這次是兒子第一次露營，我選擇離市區較近的地方，讓他嘗試自己動手搭帳篷，其餘就是我神助攻囉  。。這裡環境真的不錯又安全，設施非常乾淨，老闆很親切招待，非常適合家庭聚會……美中不足就是無法看見日出（這就不能怪店家囉～），但聽著海聲也非常療癒能釋放些許壓力,5,1,1,2,1070,2021/03/30
景色優美，環境舒服。第一次露營，很幸運選到景觀區，隔天放晴看著景色好放鬆，小營地環境佳，讓我們首露就有成就感^^,5,1,1,2,1899,2021/12/02
小黑蚊超級無敵多！去的人真的要注意防蚊，兩隻腳被咬了40個包以上 …,3,0,1,1,6240,2024/03/09
我們去交外禮拜到教會的陳長老家做禮拜吃豬肉吃中午飯延長到下午3點才回台北玩的很愉快下次有空閒的機會會在安排去新竹的露營區玩個痛快。,5,1,1,2,5869,2023/05/07
浴室熱水很強，草皮完整。曬帳時營主會請你掛在繩子上，不可覆蓋草地、樹欉等。營地緊鄰馬路邊，不過不是主要道路，往來車輛數還好。沙坑看似很久沒整理，都是硬的。營地由小區塊組成，如果不是朋友包區，建議訂位時，營地每區2/3滿爲上限，再多就不太建議去了，會帳帳相連到天邊,3,0,1,1,1808,2022/05/06
離市區很近的低海拔營地，營地維護的很棒，營主非常nice!!,5,1,1,2,269,2022/05/08
營位規劃擁擠 沒景 活動空間不足,2,-1,1,0,937,2018/05/08
收費合理，有多項小朋友可以玩的項目，不過園區空間有點小,5,1,1,2,7196,2019/05/07
剛下山就想念那𥚃的景色和低溫老闆夫婦超級「好」這裡超級建議平日去～～^_^ …,5,1,1,2,5050,2018/05/08
營主好客，而且有求必應，環境整潔值得推薦，是非常方便到達的露營區！,5,1,1,2,7099,2023/05/07
各類型螞蟻很多，昆蟲生態豐富，10月的天氣，涼爽宜人，來到這裡，最好有完備的防“蚊”計畫。,5,1,1,2,3122,2023/05/06
很nice跟熱情的營主，請了我們吃一點砂糖橘非常謝謝，其他帳的白目吵到凌晨營主也有去不斷提醒（營主自己住附近所以也怕睡不著）其實空間也不算太小、梯田式的大家都擁有間隔不至於擁擠，第五區需跟其他區共用衛浴有點可惜。果園的關係蜜蜂挺多的要小心。山路抖+無法會車，需注意上下山時間，同時也只有最底下路口有一個標示，一直往大條路走就對了。,5,1,1,2,6645,2022/05/09
環境優美，營主熱心親切也超有責任感，是個值得推薦的好營區,5,1,1,2,4301,2019/03/02
小而巧的露營區。雖然小小的，但是五臟俱全。如果有提供飲水機就更好。：),3,0,1,1,5855,2021/11/07
景觀好，一區跟一區之間有適當的高度區隔，所以營位不會太擠，很舒服的一個營區~,4,1,1,2,3326,2019/03/04
營主說～魚池的魚隨便你釣，隨便吃，A撒打了又打，2個多小時沒動靜，問鄰居，要釣什麼餌，魚兒才會吃？鄰居說～沒有魚、哪會吃？？？讓人傻眼，似乎要誠實一些，生意才會永續經營晚上食物要收好，有貓、有猴子⋯⋯蚊蟲很多，請做好防蚊措施。需要爬山的露友，來回約1H洗手間有3間，有些距離，下雨會不方便，衛浴有2間，人多的話，必須等～待。有小朋友的家庭，需要自備節目，才不會無聊哦！,1,-1,1,0,4842,2020/05/07
一到營地準備冰食材的時候，營主表示冰箱剛開但我們已經冰了快一小時溫度還是27度是怎樣？？？比我家的冷氣還熱？？？連冰塊都直接融化晚上洗澡的時候，朋友們才剛進到浴室就反應沒熱水後來修好之後我們進去洗，只有一開始的前兩分鐘水是熱的後面全程都是冷水，就這樣很克難的花了半小時忍耐冰冷的水洗完澡營地很美，但設備真的有待加強,1,-1,1,0,5645,2023/05/09
理境清優，附近也有很多主題景點可以散步，老闆帥又親切，餐點便宜又好吃，下次會再來的,5,1,1,2,6255,2023/11/08
老闆超客氣的，營地、衛浴乾淨，過年也不超收。,5,1,1,2,5131,2021/05/08
熱水忽冷忽熱  一下超冷一下超熱 很難洗。除了廁所 其餘都不錯,4,1,1,2,69,2021/03/30
營地腹地大行車動線有待加強，D區有些地方高低落差很大，而且搭帳區根本不平光是走路就明顯感受到地不平、地斜，然後D區有暴走居民，夜衝當天還在下裝備被莫名其妙的瘋狂按喇叭，第二晚的時候收費也蠻有問題的，訂6帳一帳人數4人總人數也就是24人，結果說我們有兩帳人數超過要多收費？我們怎麼睡也需要被規定？雖然後面有達成共識，但感覺就很不好。本來是慕名而來，但實際露營過蠻有落差感，衛浴設備不錯環境夠大而且乾淨，凌晨還有看到有人再清掃！這點真的值得推薦。,1,-1,1,0,5373,2023/05/07
有舒服的草地，廁所很乾淨有人定時打掃，甚至還有乾濕分離的衛浴設備。但是收帳數量多略嫌擁擠,3,0,1,1,5794,2019/05/07
小小的營區，前身是果園與豬圈改造的營區，裡面還有許多果樹存在，營主夫妻說：時間到了遇到水果熟成時都可以自己摘來享用，可見營主夫妻的待客之道，大方愛分享！營位也是有特別花心思的整理，再放帳篷處還特地用鋪設黑網，讓大家的帳篷都不必擔心弄髒！每一區都有自己的冰箱、衛浴設備（乾濕分離），當然也有共用區可使用！這個園區是剛成立不久，營主夫妻仍然很努力的在建設營區內的環境建設及美化！希望大家能夠多多支持一下這麼用心的營主夫妻檔（阿公阿媽）營區鄰近內灣老街，白天還可以去逛逛走走，再回到營地休息！值得再次回露的一個營區喔！,5,1,1,2,7066,2021/05/07
超棒的露營區！首先夜景超級棒！看日出也是非常美！地不會太硬也不會太軟打營釘不會打到崩潰但是也不會一下就鬆掉營區位於通風的山頂夏天也不會悶熱營區設計得很適合小朋友奔跑邊坡都有不會太陡地板也非常平整營主夫婦非常熱情，而且以前也有玩露營非常能理解大家露營的需求這次紮營的楓葉區雖然離廁所比較遠但是比較安靜觀賞夜景也不會被打擾我們在9/20前往剛好是營主農曆生日祝營主生日快樂！！下次還有機會一定會再去拜訪的！另外……這裡的草皮真的真的很美很棒很舒服！所以拜託拜託來到這裡的露友們一定要好好愛護這裡的草皮！這裡有護草墊可以用，請盡量使用護草墊！,5,1,1,2,2457,2022/05/07
優點：1.離溪流超近，玩水抓蝦很方便。2.老板有養鱘龍魚，時價一斤300元，老饕別錯過。缺點：1.老板人太好，露友打麻將不制止，帶狗露友讓毛小孩亂跑，嚇到其他露友，也不制止。2.中秋連假正好眠時，有露友早上七點已來營區報到開趴，連假不是中午12點交接營位？3.浴廁清潔度待加強！,3,0,1,1,4197,2021/05/09
親子露營戲水的好去處，,3,0,1,1,34,2019/05/09
水廁乾淨都有衛生紙熱水穩定，還有洗髮精沐浴精，很喜歡這個營區 …,5,1,1,2,2969,2022/05/07
垃圾集中不方便滿帳28帳 浴廁卻很少4/30來 蚊蟲超多 超崩潰冰箱没分區域 大家都亂放應該不會再來了,1,-1,1,0,2537,2022/05/08
"整個露營區有青山藍天環抱~大自然的幸福,老闆也非常親切唷！ …",5,1,1,2,4531,2021/05/06
營主熱情。不錯的營地，營主很客氣,3,0,1,1,4614,2016/12/30
很棒的“露營”體驗。我們住在一個豪華小屋裡，它更像是飯店房間而不是露營。然而，走出去，大自然就在等著您，包括所有常見的露營設施。我們中的一些人選擇使用供電帳篷營地搭建帳篷。一個維護良好、乾淨、美麗的露營地。適合鐵桿露營者或只想嘗試的人。,5,1,1,2,7176,2024/01/07
疑似違法在園區放捕獸夾！！有帶寵物前往的要小心,1,-1,1,0,1311,2024/02/06
營位非常小，規劃的車位也不夠還要走大斜坡去停車，連上下裝備都要停在斜坡上搬運，只要有人停下來搬運其他人車子就不用過了，最近在整地所以車道泥土多，下雨的話還可能打滑。洗手間跟馬桶在一間，置物架直接在馬桶上面也沒有掛勾，掉下去就悲劇大家自求多福，男廁小便斗女廁冰箱都在一起，對女生很不方便。每區高低差距很遠，比較下面的小區都沒有垃圾桶，營主要求自己提到上面區的垃圾桶，可是階梯很陡且沒有扶手，對老人小孩都很不方便也很危險。,2,-1,1,0,1348,2024/04/08
老闆很熱情，招待零食加泡金宣茶還給我們木瓜及香蕉，雖然營地有些地方美中不足，但是廁所很乾淨，熱水也足夠，老闆說可以自行採咖啡，風景真得超優。,4,1,1,2,3576,2019/05/07
設備不錯..跟不露營的親友一起包場..超歡樂地~,5,1,1,2,3858,2021/12/07
草地區維護的很好 樹也很美 但是蚊子超爆多 全時段的白線斑紋跟小黑蚊軍隊 帶著嫩嬰被叮爆 跟營主反應也無法提供有效措施 只能繼續被叮爆隔天他們也無奈的說 有噴藥了但沒用 營主人很客氣 工作人員也巡的很勤 但基於蚊子這點 真的無法給星星 也許要挑個冷天去會稍微適合雨棚區還ok 又大地勢也比較高 所以較無蚊子問題離滑草場近 孩子的跑跳放電極適合但沒有真的在滑草 因為坡度不夠大 用自備的簡易滑草設備不夠滑,2,-1,1,0,701,2023/05/06
營主很熱心的簡介附近的步道景點。聽營主介紹附近會有螢火蟲出現~不過時間點剛好不是出沒期間~期待螢火蟲期到時再造訪,5,1,1,2,1296,2021/01/05
很好乾淨。環境、廁所和浴室很乾淨，設施好。,5,1,1,2,946,2020/12/21
很棒的營區，浴廁同間但有分配使用營位，比較乾淨衛生，營區能看日出，雲海，有步道走走，還有一定要跟營主預約優遊巴斯行程，一整個超滿意，營主美枝姐親力親為又親切，還會再去！,5,1,1,2,498,2021/05/07
很棒的營區，老闆很親切，有泰雅族文化的體驗和環境解說，天氣好的時候還可以去溪邊玩水,5,1,1,2,68,2018/05/07
100分非常棒的營區，滑梯 攀岩 沙坑 水池 小溪 大草皮，是孩子放電的好地方交通方便 埔里交流道下5分鐘內抵達，10分鐘內進埔里市區再來營主應該是999分，健談 + 親切離開後switch 手把掉了主動告知聯繫寄回（運費自付），寄出還特地來電，收到也主動關心，只能給999分爆表的分數話說本來8月分就要過去，因為那幾天午後雷陣雨特別大，也不怕得罪客戶強力建議我不要過去，初衷都是為了你好！,5,1,1,2,5558,2022/05/06
營區很大，有瀑布區、沙坑、溜滑梯，生態豐富！廁所和衛浴很充足，但是人多的時候難免會有些砂石，這次去沒什麼蚊子，這次住D區，營位還蠻大的，很不錯！,4,1,1,2,566,2020/05/09
營主超棒的！常常遇到露營區的幾乎都消失的，看到我們營柱斷掉很熱心的幫忙 …,5,1,1,2,2196,2022/05/09
場地、用水、洗澡水都需要時間改善改進。,1,-1,1,0,6132,2021/05/06
營地很乾淨，幾乎沒有蒼蠅蚊子，營主很用心維護環境、廁所也很整潔喔！一早就能看到美麗的藍鵲、推薦 …,5,1,1,2,6873,2023/07/06
我知道我的貼文有可能會被刪但我還是要說一下，訂營地之前我都會上網看評價還有看部落客的文但是這營地最近都沒有人寫。但我還是訂了，位子是草地區，出發前有詢問過營主會不會積水，營主說他們的草地鋪設不會有積水問題，但是到了營地草地很鬆軟踩起來是爛爛的感覺，我知道下過雨很久就會有的那種爛爛的感覺，但是當下我們也搭了，到了第二天下了一整天的雨回到營地我搭的位子積水草地也爛爛的，當下決定隔天拔營離開，雖然我們還有一個晚上但是真的呆不下了。隔天營主還跟我們說露營下雨就是會有爛泥啊，我知道啊但是訂的時候營主你說你們的草地有鋪了幾層的工法是不會積水的。我已經露營很久了會不會積水的地方一看就知道。衛浴設備方面我先生說男生衛浴廁所也很髒，女廁方面是小間了點。,3,0,1,1,280,2022/05/08
超大營區，階梯式營區腹地也大，地面可以在平整一點，衛浴靠近營位一點,5,1,1,2,2267,2020/04/04
營主正又熱心，強力推薦露營的好所在，服務跟舒適度極高,5,1,1,2,705,2019/05/06
真的是超乾淨的營區，尤其浴廁真的很乾淨，而且營主太太連水龍頭、浴廁的牆面也都有消毒。D區雨棚區，視野佳手，浴廁就在旁邊，很方便，營主很貼心，還備有吹風機。,5,1,1,2,6558,2021/05/07
營區小而美，營主很親切，浴室好大很乾淨，一旁有溪水可玩水。,5,1,1,2,5987,2019/05/07
這個地方漂亮又乾淨，但是對於露營來說非常昂貴：700 TWD，而且沒有屋頂，以防下雨。對於這個價格，我們的期望要高得多。,3,0,1,1,1032,2019/05/06
"場地很不錯,浴室也算大,魚很好釣,很舒服的營地,我12月去的,如果夏天可能會挺熱",5,1,1,2,2025,2021/05/06
營主人很好～廁所乾淨 碎石地也很讚 風景也是一級棒,5,1,1,2,1256,2022/05/07
營主很親切，園區周遭可看出平時維護的用心，還有五星級的浴廁設施；是值得推薦的好營區,5,1,1,2,1123,2017/12/03
感謝營主夫婦兩天的熱情招待，感覺像回到家的露營，讚！。小黑蚊稍多,5,1,1,2,1871,2018/04/07
老闆非常用心在經營，衛浴十分乾淨，現在還增加了大雨棚，真的是十分的貼心，交通又方便。,5,1,1,2,2790,2019/03/31
營區明文規定不能唱卡啦ok就有人不守規矩、唱整天、吵整天星期六早上還沒9:00就開始唱⋯⋯反應了兩三次給營主營主也覺得唱歌沒什麼、不是很想處理營區打麻將就算了、唱卡啦ok是不是太扯真的影響到其他人了就連營區對面也傳來電鋸的聲音（整天的）建議要來這露營的露友、要考慮清楚這兩天露營被噪音搞到真的很火露營品質真的很不ok,1,-1,1,0,2796,2024/04/06
這是一個非常棒的營區，舒服乾淨的空氣是首選，隨時一直在變化的雲海，更有悅耳的鳥聲為妳嗚唱，親切的營主更是不在話下，巧而美的營區，我總要戀上多天才滿足回家⋯ …,5,1,1,2,5519,2022/05/08
入場需要門票可以露營烤肉戲水要看瀑布需爬一小段山路爬的過程不是很好爬一路上是需要踩著溪水走建議穿防滑的涼鞋瀑布滿不錯的可以直接在瀑布下戲水佬II覺得是個不錯的地方,4,1,1,2,3187,2019/05/07
老闆熱心、浴廁乾淨、腹地小巧,3,0,1,1,3214,2020/05/09
晚上跳電請營主出來處理 營主的兒子拿「刀子」出來恐嚇生命受到威脅整晚無法入睡要來露營者請三私後而行！兒子還拿刀揮舞 媽媽說只是揮舞沒有砍我們一家老小嚇到無法入睡 …,1,-1,1,0,2036,2022/05/08
景色優美，老板全家人都很親切，是個五星級的營地。,5,1,1,2,3975,2018/05/08
除了野狗外，找不到挑剔的地方了，老闆跟老老闆服務親切，值得在去露一次。,4,1,1,2,1971,2023/05/08
生態很好，往下走有條步道連接小溪，溪水清澈，往溪水上游走還有小瀑布，溪流的白噪音加上蟲鳴鳥叫對我來說很舒服很療癒，廁所雖然感覺老舊，但很乾淨冷熱水都有，很接近大自然,5,1,1,2,6543,2023/05/07
228連假，櫻花剛好大大盛開，第8區後面整排櫻花樹，很美，view也非常讚~。ps小提醒：1.浴廁沒有提供衛生紙唷2.沒有提供吹風機3.冰箱位置在入口處，冷凍冷藏都有，離第8區最遠，要走點好漢坡唷，但景很超值!!4.第8區的浴廁與第七區共用，最內側有通往第七區的樓梯，還算方便,5,1,1,2,3771,2019/03/11
環境清幽 廁所乾淨但沒放衛生紙雖然營區在路邊但車輛不多不會很吵營主有在5點多出現來掃廁所～另外營主姪子還現抓了活魚給我們加菜推推的營地,5,1,1,2,6004,2023/05/08
諸多原因讓我覺得有點失望，但絕大部分為「自然生態造成」，所以我並沒有給負評，喜愛大自然的人還是很推薦這裡，景色宜人，闆娘也很友善。以下是個人經驗提供參考：蟲多，特別是椿象、蜜蜂和蒼蠅。(我是五月初去)個人並不害怕昆蟲，但撤收時看到裝備被椿象產卵滿傻眼。回家後非常多椿象幼蟲跑出來在家的各個角落，這是讓我失望及困擾的主因。承上，我不怕蟲，且這就是大自然。建議替裝備做些防護，避免帶蟲回家。,5,1,1,2,4945,2021/05/08
營區超讚。老闆很熱心，營區很好，有用心經營，營地可包區不被打擾，我們下次還會再去～,5,1,1,2,6954,2017/11/21
風景不錯環境也蠻乾淨 你老街很近可以來這邊搭完帳篷再去老街逛逛 他這邊有一點點小黑蚊如果要來的人可能要帶多一點蚊香打完帳篷先把蚊香點個四五個,3,0,1,1,4434,2021/05/06
"進入營區入口車輛油門幾乎是踩到底,除非你的車子低轉速扭力夠大,上下車輛是無法匯車",5,1,1,2,6265,2023/11/07
營主親切，維護舒服草皮，夜衝滿天星，在這炎熱夏天晚上涼爽舒服暫離冷氣白天高溫有冰冰涼涼溪水，大人小孩玩得好開心，謝謝營主在夜晚下山代買酒和冰塊 …,5,1,1,2,2371,2023/05/06
很棒的營區。地點風景都很好，但是需要底盤高的車子才適合,5,1,1,2,4747,2018/09/26
真的很有大自然...會辦些親子活動唯一就是盥洗設備太少 要等很久,4,1,1,2,3429,2021/05/07
老闆ㄧ家人很可愛也很照顧來的露友們！還有可愛的阿松跟勾錐！！,5,1,1,2,2024,2017/04/16
營主大哥大姐很好相處會一直來問我們需要什麼幫忙嗎？也不會有一堆限制讓你完全的放鬆,5,1,1,2,5125,2023/05/09
真的很棒～。1-交通是族人們共同打造的，雖不比柏油路佳，但行駛在路上心中總是很感動，感謝族人們的付出2-景觀真的很美，是我覺得連相機都拍不出的美，有種國外瑞士的感覺3-設施簡約，但我覺得有總比沒有好4-浴廁簡約，但我覺得有總比沒有好5-基本上沒有人會在那服務，但該有的熱水、電都有在規定時間供應,5,1,1,2,352,2021/10/11
1.環境維護的還不錯2.可訂購PIZZA、石鍋拌飯 免開伙2.沒景3.帳數太多，放眼望去都是帳篷不是草皮4.下午2:00入場，中午12:00退場 條件太嚴苛5.一帳1200，提早入場還需加100，CP值不夠以上為後花園區,2,-1,1,0,6843,2018/05/07
下著大雨要下裝備車必須停很遠，只有二台共用推車，而很巧的用完的人不知道要歸位，所以我們只能自己扛因為帳與帳緊緊相連，營主一時疏忽，我們三帳被分開了，我們睡在廁所旁邊一早還聞到很臭的味道⋯⋯因為雨勢不斷….去廁所必經之地淹水…踝上5公分….讓我穿長褲必濕…..穿短褲必冷去看螢火蟲須走出營區穿過馬路而馬路上有臨時停車人潮…..實在不方便凌晨一點要洗澡擦好泡泡發現沒熱水隔天早去想沖熱水沒有熱水真的只有草皮美隔天12點須拔營….11:30營主一直關心著我們是不是已經在整理了，完全不關心著下著不小的雨還好1145把營地還給營主真心話…..不推,2,-1,1,0,1266,2022/05/06
還算不錯的營區，水池的部分可以在乾淨些更好,5,1,1,2,1466,2020/08/11
營主非常熱情友善！中秋連假去露兩晚，天氣很熱，小孩有水池有沙坑有腳踏車可以玩，很棒的環境維持得很好！廁所乾淨，不過浴室蓮蓬頭該換了，出水孔會亂噴。,5,1,1,2,1630,2021/05/08
體驗不佳！初次去，體驗不是很好，各種虎頭蜂，有家人晚上被虎頭蜂蜇到跑去附近急救站，告知營主後，營主給予回應為：這麽嚴重？？隔天營主有來現場，說通常只有早上有人被蜇，晚上沒聽說，我問號？但事實就是露營當晚各種蜂，帳篷至少光顧了8-10隻若帶小朋友去，請先練好抓蜂或避蜂的技能！另外營主很注重草皮，草皮養護不容易，但有想過我們還在冒著雨搭著帳篷，沒地方讓我們放置物品嗎？只是催促著我們趕快把車開去停,1,-1,1,0,1212,2023/05/07
不再二訪營地，水時有時無，洗澡沒熱水，蒼蠅超級多，嚴重超收，車都沒位子停,1,-1,1,0,4411,2022/05/06
五月底前往，氣候宜人，營主客氣，會給予必要的協助，也可以借腳踏車環湖，很棒的營區。,5,1,1,2,3202,2023/05/07
營地本身設備真的小巧美麗，但是從上巴陵7-11旁邊開始下切山路，沿路陡降髮夾彎，最後一哩路非常狹小完全無法會車，剛好進出都遇到會車，只能倒車倒車再倒車。馬力不足、車體過大、技術不好的，都不建議前往,4,1,1,2,1883,2023/05/07
風景和場地都不錯，比較可惜是沒有大草皮可以奔跑和附近的步道有路況無法行走去看水庫,4,1,1,2,1336,2022/05/08
#用心的營主#沒有險路的營區營主非常用心的維護這營區 廁所及浴室非常的寬大 熱水也非常的熱 180度的風景 讓人非常放鬆  很可惜當天遇到了很沒有品的露友 到了11點喝了酒大聲的唱歌，鬼吼。 跟營主反應後才獲得改善 今天遇到了非常大的強風 帳篷的支柱被吹倒好幾次， 到了深夜超大的風讓人無法好好安眠 不知道是不是每天都有這麼大的風 不然這一個營區會非常的推薦 營區還有小朋友的溜滑梯盪鞦韆及沙坑 到了夏天還有山泉水可以玩,5,1,1,2,2463,2019/05/07
"很棒的營地,緊鄰石秀灣.不巧的是露營當天下雨.營地泥濘不堪.鞋子.褲子沾滿泥巴",4,1,1,2,475,2017/05/08
森林區不錯 也可以遠看關西夜景 不過剛好有東北季風增強 森林區 風較大森林區沒有浴室要走建議可以用一個,3,0,1,1,316,2022/05/09
