,content,status,type,label
6003,不懂為什麼營主可以跟營客一起喝到凌晨五點……,-1,1,0
9558,同其他評論所說，營區前5-6分鐘路況不好但這個部分依照車種還有技術而異個人是沒有遇到問題就不贅述營區整體是沒有甚麼其他周邊可以走動要走走只能下山衛浴和整體環境部分我能理解夏季山上蚊蟲多可是我不多不少也是露了30幾次還是第一次遇到整個晚上蟑螂一直往你天幕帳篷飛的狀況真的不誇張，打了一隻還有無數隻殺都殺不完的狀況，會怕蟑螂的請注意...如果只是蚊子螞蟻多我還能理解蟑螂我真的太問號了,-1,1,0
8875,漂亮 草地保養得很好👍🏻營主人很好！ …,1,1,2
13414,旁邊有涼涼的小溪，晚上若能連露客們的燈都關了的話，螢火蟲可能會在帳篷邊經過喔！廁所算乾淨，幾乎沒蟲或蟲屍體什麼的！,0,1,1
15346,非常推薦的新營地!老闆非常熱情招待，廁所浴室也很新並乾淨浴室還有加裝防蟲網非常貼心(很多其他的營區晚上洗澡時，天花板飛蟲都多到可怕)垃圾桶跟分類廚餘也非常乾淨晚上可以看到超多星星白天的山景也很令人放鬆 😌希望這營地能繼續維持下次還想再找時間來露營~~~,1,1,2
6246,規則很多不適合被太多規則約束的營友,-1,1,0
14705,大自然的景觀，人工七彩吊橋成顯一幅自然與人工景色愛好登山健走的人可以來走一走練練腳カ,0,1,1
11130,期待高品質露營體驗的露友極不推薦。此時此刻，凌晨3:00營區其他露友大聲喧嘩，高分貝嘻笑尖叫，不顧旁人彈吉他高歌，已持續將近四小時，與營主反應仍未獲改善，自行勸阻遭惡言相向，營區無音量管制政策；路程極為崎嶇難行，切勿按照Google導航指引，會引導至路段危險的私人土地。,-1,1,0
9881,環境：風景很美，棧板有點小，只適合300帳浴廁：不乾淨，3月超多蟲和飛蛾，每間浴室廁所都有一點垃圾，磁磚地面，浴室廁所分開，水壓弱且不穩，水溫超不穩定，排水也不太好，浴室內的椅子、水桶都有一點霉斑備註：1.水槽旁邊都沒有垃圾桶，有點不方便2.週日要離開時、營主洗廁所的水會直接流到C區帳篷⋯⋯⋯⋯⋯⋯⋯3.很多營位都在道路旁邊,-1,1,0
9719,有跳蚤……營區營位規劃的很好營主很貼心的送了阿里山耳掛咖啡廁所很乾淨白天天氣蠻曬的，但晚上氣候很舒服涼涼的真的跟營區名稱一樣有夠遠快到營區前的地面高低不平(要注意)附近有溪水可以玩，超級冰涼可惜去的二天天氣不好不好，殘念無法看到滿天星👇🏻唯一最害怕的事👇🏻場地不知道是不是有跳蚤還是會咬人的螞蟻讓我們半夜起來抓癢帶著紅豆冰回家,0,1,1
14319,場地非常嚇人 沒在用心維護 單純只為了營利場地狹窄 雨天更不用說 來的人真的要看清楚評論,-1,1,0
5755,1.冰箱有等於沒有，比家用冰箱還小2.飲水機有等於沒有，要裝不行，營主說水龍頭打開煮一煮就可以喝了..3.營位很小4.草皮狀況很糟，幸好沒雨5.簡易的滑草道露出的石頭很危險，簡易自備滑草用具，營區提供的東破西破,-1,1,0
5324,交通方便，整體上很舒服的營地！,1,1,2
9271,B區營位 夜衝+普通週六一晚的心得優點環境乾淨 距離北埔市區近非常方便補給 不想開伙都沒問題 適合短暫偷閒的輕裝露營其他要注意的1. 營區照片沒更新 原本A區旁的鞦韆/水池（球池）/沙坑 不知道什麼原因都消失了？ 剩草皮區域記得自己帶遊具2. 洗到一半沒有熱水 （2030左右）可能是尖峰時段的關係 and 沐浴/洗髮精的按壓試了兩間都有故障出不來3. 標示2200後安靜 但第一晚隔壁區的喝酒喧鬧到深夜 第二晚有小孩比賽奔跑喧嘩到2230 都未見營主實際出來規勸,0,1,1
15386,假日偶爾來露營⛺️也是不錯風景不錯 晚上還有夜景👍可惜早上霧氣很濃 沒有看到雲海😅,1,1,2
9324,地理位置佳近北埔老街 外食方便小孩遊樂設施多 還是coco外送希望洗澡間可以有放置衣物的地方整體而言 會想去第二次,1,1,2
13867,路況差 蒼蠅多 風景好 晚上有發電機 全天有熱水澡,0,1,1
10163,4帳安排的腹地太小，營地是山泉水水質不能飲用營主有一台家用飲水機但還是雜質，環境優廁所乾淨。,0,1,1
8108,超級喜歡怡然自德謝謝我朋友推薦營主夫妻非常樸實真誠又可愛很喜歡營主夫妻營區小區乾淨洗澡水溫正常不會忽冷忽熱水強度也很足夠下次一定還要來,1,1,2
14255,很久沒有露營洗澡洗到抓狂的，只能說幸好不是寒流來的時候到這營區，小黑蚊個人覺得還能接受，但這熱水真的讓人無法接受。,-1,1,0
6681,"就是泥土石頭太多,營釘不易打入",0,1,1
8902,舒適的營區營主也很親切,1,1,2
14598,口味不錯，如果口味較淡之人可能會覺得油膩。,0,1,1
2691,停車方面可再規劃更完善會更多便利,1,1,2
13115,老營主(女)態度不是很友善與親切，營區也都會放任一黑狗(happy)四處跑，會亂翻垃圾，向老營主反應也沒用，只一直說不是他們養的，但會跟著他走，總之不會再訪也不會推薦任何人,0,1,1
222,越來越落寞的營地。超過每帳限制人數真的會非常認真的加收人頭費及停車費，浴廁尚可，因為有水池所以小黑蚊非常多，其他的........不想多作評價,-1,1,0
14332,有溪可以玩水但廁所好臭烤肉場地收費有點太貴,0,1,1
7782,我只能說一言難盡！還要自己打掃溜滑梯給小孩玩...溜滑梯完全沒在理...全是青苔.....一堆蜘蛛...雨棚也一堆...導致帳篷裡都會跑蜘蛛進去...真的是無敵髒...熱水也非常的不ok！水壓超低...重點是環境沒整理還收那麼多錢....非常的...傻眼！,-1,1,0
10891,營主人很好也很專業👍🏻親自導覽文化傳承，幽默風趣。原本一切都很不錯，一直到縱容其他露友10點後還是大聲的放音樂大聲說話（營主本人就在其中😒），覺得很不好，不適合有小孩的家庭。 …,-1,1,0
858,乾淨 草皮很好 景觀漂亮 老闆親切,1,1,2
10430,來了3次仍然會想再來的營區😊 …,1,1,2
14888,雨棚區小得要命，帳篷搭下去都不用通行。,-1,1,0
8366,我們很大團，露營前已經說過會吵，所以我們要包場晚上10點要求我們小聲且要熄燈，垃圾桶給不足，卻要我們分類清楚，廁所衛生紙沒了，要我們自己去補，營主處理事情的態度還有很大的改善空間，知道經營不容易，大家都是能商量跟配合的，希望能再改進，不然枉費了一個好營區,-1,1,0
14091,營位跟下訂的位置不同，闆娘也很親切的處理！風景很好營位不大，衛浴太少沒熱水，浴室正上方還有虎頭蜂和蜂巢，螞蟻飛蟲超級多，所有裝備爬滿螞蟻，非常可惜的假期營區內動線也不佳，沒位置打羽球，建議營主重整數量,-1,1,0
231,"排水不好,草地泥濘積水",-1,1,0
7108,有大自然原始的风貌亦有乐天好客分享的芬围，只有亲身感受方有此福气……,1,1,2
13309,訂在竹雞區，無風景可看，最可怕的是，一堆人抽菸，上方營區年輕人高聲嬉鬧到凌晨一點鐘，無視他人存在，好像也沒人管。非常不好的體驗。,-1,1,0
10056,蟲鳴鳥叫的好地方，雖無設施但讓人更接近大自然。瀑布很近，溪水清涼，有平坦小池讓小人放心玩水。整體營區很棒，除了螞蟻較多之外。,0,1,1
14906,廁所要走一下路，如果只有是露營聊天這個季節可，如果想要有採果樂，要露營時要先問清楚是不是採果期...,-1,1,0
12548,浴室大間舒適，熱水強又穩定，大推👍 …,1,1,2
9401,雨棚區蠻大的，可惜是小碎石地面，衛浴比較簡單。,0,1,1
8264,跨年去了結果好像超收帳篷一樣，一個約莫6*9的營地要我們塞兩帳，前面停車根本無法停下兩台車，鞭炮到了隔天6點還在放,-1,1,0
7042,營主大哥親切大方，浴室整潔以及熱水不穩唯一缺點,0,1,1
13589,服務ㄧ級棒的老板，秤職的迎賓狗海帶。讓我無比放鬆，想在營地逗留耍廢。喜歡寵物的你，可以和海帶交朋友，認識它，顛覆你對狗狗的三觀。,1,1,2
12342,營主夫妻倆都非常客氣，會一直來關心是否有需要幫忙的，還免費提供桌椅給我們，廁所很大又乾淨，小溪有非常多的魚蝦螃蟹，很棒的營地，有機會會再來!,1,1,2
8243,老闆人很好，B區還滿大的，但沒雲海，要走一段路才能看到；營地只有草皮 衛浴 冰箱然後沒了，算是比較原始的營區，廁所很乾淨，熱水很足夠也夠熱；冰箱要走的比較遠到營本部；水槽旁的垃圾桶沒有垃圾袋，記得自己帶；全區都沒有燈，要自己點，有帶足夠的燈是最好的；昆蟲很多；除了燈之外 其他都很棒,1,1,2
15602,這裡真的是個很美的地方，營區乾淨。場地位子大。也能見到夜景。衛浴也乾淨唯一缺點是生態過於豐富，走到哪都能碰到蜘蛛網😁😁 …,1,1,2
14212,衛浴沒幾間要排隊，冰箱只有一台（爆櫃），注意小黑蚊,-1,1,0
12580,活動場地算大也有兒童遊憩設施草皮和植栽看得出營主有在維護附近有周六夜市及商店可採購還有熊貓美食外送可以叫除了浴廁數較少較老舊外是一處不錯的平地營區,1,1,2
13955,底下石頭一堆！超難釘根本沒整地啊！絕對不推薦來！太雷！釘完可以直接睡到撤帳，都沒體力了😭 …,-1,1,0
1686,環境好 很舒服 如想到溪裡抓蝦釣魚 地點不多,1,1,2
9861,環境普通非專業露營營地場地較狹小但營主還蠻親切,0,1,1
8285,在雙十連假去的時候人很多，供電有問題，而且他們處理心態很消極跟敷衍，後來是因為我們態度比較硬才有想要解決的意思。,-1,1,0
14038,晚上11點多還聽得到唱歌聲音12點還有樂器聲凌晨三點多又有「廣播器」放音樂聲雖然不知道是哪裡傳來的但聲音非常清晰熱水👉忽冷忽熱，浴室上方無加蓋在這冬天洗澡=皮皮ㄔㄨㄚˋ除了這些之外 環境清幽 不錯,0,1,1
14443,適合小團體包場，靠進門口的廁所臭氣倒灌，糞化池的排氣管線應該需要改善，晚上飛機一直經過，六福村一早廣播，會有些譟音,0,1,1
11270,露營區很乾淨，風景真的很美，很自在(我們玩得很開 也不會吵到其它區)，老闆人很好呦，超推的。,1,1,2
15117,老營區了...當年一帳才600元...現在都漲到1000元了...,1,1,2
6549,營區夠大，還算美觀，而且有冰箱。但是石子多，很難打釘又容易鬆脫，要用30cm+較粗的營釘才勉強夠力。偏偏晚上又很容易遇到強風，很多家的天幕、帳篷半夜被吹垮，驚呼聲此起彼落。此營區要挑好天氣來，而且不適合新手，供參考。有看見車宿的。,0,1,1
6446,營區鄰近馬路，如果怕車聲建議訂位時，選擇靠近釣魚池，會離馬路較遠營本部跟雨棚區相連，如果很介意在別人家門口睡覺的，就不要訂雨棚區營本部有兩台冰箱，在雨棚區露營，夜裡會一直聽到冰箱壓縮機在運轉的聲音～非常非常吵營區路況佳，導航設備可以順利導航到定點五星級衛浴設備非常非常大間，一家四口如果一起進去洗澡也不會擁擠，有提供洗髮精跟沐浴乳釣魚池要看老闆每天的開放時間，所以沒有辦法隨時都可以釣魚,0,1,1
15619,不會有下一次，有半夜叫人退帳的營主,-1,1,0
9454,蚊子超級無敵多！另外營區提供的冰箱異味重冷度也不夠，保冷磚放一個晚上了還無法結冰。,-1,1,0
4587,老板娘很熱心，隨時關心我們搭營狀況！！。平日搭營享受包場感覺舒服又清靜！！,1,1,2
10318,1.蚊蟲超級超級多，噴防蚊液根本就沒效～2.冰箱爛到不行，強烈建議更換冰箱～3.最下層營區如果不規劃，請不要出租～露的人很生生氣💢 …,-1,1,0
8276,沒電燈，插座太少！產業道路很多吭洞，會傷車子底盤……,0,1,1
8931,想要帶孩子來，害怕煙味的家庭請慎選！！6×6雨棚位置很大，大到搭完帳篷也有不小的客廳空間！但洗手台雨遮很小，下雨天洗東西會淋到雨營主抽煙，很多露友也抽煙，時常有煙味飄過來，廁所也很常看到煙蒂廁所洗澡空間滿大，但也許因為滿帳，晚上廁所垃圾桶滿到多出來，外面的衛生紙沒有補跨年期間，看得到部落煙火，不過一群超嗨年輕人整個晚上唱歌跳舞，請營主提醒之後變成大聲聊天尖叫，一路開心到一點多...年輕人的留言非常不客氣，自己可以從晚上5.6點一路嗨到半夜一點多，唱歌跳舞不管營規吵整區，小孩哭的3分鐘卻拿來說嘴！小孩超過8點的玩樂被說很吵！要來的小孩家長可能要小心遇到露友言論攻擊！營區的臉書也有針對跨年時聲明10：30之後要降低音量，卻縱容露友狂嗨到1點多！再說跨年不嗨回家跨年？！重新對照營區地圖，發現營主當天超收多帳唷,-1,1,0
6052,原本很期待，到達目的地卻蠻失望的，B區1.廁所防水膠條都有看到發霉痕跡，如果電燈沒有打開，抽風機就不會啟動，廁所的霉味就很重。2.場地很小，蜘蛛網很多(隔天收帳時，就會看到一條一條閃閃發光的蜘蛛絲）3.蒼蠅超多……4.營區在馬路邊，晚上常有車子經過，真的很難入眠,-1,1,0
7189,欠缺管理，衛浴熱水時燙時冰很不優，廁所要憋氣進入＊＃％￥🤮 …,-1,1,0
11545,有草皮，有沙坑，有溜滑梯，有戲水池。營主一天收兩次垃圾，常常看到營主檢查廁所，推薦！,1,1,2
10730,夜間導覽不錯 故給1顆星 還有每帳打卡送4顆茶葉蛋 再給1顆星進營區最後10分鐘 路非常難走 幾乎都45度的斜坡 加上近日大雨 雨都停了路面上還是有不知從哪裡留下來的水 路面長青苔 車子輪胎有打滑 有車子上不去 車道只能一台車出入 90度或180度急轉彎(好幾個)目前43露路況最驚險第一名A3雨棚區 圖片黑色背景那邊有養鹿 跟營主說我們無法接受 可否退費(可 但APP還是會收手續費 叫我們自行考慮)  我們提出可否跟其他區的同行露友擠一下但算便宜一點 營主SAY NO營主說A3他們有註明是跟鹿一起睡  還說有人很喜歡這樣的想到都會嘴角不自覺的上揚,-1,1,0
7815,草地很漂亮，營區小但維護得不錯，植物照顧得不錯。洗手台是共用的，沒有飲水機，廁所不在營地裡。營地下方是遠見之星營地，很容易被其他營地干擾，聲音及味道都會傳到微笑草地。營區小，所以各帳聲音的干擾也很大，遇到不善的露友，就整夜不用睡了。沙坑的沙沒有想像中好。,-1,1,0
11414,假日帳與帳之間真的太過於擁擠，導致小孩活動範圍真的變的不大，奔跑常被營繩絆倒，晚上營區附近還會有卡拉ok傳來，如果你不介意以上這些問題 這邊還蠻適合你！卸裝備還需要搶位置，因為車子其實要停蠻遠的，如果你能早點來 有機會在帳旁卸裝備。浴室與廁所一起。算乾淨。營區也有飲水機。這裡比較適合團路 整區包下來。如果你怕被打擾 這個營地要深思！,-1,1,0
12774,小黑蚊真的很多，又遇到下雨天真的很狼狽,-1,1,0
11955,原民特色小館環境舒服👍🏻檸檬愛玉好吃😋 …,1,1,2
11666,每樣菜都好好吃 老闆夫妻也很熱情 連毛孩（開心）都不例外 是會再次造訪的農場,1,1,2
7186,水泥地露營區，有雨遮，有蚊簾但沒用，蒼蠅蚊子多因肥料的問題，有桌椅。,0,1,1
9666,露營區梅花很美這次是住在草地區風鈴木下螞蟻一堆... 回家的時候螞蟻都在我們客廳帳的骨架裡面築巢了！！ 帶了一堆螞蟻大軍回家清了很久...還有那個麻糬一次收一百但只有一點點而且不是全部收完才一次性帶活動搞得很亂廁所的衛生紙一開始有問 營主說有提供可是用完了根本沒補...就很傻眼,-1,1,0
4160,營主ㄧ家人態度都差、放自家狗隨地大小便,-1,1,0
15301,四月後很適合，呼朋引伴、攜家帶眷來賞螢火蟲與露營。,0,1,1
989,很乾淨的營區 入園還送一瓶茶 第一次露營活動圓滿,1,1,2
2994,營主親切好客，現釣活跳跳的魚，超鮮!,1,1,2
724,小而巧的營區 營區用心維護。營主夫婦非常親切，因租到的營位較低又大雨不斷，營主關心搬來大陽傘幫忙撐雨，還給不少自種的豆子！可惜白天小黑蚊有點多...不知道是否海拔不高，但親子設施完善小孩玩水很開心！浴廁非常乾淨～,1,1,2
14428,晚上貓跟狗太多～晚上一直叫，第一天滿帳，停車位子需並排停，隔天出入很不方便，還要到處找車主移車…..空間真的不適合收到這麼多帳，帳與帳之間的距離真的還滿近！,-1,1,0
7348,腹地不大，帳與帳的距離好近，很壓迫。特別浴室好少，只有三間。洗澡要排隊，晚上十點多了，還一直有人在排隊,-1,1,0
13402,雨棚區設計不良，下雨雨水會滲入，洗手台設置在雨棚區對面15公尺處超不方便且附近有💩味，不知是不是廁所就在旁邊的關係，而且營地蟑螂超級多，從星期五晚夜衝到星期日拔營離開只見到營主兩次，第一次是進入營區見面，第二次是隔天來收營地費，應證了之前露友說的營主只要錢的說法，沒有溫度的營區😡😡😡 …,-1,1,0
10132,星期六去露過，場地不錯，廁所乾凈，唯一美中不足的是朋友一個人睡車上也是算一帳的錢，有點傻眼，營主是說汽車停在場地就是算一帳的錢，這在以往的經驗有點出入，最後幾經交涉有軟化，可是氣氛也有點不愉快了,0,1,1
739,營主夫妻是對老夫妻人很客氣，營地整理得很整齊，也都會熱心招呼。,1,1,2
4750,環境乾淨又漂亮，蠻原始的生態，晚上全部人同意關掉照明燈後非常有野營的感覺，讚,1,1,2
8878,風很大，營地種的棕櫚樹發出很大的吵雜聲音，一整晚吵到睡不好。廁所沒有衛生紙和吹風機，洗澡水很大，一開始蠻熱的，但洗到後面卻沒有熱水，只能洗冰水沖泡泡，快冷死，整個感覺不好。營地不好找，容易迷路，訪客一人加收一百，不像其他營地一車一百，偏貴。車下山都要叫老闆開門，路燈也沒開。超過12點要加收錢，還會一直趕人。整體環境是乾淨整潔的，故給兩顆星。,-1,1,0
9564,進入營區前有一段不好走的山路，馬力不夠跟地盤太低的車子不要挑戰營區的分區小小的，感覺有點擁擠，最麻煩的是營地地面居然都是斜的，光搭帳篷都移了好久才找到勉強能下釘的位子,-1,1,0
2521,營主很熱心，服務很好。浴室熱水不穩定,1,1,2
12082,❗️只有一區有廁所衛浴，很多區都要走好一段路才到，好幾間衛浴忽冷忽熱，一下被燙，一下冷吱吱，不然就是不夠熱🥶❗️整區29帳只有一個冰箱（晚到的冰箱根本沒得冰），一樣在廁所附近，如果喜歡健走的可以來，包你走的很開心😏❗️再來營主嚴格禁止外車跟訪客，即便忘了帶東西，朋友送進來馬上走也不行喔❌只能在門口面交喔，不管你東西多大多重喔！❗️還有一件事是他們沒有飲水機，水要記得帶足喔 …,-1,1,0
11780,這是一個10點以後就不能聊天小聚的營區，所以想要晚上小酌放鬆聊聊天的人，可能要三思唷😁 …,-1,1,0
10246,整個營區就一個冰箱 根本東西大家都沒地方放 準備好的德式香腸整包不見 一點控管都沒有的營區  一早起來心情就不好  不吃了 收帳回山下吃好的 不再來了,-1,1,0
11374,空氣不錯，廁所環境算是乾淨了。,1,1,2
3023,營地的草可能需要整理一下了。有點雜亂。,-1,1,0
11790,有水也很方便建議自備電源充電整體不錯，東半部環境真的很乾淨,1,1,2
8413,營區規劃很完善、有護草墊可以鋪、風景漂亮,1,1,2
42,超多小黑蚊，叮到受不了。超多小黑蚊，叮到受不了,-1,1,0
6153,以硬體設施完善度覺得價格偏高8間浴室，有6-8間會淹水，有點噁心熱水超級不穩，甚至到洗冷水的地步228連假，應該很多人沒洗澡雖然老闆跟闆娘還不錯，但營區硬體有點糟糕,-1,1,0
40,希望老闆能更用心的管理。1.廁所 衛浴希望能勤於打掃2.老闆忘了放吹風機唷…3.照片和現場落差頗大，老闆攝影能力強大4.房間霉味重，可能也忘了開除濕機5.營區下方有雞舍，生態頗豐富,-1,1,0
7036,營地環境維護得很好，但營主不會約束客人行為，隔壁帳喧嘩、唱歌、抽菸，完全沒人管，向營主反應也無效,-1,1,0
9548,營區很漂亮 環境也很優但是半夜有人吵鬧唱卡拉ok一群年輕男女一路鬧到兩點打電話告知營主也無法處理我門也下去講了兩次也沒用然道要去吵架嗎我真心建議 這麼漂亮的營區營區規範強烈妳打清楚整區就那一群再鬧影響其他二十幾帳像我們這種 下次可能就不會再來因為真的很吵你就是間接少了八帳回流客隔天開車回家整個累翻營區真的很好三顆星就是指營區吵鬧部分,0,1,1
9839,搗麻薯.泰雅射箭.沙池.小小水池,1,1,2
10345,櫻花很美，但草皮看起來沒有在養護，零零落落的，落葉很多，流理臺都是落葉，小而美的營區，浴室很大很棒，有嬰兒澡盆跟椅子，女廁所都是坐式較不友善，蹲式會好些，離馬路很近，夜晚車聲超大，狗吠聲也此起彼落，離隔壁區很近，隔壁小孩吵到凌晨12點才安靜....,0,1,1
14393,女廁還可以，水質不優 哈哈,0,1,1
9802,這次露營體驗感受良好因營主家中有要事比較晚到營區但有任何問題也是立刻馬上解決營區非常乾淨由於是第一次草皮首露草皮保養得很好而且動線規劃完整像是洗碗區和洗澡區冰箱都很方便可能是季節的關係會有果園肥料的味道（花了好久的時間適應但是滿天的星空遠方的山景還有營主的超可愛貓咪狗狗值得再度探訪👍👍👍👍,1,1,2
12781,營地，營主都沒有太大的問題，重點營區的插電座太少，垃圾桶太少，吹風機太少，廁所外的洗手台（白鐵製，水開下去的聲音偏大）有待加強！,1,1,2
4318,真的很讚。廁所 盥洗室都超乾淨24hr熱水真的超方便,1,1,2
5401,"感覺餐廳經營是主業,露營區管理是兼差的副業。1.距離老街近,停車方便是最大的優點2.廁所清潔可再加強3.浴室水壓不足,三間同時使用就不行了",0,1,1
4117,前往營地的山路不是很好走  要小心開車。營地風景不錯  很有坡度感,0,1,1
8656,打去訂營位 說到時候直接來就可以了結果準備了許久 前一天再打去確認一下說什麼他們明後天公休 妳奶奶的直接超不爽,-1,1,0
14438,營區面積較小，衛浴還蠻乾淨，離市區近吃飯或採買補給很方便，營費收費合理，下裝備要使用推車到營位，營位一側靠馬路近夜間車輛經過噪音較大，離六福村及小人國近算不錯的優點。,0,1,1
15564,風景很美 草地也很棒但帳帳相連～太擠了～可惜衛浴設施也太少輪候時間比較久,0,1,1
6346,環境不錯、漂亮、有螢火蟲,0,1,1
1853,營區可能跟圖片有所落差，但不錯，營主很大方，路好開，只有一個小陡坡很可怕，,1,1,2
5893,洗手台遙遠分配不均充電樁偏少，電力不穩定,-1,1,0
3612,景觀好，設施維護用心，營主貼心親切～。適合親子團露也適合單飛，浴廁維護超乾淨，還有貼心準備備品，有機會絕對會再訪～～,1,1,2
8922,B區位在營區上層，如果搭滿三帳，會有一帳是直接就搭在廁所門口C區也是位在營區上層，長方形空間，搭滿四帳的話，會帳帳頭尾相接，出入都必須經過各帳拉的營繩陣A區在營區的下層，空間相對的寬闊、舒適我們搭在A區，然後那天小圓屋來了三十多位的訪客(別懷疑，足足12輛汽車)來烤肉；晚上11點，因為用水人數太多，A區浴室和洗手台都沒水可洗晚上12點，下層A區的浴室和洗手台一滴水都沒有，但是上層營本部前洗手台，水龍頭一轉開，水勢洶湧非常...向管理人員反應，不是先去檢查管路有沒有問題，而是一直回覆說是同一條管線不可能沒有水；個人再抱怨為什麼營位費收一樣，但是下層卻沒有水可以用，卻被其中一位管理人員嗆說不屑賺我們的錢，要我們立刻撤帳走人...這個營區，交通、環境、舒適度都很優，但是...管理人員的態度.....很可惜...,-1,1,0
14904,蒼蠅多到誇張，幾十隻蒼蠅在桌上配飯，吐司打開一個小縫沒住意整袋都被蒼蠅佔據，只能丟了，吃一餐飯在那扇蒼蠅扇到手軟。熱水超燙，洗澡好痛苦。,-1,1,0
1775,營地雨棚區很大、廁所可以、景色還好、沒啥設施，儘是前往阿里山的中途站，有點像無人管的營地。,0,1,1
13218,運氣很好，平日來只有我們一組客戶，老闆讓我們升級到遮雨棚區不加價，草皮養的很漂亮，好像在國外的感覺，浴室還算乾凈，戲水池是山泉水，很冰涼，不過因離果園很近，倉蠅滿多的，這就沒辦法了，進到營地比較小路，會車要多加注意,1,1,2
104,營地碎石地有點硬，下釘要注意,0,1,1
10128,超爛 老闆口氣超級差吃完飯跟朋友們一起來參觀一下神秘氣場 結果停在公用路邊卻一直被趕下車不到5分鐘被趕了2次建議大家如果不是來「露營」請不要來！,-1,1,0
13771,設備非常完整的露營區，球帳很漂亮舒適，草坪赤腳踩起來很舒適，山泉水小溪超涼快，帶著長輩小朋友一起去過父親節非常愉快，以後有機會會再去住一晚滴！,1,1,2
11548,"開車竟然極上來，直接迴轉，又極下來，難開,到極致。A區前的草地，短短的，也很乾淨，小朋友在這裡玩的很盡興。乾淨的廁所，洗手台的水是讓溫水，舒服，是冬天裡的好的效果。由於地理位置於山谷沒有風，剛好，晚上冷但風不大。有一溪水但我們在A區，所以要走一陣子才行，可是魚上勾的感覺很舒服。要請營主幫忙的是，關心一下11點睡的我，隔壁鄰居竟然三點還在聊，真是令人無法睡覺。",0,1,1
4596,很棒的點~寬廣舒適~。垃圾桶再設置的更完善~以免外來動物的干擾~這樣就很棒了喔,1,1,2
8279,老闆言而無信，放我們一群人鴿子，另外電力不足，水槽不夠，熱水器不穩定。,-1,1,0
2643,熱水不穩定。1.熱水不穩定,0,1,1
4490,很棒的環境跟小溪。。地面可以多鋪一些碎石讓下雨過後的地面不積水，整體環境很棒蟲鳴鳥叫，雨棚區前面大草皮也很方便玩，就是踢球容易掉溪水要注意。,1,1,2
8443,2024.2🏕️ 塔曼之光露營區🏔️ 海拔約170m🌸 雲海、山嵐、櫻花、📍 車床天地特約營區,1,1,2
7503,地方清靜 身心都得到休息,0,1,1
11793,環境清幽，廁所衛浴很好，森林芬多精讓人很放鬆，但營地雜草多稍嫌雜亂。,1,1,2
1724,上帝的部落，果然是夠遠，浴廁環境不佳,-1,1,0
