content,label,rating,type,publishedDate,tokenization,sequence_num,status,origin,origin_label
除了寵物問題有點雙重標準外，風景、交通跟預測都算不錯。。營主向帶寵物的客人多收300元，結果放任自己兩隻中型及大型犬對客人吼叫而且….幾乎每次到營本部拿東西都要被兩隻狗衝著臉吼！那說好的要牽繩跟管理噪音的部分怎麼可以拿出來要求客人？甚至要離開之前最後去冰箱拿東西時，白色母狗直接出現露牙並壓低姿態的警告行為，結果你們人走出來只是笑笑的帶過…..更不用說早上起來發現一大坨狗屎拉在我的動力線上！,負向,4,1,2022/4/11,,18,1,1,正向
營主有提供很多讓孩子遊戲的古早味童玩，但搭營時要特別注意有無黑螞蟻爬上車 …,中立,3,1,2020/5/6,,19,0,1,中立
缺點：蜜蜂很多、洗手台太少、插座太少、熱水器溫度不好調、去的產業道路很多坑坑洞洞，容易傷車。優點：2020/07月底去，平地溫度平均33度以上，山上白天溫度平均26度，晚上18度，甚至更低溫。適合夏天避暑的地方！地大，很多露營位子可以選！,正向,3,1,2021/5/7,,20,0,1,中立
這是一個適合雨棚露營的營地。草皮搭帳完全打槍，營主不友善，難溝通。或許是每個營區都有每個營區的規則，如此的難溝通，就不會有再次前往露營，當然也不會推薦。今天一早兒子就說：爸爸以後不要再來這｛爛泥巴的營地ㄌ｝，不好玩……。夏天、天氣熱應該適合。,負向,1,1,2020/5/8,,21,-1,1,負向
環境優雅舒適，營主親切熱情。衛浴設備維持乾淨。草皮整潔漂亮，有孩子喜歡的遊樂設施，很棒的露營區 …,正向,5,1,2022/5/7,,22,1,1,正向
少帳包區 還有水池沙坑 孩子很開心。少帳包區 還有水池沙坑 孩子很開心,正向,4,1,2023/6/7,,23,1,1,正向
這裡有未加工天然野溪，有水可玩、有魚、蝦可以抓，明明天氣冷，但每個孩子看到水還是要玩水營主也會不定時提供水球讓孩子打水仗（懷疑營主才是孩子王），簡直是孩子的天堂，晚上孩子玩到會自然斷電連假第一天陰雨綿綿雨中搭帳，還好第二、三天有太陽和涼風一整個超舒服，營區在山谷中早晚有一點涼，其他時間溫度很舒服，廁所、衛浴很夠也很乾淨，營主留給孩子跑的空間大，唯一缺點是有煙味，營區露友素質也都很好,正向,5,1,2023/5/7,,24,1,1,正向
超沒公德心!!露天KTV開超大聲吵人!!幾百公尺遠都聽的到!!!唱的很難聽!!!,負向,1,1,2020/5/8,,25,-1,1,負向
下雨準備回家...建議營地停車埸用柏油路...不然輪胎打滑難上坡⋯⋯晚上洗手槽太暗..洗澡熱水不穩忽冷忽熱...晚上有狗進行入營區...很害怕忚來聞食物..所以睡前桌上要清一下..東西放好..,負向,3,1,2019/5/7,,26,0,1,中立
老闆跟老闆娘 熱情親切 環境優美 風景很好 適合拋開城市的喧囂 來這邊放鬆,正向,5,1,2024/1/7,,27,1,1,正向
第一次來到離新竹市只要45分鐘車程的優質露營區，夜衝過來很快就到此！很榮幸遇到非常和善熱情的營主，準備了營區自己種植的橄欖料理！晚上氣候涼爽適合朋友們到此看夜景話家常，晚上也非常寧靜！早上起來也可以健身運動一下！空氣很清新！,正向,5,1,2023/5/7,,28,1,1,正向
1.上山的路沒有整理，枯枝雜草叢生不好開2.營區的規劃（熱水、電力）無法負荷人多的連續假期3.電壓不足狂跳電，沒跳電時燈也是狂閃，根本沒辦法使用，充電型的LED燈要多帶幾個4.熱水非常不穩定，開了20分鐘的冷水，來了1分鐘燙水之後又是冰的了，寒流來會冷死，建議中午洗澡，或是在外面先洗好再進來5.營區的路雨天泥濘又多坑洞，要走到營本部上廁所或拿東西，腳會又濕又髒，非常不便，建議穿靴子6.風景優美的營地還有很多，感覺營主沒想用心經營，去別家吧！,負向,1,1,2022/5/7,,29,-1,1,負向
老闆 nice， 親切，環境優美， 廁所乾淨，洗澡水夠熱夠強，很棒的一個營地!,正向,5,1,2018/5/8,,30,1,1,正向
適合老中青半日遊，但交通不便,中立,3,1,2019/5/7,,31,0,1,中立
很多很陡的髮夾彎，確定車爬力夠再來，晚上一堆飛蟲，蟲蟲營地。,負向,3,1,2022/5/7,,32,0,1,中立
是會讓人身心放鬆的好地方。新營地～老闆和老板娘的用心讓我們感到溫馨，小朋友也看了許多都市看不到的天然生態，感謝老板不厭其煩的陪小孩解說,正向,5,1,2017/4/30,,33,1,1,正向
親子露營戲水的好去處，,正向,3,1,2019/5/9,,34,0,1,中立
營主夫妻很熱情，主動帶著孩子去認識園區內的植物，營位有雨棚有桌椅完全不必擔心下雨問題，輕裝備來就好,正向,5,1,2021/12/15,,35,1,1,正向
露營地點很方便，服務也不錯～協助搭帳篷～有機會會再次前往,正向,5,1,2018/10/31,,36,1,1,正向
開往營區的路況很好，一路都是柏油路。營區的草皮也顧得很好，沒有螞蟻窩或其他蟲干擾。洗手間也乾淨，一大早就有工作人員收垃圾整理回收桶。停車位置要看訂哪區，有些無法停帳邊，或停到別區。,正向,4,1,2023/11/8,,37,1,1,正向
（新增）露營車可睡四人園區分兩區：想要景色選瑞士區，有兩個共用水槽想離浴廁近選德國區。浴廁很大，三人進去洗還有很大空間。山區難免有蚊子，阿罵在浴廁裡貼防蚊貼片，門口有提醒：入廁要脫鞋。阿罵把浴廁掃得非常乾淨，不用擔心赤腳踩進去會感覺噁心或沙沙的。小孩開心的說：媽媽這個浴室好乾淨哦~市區左轉進入鄉間有一間711，可以做最後補貨，711對面有賣雞蛋糕/美廉社。營本部有賣小鋁罐的汽水/肉燥麵也可以應急。園區有OR水可以飲用，水源是自來水，是從山下打上來的，在缺水的這年，節約水資源不過度浪費是大家的共同責任哦。中午熱的時後我們就下山去逛旗山老街（路程約20分）有間呂師傅滷雞腳好吃！四月底去的時候還沒下雨，草皮狀況不好能理解。午后下了雨，無草的地方的地方變成泥濘地，老阿罵撐著傘在露客會行走經過的泥濘處鋪護草墊。此次只有兩帳，所以很舒服不壓迫，阿罵有著媽媽的關愛風格熱心介紹環境/動線/水源/冰箱等等，阿公早上還上來問睡得好不好營本部有10台以上適合各學齡的卡打掐，小朋友光是騎腳踏車就已經電力耗盡提早進入休眠模式。喜歡浴廁乾淨的人可以考慮這邊。,正向,5,1,2021/5/8,,38,1,1,正向
小而美的營地，營主很熱心，廁所保持的很乾淨,正向,5,1,2020/11/14,,39,1,1,正向
老闆人很親切，每週都有安排親子活動。像是搗麻糬、拼貼蝶古巴特花盆,正向,4,1,2019/5/6,,40,1,1,正向
好舒服的場地，涓涓河流，老闆親自維持莊園，和藹可親，好想再來又離市區很近,正向,5,1,2019/5/7,,41,1,1,正向
意外的有點大，兒童的遊戲區很大，超適合有小孩的人，離北埔老街很近，吃逛都方便，季節對可以順便看落羽松跟買柿餅,正向,4,1,2019/5/7,,42,1,1,正向
營主親切，森林區真的超棒，也看得到景，而且超曬不到太陽。超棒棒滴兒!,正向,5,1,2018/12/9,,43,1,1,正向
"營區乾淨、整潔,雖然不在深山，還是能夠有放鬆的感覺！",正向,4,1,2020/5/8,,44,1,1,正向
營區小而美營主很棒，衛浴乾淨手機大概就中華電信會通，營區有WiFi，不過來這就好好享受山中的幽靜,正向,5,1,2020/5/9,,45,1,1,正向
玩溪水烤肉是個不錯的地方烤肉食材普通,中立,3,1,2023/5/8,,46,0,1,中立
衛浴設備乾淨，環境優美小孩玩的沙坑很乾淨還有藍球框可以打,正向,5,1,2021/5/8,,47,1,1,正向
營地不大 ，搭完帳 ，停完車就沒什麼空間可以活動了 ，洗澡+廁所總共2間 ，但總共有7帳人 ，真的很不夠 ，而且如果2間浴廁同時洗澡 ，最後會沒熱水 ，我跟孩子在只有14度的情況下洗到一半變冷水 ，而且我們帳篷是搭在最下層 ，上層的水是直接流下來下層 ，所以下層的第一帳永遠是溼的 ，但營主很親切 ，很好聊 。,中立,2,1,2019/5/7,,48,-1,1,負向
環境不錯，廁所衛浴常保持清潔，營主很親切，有適合小朋友遊戲的設施。很不錯的地方,正向,5,1,2020/11/29,,49,1,1,正向
去年住過，真的很棒，草皮很舒服，廁所好乾淨，有時間一定會再訪 …,正向,5,1,2022/5/7,,50,1,1,正向
這次大陣仗十帳草皮真的是cp很高的營區，廁所高級，乾淨，水很強很熱，小朋友的遊樂設施也特別多，戲水池也非常乾淨，晚上老闆娘還會招待甜湯，非常好喝哦！唯一美中不足就是半夜下起暴雨收濕帳，隔天依然很開心在雨中收拾，不過，草皮排水系統非常好完全沒有積水地，難免有泥濘，希望下次還可以再次光臨。小小建議，能減帳空間在多空出來一點會更棒。,正向,5,1,2023/6/6,,51,1,1,正向
值得再訪的營區。今年第2次來此營區乾淨、像自家後花園、營主像家人親切 極力推薦的好營區,正向,5,1,2020/9/22,,52,1,1,正向
超雷營區，肥滋滋蟑螂，小黑蚊天下，超爛服務。3年來露過最雷露營區:1.洗澡洗到一半沒熱水，小孩全身泡沫等了將近1小時，水壓偏小且不穩2.粗估最少6帳用同一個迴路，電壓非常不穩，連3W10顆LED15米串燈不亮，打氣機罷工，只能手動打氣，改用LED燈條3.環境髒亂，生態池看起來無人管理，超多小黑蚊，點了蚊香擦了防蚊液，每人最少20包起4.在浴室與帳篷區看到2隻在飛的超大蟑螂.蟑螂.蟑螂....5.草地沒有定時修剪，超過腳踝高度，石階佈滿青苔，十幾個大人，4位大人不小心滑倒，最後大家都寧可繞路6.收費不合理，大多數營區超過4人每人需收費100幼兒園以下小孩不收費，此營區一人250且幼兒園以下也收費7.拍照景點多數老舊與照片不符,負向,1,1,2022/6/8,,53,-1,1,負向
夏天帶小朋友露營的家長，一定要準備防蚊液喔！！,中立,4,1,2017/6/24,,54,1,1,正向
除了露營區環境在假日稍微擁擠，其它沒什麼好報怨的。,中立,5,1,2022/5/8,,55,1,1,正向
環境還蠻乾淨的，不過緊臨鄉道，適逢選舉前一早就有宣傳車經過有點煩，樹林還不錯，不過有些有的沒的人工設備有點出戲。交通算是相當便利，營區傍晚會有小黑蚊要注意,中立,3,1,2023/5/7,,56,0,1,中立
用心經營的營區。原本擔心會因為高山風大夜晚會很冷，好在營地有事裝置擋風的帆布，讓夜間的風不會太大導致太冷，讓我一夜好眠~開心~,正向,5,1,2021/12/14,,57,1,1,正向
好營區。營區雖然小 設施都有在維護 浴廁很乾淨 營主人也很好 會在去的,正向,5,1,2023/5/3,,58,1,1,正向
從週六中午直到週日接近中午，廁所完全沒清理打掃過，衛生紙用完也沒補充。,負向,1,1,2023/5/8,,59,-1,1,負向
"#瑪崙菓園親子露營區日期 : 跨年露 (天氣濕冷/雨天)營位 : A區草皮 給很大空間搭帳 , 營位都幫露友鋪好軟墊位置但地勢是有點斜的 , 要注意 , A 區跟B區草皮空間給小孩玩耍不搭帳。車子原則上都屬於停帳篷旁優點 : 離太平山售票口只要車程約20幾分車程營主處理的突發狀況不錯 , 反應營主都會馬上處理衛浴空間很大一間 , 一家四口進去洗都沒問題 , 廁所營主都保持很乾淨營區山景很棒 , 四面環山路況 : 一路都屬於很好走的水泥路 , 只有快到營區前會稍微差一點一般車子都沒問題從羅東過來至少還要約1小時左右車程(建議要採買足夠進營區)營區有提供出租露營裝備服務遇到下雨天 , 整個草皮偏向泥濘較難行走 , 無飲水機/營區水源是山泉水(但遇到下雨天 , A區的手洗台水質完全變得很混濁)垃圾須統一拿到營本部那最旁邊丟棄分類附上空拍營位 , 營區分成三大層 :  最前排A區草皮營位",正向,4,1,2024/2/7,,60,1,1,正向
2023/10/02，相隔2年又來了，景色依舊，廁所熱水器有一邊故障了好景色，環境維護的很好，很多個角度可拍景，已經來三次了！,正向,5,1,2023/10/9,,61,1,1,正向
一場惡夢，像在擁擠的夜市裏露營！,負向,1,1,2021/5/6,,62,-1,1,負向
"野餐露營玩水好地方! 但遇到至深夜音樂放很大聲的""鄰居""時，實在擾人，又不見管理員出面制止，美中不足 !",負向,4,1,2019/5/8,,63,1,1,正向
景觀不錯，營區最後一小段路無法會車。希望能增設小孩設施,正向,5,1,2018/12/16,,64,1,1,正向
很棒的營區體驗深刻的鄒族在地部落文化一定要來,正向,5,1,2021/5/7,,65,1,1,正向
空氣清新，設施乾淨且維護良好。友善的主人為孩子提供活動。電源插座綽綽有餘,正向,5,1,2020/5/7,,66,1,1,正向
營區景觀很棒，浴廁等設施可以再加強。營位旁邊就可以看到螢火蟲超棒！建議可以將剝桂竹筍的體驗重新包裝規劃 ，讓更多人一起參與！,正向,4,1,2017/5/31,,67,1,1,正向
很棒的營區，老闆很親切，有泰雅族文化的體驗和環境解說，天氣好的時候還可以去溪邊玩水,正向,5,1,2018/5/7,,68,1,1,正向
熱水忽冷忽熱  一下超冷一下超熱 很難洗。除了廁所 其餘都不錯,中立,4,1,2021/3/30,,69,1,1,正向
第二次來訪，依然心動，地形優勢好山好水，老闆的下廚手藝優秀，份量很足,正向,5,1,2020/5/8,,70,1,1,正向
營主幽默人很nice，還帶我們去山中祕境，廁所還不錯，只是腹地不大有點擠，附近可以去七彩吊橋走走,正向,3,1,2021/5/8,,71,0,1,中立
住宿體驗 乾淨 人不多 旁邊有小溪小孩很喜歡,正向,5,1,2023/5/6,,72,1,1,正向
"聯繫上不夠主動!。因連日大雨, 於出發當天一早就主動聯繫營主, 是否有勸退露客的動作. 到晚上七點半才回覆說不用過去, 但大家早已出發...小黑蚊非常的多, 多到我懷疑人生. 草地積水非常嚴重, 雖有提供護草墊卻還是泥濘不堪! 整場設備, 大概只有浴室算很不錯, 再改善一下排水速度會更好!",負向,3,1,2019/6/10,,73,0,1,中立
廁所非常乾淨…環境也清幽營主非常好客..熱水真是有夠熱的…有水池、沙坑、溜滑梯…值得推薦,正向,5,1,2022/5/7,,74,1,1,正向
Great。上下山會車小麻煩外，其他都很不錯。風景好，工作人員也很熱心且友善。讚!,正向,5,1,2019/2/13,,75,1,1,正向
感覺這地方的是一個很棒的地方，老闆人好棒⋯⋯重點是這地方磁場很好⋯下次ㄧ定要再來⋯朋友們約囉喔⋯⋯,正向,5,1,2022/5/9,,76,1,1,正向
營區很漂亮 環境也很優但是半夜有人吵鬧唱卡拉ok一群年輕男女一路鬧到兩點打電話告知營主也無法處理我門也下去講了兩次也沒用然道要去吵架嗎我真心建議 這麼漂亮的營區營區規範強烈妳打清楚整區就那一群再鬧影響其他二十幾帳像我們這種 下次可能就不會再來因為真的很吵你就是間接少了八帳回流客隔天開車回家整個累翻營區真的很好三顆星就是指營區吵鬧部分,中立,3,1,2023/12/7,,77,0,1,中立
可開車至營位卸貨，廁所浴室很乾淨，營主很用心經營，下午三點也會請車子離開停至停車場，將大草皮還給露營的人，可以盡情的玩，小缺點是這個季節蒼蠅有點多，A區車子要進營地入口非常小，要小心駕駛，不然會A到入口處石頭,正向,4,1,2022/5/7,,78,1,1,正向
空間算寬敞，草皮也不錯，水壓不太穩，有些小黑蚊...,中立,4,1,2022/5/7,,79,1,1,正向
營主工讀生 對露營設備不了解 營區設計不良跳電 說是露客使用設備造成的 第一天浴室沒有熱水 不願意友善的溝通 自說自話 說話帶有針對的意味 需要改進！五星好評 只為讓露友看見,負向,5,1,2024/1/8,,80,1,1,正向
沒有豪華設施但，從營位望出去的景色很漂亮。,正向,4,1,2018/2/21,,81,1,1,正向
B區空間大，廁所很乾淨，除了冰箱有點遠（營本部&A區底）外其他很棒,中立,5,1,2023/5/7,,82,1,1,正向
環境整潔、景色優美、熱水穩定、營主夫婦很熱心,正向,5,1,2023/5/7,,83,1,1,正向
超棒的露營區希望有機會能再去路況不錯風景蠻美的，晚上超適合觀星營區處處可以感受到營主的用心草地很舒服不刺腳廁所浴室都很乾淨浴室水壓夠強、溫度夠熱而且不忽冷忽熱還有在浴室貼各間編號跟營主電話萬一熱水器電池沒電還能求救水槽的水不凍手，這個有驚訝到，原本洗碗前已經做好手凍僵的心理準備只是水槽下方像截流槽的東西，可能裡面沒有清理導致水會滿出來，地上容易都是泥濘積水。,正向,5,1,2024/1/7,,84,1,1,正向
秀姐二度造訪營區，無敵美景超棒營區，值得推薦 …,正向,5,1,2023/9/7,,85,1,1,正向
有小帶活動，但化妝室可以改善一下洗手間潮濕且衛生紙沒有常清理,中立,3,1,2023/5/7,,86,0,1,中立
草皮厚實，可以在上面打滾！赤腳走在草皮上非常舒服,正向,5,1,2021/5/7,,87,1,1,正向
即使朋友硬是捨棄自己的E區營位過來擠D區，依舊舒適。廁所乾淨。建議連續假日中間可以收一次垃圾桶，我們太會製造垃圾了。,正向,5,1,2020/5/7,,88,1,1,正向
小而美的營區，帳與帳距離近，基本上沒有景可以看，此趟晚上也沒有看到星星可惜了。不過廁所乾淨！但洗澡不是很多間，需要排隊。冰箱略小，後到的客人東西都快冰不進去,中立,4,1,2021/5/8,,89,1,1,正向
沒什麼景色場地為石子地，沒提供護草墊老闆態度親切，但個人覺得員工很愛碎碎念...,中立,3,1,2021/5/9,,90,0,1,中立
路過，不應該告訴路過客上面有路繼續開，非常危險,負向,1,1,2023/5/7,,91,-1,1,負向
入口位在田間小路上，招牌小小有點不好辨識，進入後腹地滿大的。,中立,5,1,2023/5/7,,92,1,1,正向
第一次來到紅土咖啡這裡的風景真的很棒（蘭陽平原一覽無遺）這次點了小米酒咖啡️喝起來感覺偏酸正符合我喜好的咖啡口感還有點了黑森林蛋糕蛋糕吃起來也紮實甜點剛好喝著咖啡配著風景給人新的一年好的開始,正向,5,1,2021/5/8,,93,1,1,正向
處處可發現小細節的營區。1.營區有種置身公園的感覺，而環境更是乾淨，記得昨晚在不起眼的垃圾桶丟了一個小垃圾，隔天一早已經被清空。2.沙坑、溜滑梯都有遮雨棚，沙子也是乾淨狀態。3.車子可以停放在營位旁。4.此次是團露，大家為了方便，走路約莫5分鐘路程，就有可以吃合菜的店家。,正向,5,1,2023/1/17,,94,1,1,正向
今年GQ舉辦露營活動的場地，營位的電源及洗手台位置充足，適合舉辦大型露營活動,正向,5,1,2024/2/6,,95,1,1,正向
環境超優的，沙池、水池、彈跳池能讓小孩玩到瘋，草地平整，電源、水源也都俱備，還有爐台及瓦斯烤肉枱租借，尤其是浴室超大的能同小人一起入浴，更棒的是價錢,正向,5,1,2018/5/6,,96,1,1,正向
營區雖小，但老闆會親力親為的帶大家去砍竹子做成大竹籤，然後竹籤烤肉！！,正向,5,1,2024/3/7,,97,1,1,正向
2022年跨年露營本應是開心但營區內時不時的大跳電小跳電，設備不足，硬收滿帳，請營主復電還責怪露客用電過度，甚至營主的兒子還拿刀出來恐嚇，還說報案沒有成立，我在討拍，搞得人心惶惶，沒一句道歉，因為這些這些營主完全沒過錯，因為錯的都是露客本身，相不相信如果有人回覆此則貼文，一定是露客的責任及過失,負向,1,1,2022/5/8,,98,-1,1,負向
風景好、環境乾淨、第一次露營剛好到這間營地，讓我留下好印象，還會再來，非常推薦喔～,正向,5,1,2023/7/7,,99,1,1,正向
營主是風趣的原住民，場地屬於草地，營主說不怕踩;距離很近的地方就可以看到雲海，浴室還算乾淨，熱水24小時供應;晚上聽營主講故事蠻有趣的，白天還會做生態導覽，據說四月可以觀賞螢火蟲喔！,正向,5,1,2019/5/7,,100,1,1,正向
蒼蠅多到嚇人…二個小時直接二片黏滿還一堆…帳帳很擁擠…我們包C區三位發現超級不方便…要上小斜坡…收帳還要請營友把車先開到別處我們車才能來…要去廁所還得經過營友的車走路很不方便…重點是停在公共停車位時車上貼的貼紙還被人撕掉…而且我們位置還有紅螞蟻…,負向,2,1,2024/4/8,,101,-1,1,負向
群山環繞，景色很美，視野非常棒，位寛敞乾淨，營主親切熱心，是個會讓人想再回露的營地,正向,5,1,2022/5/7,,102,1,1,正向
五星級收費蚊子蒼蠅一堆不論早上或下午營主還來說有賣蒼蠅貼片ㄛ,負向,1,1,2019/5/8,,103,-1,1,負向
未善加維護管理。營區浴廁老舊，未定時清理，夜間洗澡到後面都是泥水，也無法聯繫到營地主處理。,負向,2,1,2018/5/29,,104,-1,1,負向
營主非常親切，環境整理的非常好。看得出來營主是個喜歡植物的的，每種植物上都會寫上名稱。,正向,5,1,2022/5/7,,105,1,1,正向
這次露風鈴區洗手台有提供洗碗精、菜瓜布浴室有大水盆、洗髮精、沐浴乳還有一支吹風機供使用,正向,3,1,2020/5/7,,106,0,1,中立
希望能有所改進！！不然不會再去第二次！。第一天夜衝沒有人，第二天人明顯多很多，合理懷疑營主有超收的行為。區跟區的間隔不大，造成帳跟帳的距離也很小。一區3到4帳共用一個洗手台，導致有需要時後都要排隊。雨棚區、棧板區跟草皮區共用兩間浴室！只有兩間！！現場起碼有50個人，卻只有兩間浴室！設施明顯過少，蹲式廁所是流動廁所改的，很悶！營區標榜有漁池，卻沒有盡到到管理的責任，不需要有人在旁邊服務，但起碼旁邊住家的狗可以約束一下吧？不是一句：不要靠過來，狗會咬人不負責，就帶過。我們也沒有那麼笨去給狗咬，只是營區既然有標榜魚池，那也應該要盡到管理責任！這次唯一感到滿意的就是附近的溪邊了，溪水很乾淨，很漂亮,負向,3,1,2021/11/9,,107,0,1,中立
露營區雖小，但五臟俱全。尤其有讓孩子可以放電的設施（溜滑梯、沙坑、水池⋯⋯）,正向,5,1,2020/5/7,,108,1,1,正向
一帳包區，星星挺多的，還能看到螢火蟲！昨天晚上，溪水冰冷，好玩，有冰箱，洗澡熱水讚！有點蚊子跟蜜蜂！但營主有提供蚊香！！安寧，無光害！除了小遠外！整個營區cp值不錯！,正向,5,1,2021/5/7,,109,1,1,正向
很舒服的營區   老闆服務好  且橄欖茶很好喝哦,正向,5,1,2018/5/16,,110,1,1,正向
值得推廌一露的好地方！。場地寬敞，時刻巡視廁所整潔，活動區小孩放電好去處。,正向,5,1,2019/11/8,,111,1,1,正向
地點不錯，營主非常細心照顧草皮，有使用焚火台的營友要特別留意。（營主也會來告知你）。衛浴設備有需要加強，熱水及浴室間數不足夠。,正向,3,1,2023/5/7,,112,0,1,中立
空間寬敞 & 營主親切 小孩活動空間大 值得推薦的好營地。,正向,5,1,2019/5/1,,113,1,1,正向
橄欖莊園 - 特區（一帳包區）階梯式營區每區都有夜景營區內髮夾彎考驗駕駛技術號稱駕訓班營區特區有自己的飲水機、冰箱、衛浴但我比較喜歡B區的衛浴用了花磚比較美特區衛浴使用了假草皮可能還很新所以有味道然後全營區好像都是坐式馬桶️衛浴水壓很大還算熱️水槽上方的照明很亮️營主會適時問候有沒有遇到問題但…我被咬了快20個包已經癢五天了啊…,中立,4,1,2023/10/7,,114,1,1,正向
風景很好 老闆也很好看 家裡的狗狗也和羊變成好朋友。,正向,5,1,2023/5/7,,115,1,1,正向
營地整理的還蠻乾淨，晚上除了廁所跟冰箱的地方～沒有任何照明。盛夏蟲有點多，被不知名的蟲叮到痛了一天一夜附近有一小處可以玩水的溪邊，蠻消暑的！但是部分區域水蠻深的，要小心！ …,中立,4,1,2023/5/6,,116,1,1,正向
大環境不錯、設備也可以,正向,3,1,2020/5/7,,117,0,1,中立
營主人很好，露營場地整理的很乾淨，帳篷下面還提供排水墊，非常的體貼。,正向,5,1,2018/5/8,,118,1,1,正向
沒有24小時熱水，孩子們戲水後沖洗不便,負向,3,1,2023/12/28,,119,0,1,中立
第二次造訪營主親切環境優+清潔度山景更是美呆了 …,正向,5,1,2023/5/7,,120,1,1,正向
草皮漂亮，浴廁大又乾淨，第三次來還是一樣沒變，還多了水果車跟麵包車可挑選，還有韓式拌飯可選，不用準備晚餐真方便,正向,5,1,2019/5/7,,121,1,1,正向
營區內很安靜 重點營主人很好 我們忘記代卡司爐瓦斯瓶 營主還給我們幾瓶應急 有機會會再度前來,正向,5,1,2023/5/7,,122,1,1,正向
2021/10/8-10/9雙十連假兩天一夜營主好好客，會隨時注意小孩安全（很少有營主會注意小孩，超佛心）廁所無敵乾淨，完全沒有臭味（女兒有廁所潔癖，這個營區她敢上廁所）唯一缺點只有，上山只有單向完全不能會車，建議要管控上下山車輛環境保護很好，沒有什麼螞蟻大兵推推推爆他⋯夏諾營露營,正向,4,1,2022/5/6,,123,1,1,正向
好走的山路，所以不用擔心開車技術不好不敢上山；露營區環境很乾淨，包括浴室、洗澡間；業者很親切；離瀑布區不會太遠，走一小段可以當運動,正向,5,1,2019/5/7,,124,1,1,正向
